judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.359,0.325,0.391,0.0,0.0,0.0,127.9,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.381,0.348,0.412,0.022,-0.004,0.051,130.0,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.439,0.405,0.473,0.08,0.045,0.113,127.5,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.442,0.41,0.475,0.083,0.041,0.124,127.7,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.467,0.433,0.501,0.108,0.066,0.15,127.5,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.481,0.449,0.515,0.122,0.082,0.164,127.1,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.478,0.447,0.51,0.119,0.078,0.16,126.0,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.317,0.274,0.36,0.0,0.0,0.0,127.9,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.373,0.332,0.416,0.056,0.024,0.088,130.0,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.39,0.346,0.431,0.073,0.03,0.118,127.5,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.409,0.366,0.449,0.092,0.045,0.133,127.7,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.463,0.421,0.506,0.146,0.096,0.194,127.5,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.47,0.425,0.512,0.153,0.105,0.198,127.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.493,0.451,0.536,0.176,0.131,0.221,126.0,1.0
