judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.382,0.35,0.415,0.0,0.0,0.0,128.4,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.374,0.342,0.405,-0.008,-0.035,0.019,129.7,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.407,0.375,0.44,0.025,-0.01,0.06,128.7,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.424,0.391,0.456,0.042,0.002,0.083,127.7,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.459,0.425,0.494,0.077,0.038,0.116,126.7,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.476,0.442,0.51,0.094,0.054,0.135,127.1,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.48,0.446,0.514,0.098,0.056,0.139,125.3,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.295,0.255,0.335,0.0,0.0,0.0,128.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.354,0.312,0.397,0.059,0.027,0.094,129.7,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.392,0.349,0.435,0.097,0.059,0.137,128.7,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.431,0.388,0.476,0.136,0.092,0.18,127.7,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.445,0.403,0.489,0.15,0.105,0.195,126.7,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.495,0.45,0.54,0.2,0.153,0.248,127.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.506,0.464,0.549,0.211,0.164,0.26,125.3,1.0
