judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.374,0.341,0.406,0.0,0.0,0.0,124.4,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.407,0.375,0.438,0.033,0.001,0.065,129.5,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.408,0.376,0.439,0.034,-0.003,0.073,130.0,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.431,0.4,0.464,0.057,0.016,0.097,132.2,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.424,0.39,0.457,0.05,0.005,0.091,133.6,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.458,0.423,0.493,0.084,0.036,0.13,135.2,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.488,0.454,0.523,0.114,0.068,0.162,137.5,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.3,0.26,0.34,0.0,0.0,0.0,124.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.352,0.312,0.394,0.052,0.016,0.084,129.5,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.396,0.352,0.436,0.096,0.054,0.14,130.0,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.428,0.384,0.47,0.128,0.082,0.174,132.2,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.464,0.418,0.508,0.164,0.116,0.212,133.6,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.476,0.434,0.52,0.176,0.128,0.224,135.2,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.491,0.448,0.535,0.191,0.142,0.24,137.5,1.0
