arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.3496,0.3148,0.3847,0.0,0.0,0.0,0.7388
majority vote (self-consistency),2,0.6931,500,0.3496,0.3154,0.3852,0.0,0.0,0.0,0.7388
majority vote (self-consistency),4,1.3863,500,0.3622,0.3268,0.3976,0.0126,-0.0116,0.0364,0.7388
majority vote (self-consistency),8,2.0794,500,0.3859,0.3496,0.424,0.0363,0.0067,0.0663,0.7388
majority vote (self-consistency),16,2.7726,500,0.3653,0.3292,0.4027,0.0157,-0.0162,0.0471,0.7388
majority vote (self-consistency),32,3.4657,500,0.3777,0.3419,0.4144,0.0281,-0.0051,0.0618,0.7388
majority vote (self-consistency),64,4.1589,500,0.3726,0.3348,0.4095,0.023,-0.011,0.0568,0.7388
pointwise reward (Qwen2.5-14B),1,0.0,500,0.3496,0.3148,0.3847,0.0,0.0,0.0,-0.3929
pointwise reward (Qwen2.5-14B),2,0.6931,500,0.3358,0.3006,0.3718,-0.0138,-0.0419,0.0138,-0.3929
pointwise reward (Qwen2.5-14B),4,1.3863,500,0.3102,0.2748,0.345,-0.0394,-0.0735,-0.0056,-0.3929
pointwise reward (Qwen2.5-14B),8,2.0794,500,0.2865,0.2533,0.3202,-0.0631,-0.1026,-0.0233,-0.3929
pointwise reward (Qwen2.5-14B),16,2.7726,500,0.2898,0.2563,0.3237,-0.0598,-0.1022,-0.0175,-0.3929
pointwise reward (Qwen2.5-14B),32,3.4657,500,0.3117,0.2787,0.3461,-0.0379,-0.0802,0.0044,-0.3929
pointwise reward (Qwen2.5-14B),64,4.1589,500,0.3355,0.3013,0.3692,-0.014,-0.0581,0.0294,-0.3929
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
