arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.4291,0.3943,0.4646,0.0,0.0,0.0,0.8829
majority vote (self-consistency),2,0.6931,500,0.4291,0.3944,0.464,0.0,0.0,0.0,0.8829
majority vote (self-consistency),4,1.3863,500,0.4385,0.4028,0.4748,0.0094,-0.012,0.0309,0.8829
majority vote (self-consistency),8,2.0794,500,0.4521,0.4158,0.489,0.023,-0.004,0.0498,0.8829
majority vote (self-consistency),16,2.7726,500,0.4644,0.427,0.5005,0.0353,0.0075,0.0637,0.8829
majority vote (self-consistency),32,3.4657,500,0.4528,0.4167,0.4896,0.0237,-0.0057,0.0534,0.8829
majority vote (self-consistency),64,4.1589,500,0.4575,0.4204,0.4945,0.0284,-0.0012,0.0576,0.8829
pointwise reward (Qwen2.5-7B),1,0.0,500,0.4291,0.3943,0.4646,0.0,0.0,0.0,-0.9643
pointwise reward (Qwen2.5-7B),2,0.6931,500,0.4001,0.366,0.4357,-0.029,-0.0522,-0.0053,-0.9643
pointwise reward (Qwen2.5-7B),4,1.3863,500,0.3538,0.3194,0.3886,-0.0753,-0.1064,-0.0452,-0.9643
pointwise reward (Qwen2.5-7B),8,2.0794,500,0.3107,0.2781,0.3451,-0.1184,-0.1535,-0.0846,-0.9643
pointwise reward (Qwen2.5-7B),16,2.7726,500,0.2498,0.2193,0.2806,-0.1793,-0.2167,-0.1416,-0.9643
pointwise reward (Qwen2.5-7B),32,3.4657,500,0.2687,0.2377,0.3003,-0.1604,-0.1997,-0.1199,-0.9643
pointwise reward (Qwen2.5-7B),64,4.1589,500,0.2455,0.2151,0.2771,-0.1836,-0.2249,-0.1412,-0.9643
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
