arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.4562,0.4209,0.4922,0.0,0.0,0.0,-0.1622
majority vote (self-consistency),2,0.6931,500,0.4562,0.4207,0.4933,0.0,0.0,0.0,-0.1622
majority vote (self-consistency),4,1.3863,500,0.4564,0.4206,0.4921,0.0002,-0.0202,0.0209,-0.1622
majority vote (self-consistency),8,2.0794,500,0.4548,0.4181,0.4907,-0.0014,-0.0283,0.0256,-0.1622
majority vote (self-consistency),16,2.7726,500,0.4534,0.4169,0.4891,-0.0028,-0.0309,0.0252,-0.1622
majority vote (self-consistency),32,3.4657,500,0.4636,0.4281,0.4998,0.0075,-0.0213,0.0364,-0.1622
majority vote (self-consistency),64,4.1589,500,0.4551,0.4183,0.4916,-0.0011,-0.0306,0.0298,-0.1622
pointwise reward (Qwen2.5-7B),1,0.0,500,0.4562,0.4209,0.4922,0.0,0.0,0.0,-1.0
pointwise reward (Qwen2.5-7B),2,0.6931,500,0.4116,0.3764,0.4473,-0.0446,-0.0689,-0.0203,-1.0
pointwise reward (Qwen2.5-7B),4,1.3863,500,0.353,0.3194,0.387,-0.1032,-0.1342,-0.0726,-1.0
pointwise reward (Qwen2.5-7B),8,2.0794,500,0.2994,0.2676,0.3317,-0.1568,-0.1907,-0.1238,-1.0
pointwise reward (Qwen2.5-7B),16,2.7726,500,0.2601,0.2298,0.2911,-0.1961,-0.2321,-0.1599,-1.0
pointwise reward (Qwen2.5-7B),32,3.4657,500,0.2395,0.2104,0.2694,-0.2166,-0.2543,-0.178,-1.0
pointwise reward (Qwen2.5-7B),64,4.1589,500,0.2228,0.1934,0.2521,-0.2334,-0.2738,-0.1922,-1.0
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.4384,0.4859,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.466,0.4409,0.4911,,,,
