prompt_id,rank,reward
gsm0,0,-14.950315
gsm0,1,-5.744505
gsm0,2,0.574389
gsm0,3,-3.255803
gsm0,4,0.344328
gsm0,5,0.809866
gsm0,6,-22.499998
gsm0,7,-10.124998
gsm0,8,9.215891
gsm0,9,1.821054
gsm0,10,4.820512
gsm0,11,-9.552576
gsm0,12,4.082522
gsm0,13,-5.379535
gsm0,14,3.688950
gsm0,15,-3.599328
gsm0,16,-0.225616
gsm0,17,0.125789
gsm0,18,-12.624999
gsm0,19,1.660176
gsm0,20,-1.124584
gsm0,21,-2.589458
gsm0,22,-6.373933
gsm0,23,-3.124118
gsm0,24,-1.904098
gsm0,25,3.587387
gsm0,26,0.822424
gsm0,27,0.478813
gsm0,28,-2.362849
gsm0,29,0.432837
gsm0,30,-0.082450
gsm0,31,-2.624986
gsm0,32,7.150121
gsm0,33,7.999327
gsm0,34,3.073764
gsm0,35,-11.437813
gsm0,36,0.824331
gsm0,37,2.449183
gsm0,38,5.346254
gsm0,39,-1.641890
gsm0,40,-3.610645
gsm0,41,-0.496042
gsm0,42,-4.739968
gsm0,43,-0.396046
gsm0,44,4.952383
gsm0,45,5.139028
gsm0,46,3.176414
gsm0,47,-4.249999
gsm0,48,-1.238089
gsm0,49,1.714518
gsm0,50,1.126628
gsm0,51,-21.124998
gsm0,52,-1.209352
gsm0,53,-0.499329
gsm0,54,1.456575
gsm0,55,3.083025
gsm0,56,2.034147
gsm0,57,-6.874735
gsm0,58,1.466688
gsm0,59,2.429399
gsm0,60,6.250086
gsm0,61,2.248907
gsm0,62,3.127330
gsm0,63,1.960360
gsm1,0,-0.050625
gsm1,1,-1.873763
gsm1,2,2.750287
gsm1,3,4.167087
gsm1,4,-4.634543
gsm1,5,-0.748668
gsm1,6,-2.402017
gsm1,7,-2.249741
gsm1,8,-2.850405
gsm1,9,2.659545
gsm1,10,-5.249901
gsm1,11,3.174546
gsm1,12,0.325043
gsm1,13,3.496457
gsm1,14,-19.749998
gsm1,15,4.030144
gsm1,16,6.008279
gsm1,17,-12.249998
gsm1,18,5.255034
gsm1,19,0.750357
gsm1,20,1.376468
gsm1,21,-0.550295
gsm1,22,0.248236
gsm1,23,-25.937498
gsm1,24,-1.822996
gsm1,25,9.192834
gsm1,26,-0.999244
gsm1,27,4.674869
gsm1,28,-6.622990
gsm1,29,-5.687396
gsm1,30,-2.374133
gsm1,31,-1.615248
gsm1,32,1.819610
gsm1,33,-2.999018
gsm1,34,4.437428
gsm1,35,1.678504
gsm1,36,1.732320
gsm1,37,1.573851
gsm1,38,-0.935092
gsm1,39,-3.298381
gsm1,40,0.116326
gsm1,41,5.077561
gsm1,42,-2.995536
gsm1,43,4.562782
gsm1,44,0.166151
gsm1,45,-3.583487
gsm1,46,-14.749998
gsm1,47,5.719197
gsm1,48,1.418173
gsm1,49,-23.249998
gsm1,50,0.714257
gsm1,51,-2.824667
gsm1,52,2.025046
gsm1,53,4.808141
gsm1,54,1.283518
gsm1,55,1.562539
gsm1,56,0.150122
gsm1,57,1.012227
gsm1,58,0.568134
gsm1,59,2.559409
gsm1,60,3.244091
gsm1,61,-1.425431
gsm1,62,2.917211
gsm1,63,-1.994671
gsm2,0,0.074093
gsm2,1,0.366297
gsm2,2,0.477140
gsm2,3,0.074851
gsm2,4,0.003091
gsm2,5,0.088030
gsm2,6,-0.101204
gsm2,7,0.554713
gsm2,8,0.182357
gsm2,9,-9.120467
gsm2,10,-25.687498
gsm2,11,2.808273
gsm2,12,1.464370
gsm2,13,2.674351
gsm2,14,-10.686608
gsm2,15,0.383252
gsm2,16,-4.103472
gsm2,17,1.588604
gsm2,18,4.066079
gsm2,19,-4.671347
gsm2,20,-0.869873
gsm2,21,-1.890347
gsm2,22,2.065352
gsm2,23,0.500023
gsm2,24,-0.397324
gsm2,25,0.400679
gsm2,26,-4.484215
gsm2,27,-27.374998
gsm2,28,2.500216
gsm2,29,0.984461
gsm2,30,-5.006834
gsm2,31,3.789638
gsm2,32,-6.713933
gsm2,33,-0.360799
gsm2,34,1.221198
gsm2,35,4.489236
gsm2,36,-2.674740
gsm2,37,-1.185897
gsm2,38,-0.539289
gsm2,39,-1.598700
gsm2,40,0.866520
gsm2,41,-0.149254
gsm2,42,-7.499779
gsm2,43,1.447862
gsm2,44,-1.402110
gsm2,45,-1.269605
gsm2,46,-17.374998
gsm2,47,-0.920195
gsm2,48,-0.193805
gsm2,49,-1.312147
gsm2,50,-0.920288
gsm2,51,-4.249923
gsm2,52,-9.126060
gsm2,53,-1.918391
gsm2,54,-0.297509
gsm2,55,-4.999071
gsm2,56,-1.244478
gsm2,57,1.609475
gsm2,58,-10.499998
gsm2,59,-0.812415
gsm2,60,1.375820
gsm2,61,-10.912185
gsm2,62,-0.546662
gsm2,63,-1.068847
gsm3,0,4.499089
gsm3,1,-0.120834
gsm3,2,-8.112831
gsm3,3,-23.249998
gsm3,4,-0.019783
gsm3,5,0.895786
gsm3,6,-2.124604
gsm3,7,-4.491358
gsm3,8,2.326518
gsm3,9,0.475395
gsm3,10,-1.115861
gsm3,11,1.387468
gsm3,12,1.366722
gsm3,13,3.076649
gsm3,14,0.414145
gsm3,15,1.392739
gsm3,16,-3.499018
gsm3,17,3.204566
gsm3,18,-1.245962
gsm3,19,2.950723
gsm3,20,3.076767
gsm3,21,-0.339803
gsm3,22,4.524031
gsm3,23,3.263696
gsm3,24,1.950365
gsm3,25,-9.874893
gsm3,26,0.750024
gsm3,27,3.137364
gsm3,28,-21.124998
gsm3,29,3.875335
gsm3,30,-0.821308
gsm3,31,1.130733
gsm3,32,-3.935923
gsm3,33,1.090401
gsm3,34,1.929309
gsm3,35,-0.309620
gsm3,36,-2.232604
gsm3,37,-0.104901
gsm3,38,-1.334997
gsm3,39,4.013726
gsm3,40,1.439429
gsm3,41,-0.095840
gsm3,42,0.290669
gsm3,43,0.954540
gsm3,44,-0.982642
gsm3,45,1.200045
gsm3,46,-24.062498
gsm3,47,0.545944
gsm3,48,1.350505
gsm3,49,1.438004
gsm3,50,0.512144
gsm3,51,0.719709
gsm3,52,-0.811548
gsm3,53,1.285602
gsm3,54,7.217300
gsm3,55,-1.024910
gsm3,56,0.862939
gsm3,57,0.903094
gsm3,58,-12.124998
gsm3,59,2.246787
gsm3,60,6.187726
gsm3,61,-6.374803
gsm3,62,0.710352
gsm3,63,0.622760
gsm4,0,-0.144979
gsm4,1,-6.187083
gsm4,2,3.539624
gsm4,3,-1.412012
gsm4,4,2.283266
gsm4,5,2.913774
gsm4,6,3.488197
gsm4,7,0.323090
gsm4,8,0.983357
gsm4,9,1.292593
gsm4,10,-6.624518
gsm4,11,-21.999998
gsm4,12,1.622417
gsm4,13,1.176724
gsm4,14,2.341811
gsm4,15,0.956501
gsm4,16,-0.535341
gsm4,17,1.243890
gsm4,18,-0.037932
gsm4,19,0.233815
gsm4,20,-0.623401
gsm4,21,-1.857944
gsm4,22,0.196857
gsm4,23,-1.609276
gsm4,24,-0.439692
gsm4,25,0.090101
gsm4,26,1.196969
gsm4,27,-0.428842
gsm4,28,-26.249998
gsm4,29,0.143124
gsm4,30,1.846296
gsm4,31,0.956455
gsm4,32,0.377359
gsm4,33,0.850533
gsm4,34,-0.526992
gsm4,35,-5.249365
gsm4,36,1.014171
gsm4,37,-0.025300
gsm4,38,2.051230
gsm4,39,1.931114
gsm4,40,3.594877
gsm4,41,0.354641
gsm4,42,0.074978
gsm4,43,-3.248785
gsm4,44,-0.755476
gsm4,45,-0.901673
gsm4,46,0.720915
gsm4,47,-20.124998
gsm4,48,0.930861
gsm4,49,4.990373
gsm4,50,0.044838
gsm4,51,0.635046
gsm4,52,0.000108
gsm4,53,-18.124998
gsm4,54,1.119821
gsm4,55,-0.417244
gsm4,56,2.131927
gsm4,57,2.337241
gsm4,58,-6.249362
gsm4,59,2.479452
gsm4,60,1.210264
gsm4,61,5.112269
gsm4,62,1.408447
gsm4,63,-1.721292
gsm5,0,-1.757795
gsm5,1,2.737556
gsm5,2,1.676681
gsm5,3,-1.504663
gsm5,4,-3.484783
gsm5,5,2.190960
gsm5,6,-1.804259
gsm5,7,-5.627323
gsm5,8,7.518159
gsm5,9,-0.312614
gsm5,10,5.669511
gsm5,11,1.132297
gsm5,12,2.409245
gsm5,13,-27.062500
gsm5,14,4.016598
gsm5,15,5.785559
gsm5,16,-1.374003
gsm5,17,-0.122162
gsm5,18,-5.495826
gsm5,19,1.203082
gsm5,20,-26.187500
gsm5,21,3.251053
gsm5,22,7.250615
gsm5,23,2.385902
gsm5,24,0.245831
gsm5,25,5.205544
gsm5,26,-6.773979
gsm5,27,2.550417
gsm5,28,-2.338163
gsm5,29,-1.434059
gsm5,30,4.283408
gsm5,31,4.297960
gsm5,32,-3.061617
gsm5,33,-1.405334
gsm5,34,-2.216566
gsm5,35,-0.793416
gsm5,36,-12.749998
gsm5,37,0.643881
gsm5,38,-9.749713
gsm5,39,0.000030
gsm5,40,-0.936512
gsm5,41,0.061817
gsm5,42,1.796215
gsm5,43,1.418243
gsm5,44,5.344375
gsm5,45,0.526370
gsm5,46,2.794295
gsm5,47,0.485434
gsm5,48,1.125319
gsm5,49,-3.248744
gsm5,50,1.866228
gsm5,51,-1.188587
gsm5,52,-3.222501
gsm5,53,0.875877
gsm5,54,-24.937500
gsm5,55,-5.437477
gsm5,56,1.075059
gsm5,57,3.062310
gsm5,58,1.666622
gsm5,59,1.642566
gsm5,60,5.278694
gsm5,61,1.786394
gsm5,62,-0.052909
gsm5,63,-0.805784
gsm6,0,-7.582822
gsm6,1,0.936978
gsm6,2,0.367893
gsm6,3,0.345434
gsm6,4,-7.361216
gsm6,5,-2.513579
gsm6,6,5.646399
gsm6,7,3.591071
gsm6,8,2.776305
gsm6,9,8.176868
gsm6,10,-0.497707
gsm6,11,-22.499998
gsm6,12,1.876163
gsm6,13,-1.756995
gsm6,14,3.260818
gsm6,15,2.322194
gsm6,16,-0.054200
gsm6,17,-20.624998
gsm6,18,2.445303
gsm6,19,-1.558065
gsm6,20,1.667607
gsm6,21,1.671322
gsm6,22,-2.492156
gsm6,23,-0.299065
gsm6,24,1.249620
gsm6,25,-7.843592
gsm6,26,2.941282
gsm6,27,-6.560874
gsm6,28,0.578995
gsm6,29,1.251116
gsm6,30,-5.622785
gsm6,31,-0.811176
gsm6,32,0.664370
gsm6,33,0.469222
gsm6,34,1.687611
gsm6,35,3.043992
gsm6,36,-1.172938
gsm6,37,-5.732085
gsm6,38,0.626140
gsm6,39,-0.056281
gsm6,40,0.000319
gsm6,41,3.810234
gsm6,42,-20.624998
gsm6,43,-5.547786
gsm6,44,-7.246677
gsm6,45,0.314480
gsm6,46,-0.348219
gsm6,47,0.756243
gsm6,48,0.484006
gsm6,49,-19.624998
gsm6,50,-3.600828
gsm6,51,2.321286
gsm6,52,3.853038
gsm6,53,1.520676
gsm6,54,2.793961
gsm6,55,1.062959
gsm6,56,4.926836
gsm6,57,-2.177712
gsm6,58,3.016624
gsm6,59,1.437774
gsm6,60,6.794229
gsm6,61,-8.248030
gsm6,62,0.570272
gsm6,63,-3.542794
gsm7,0,-2.442752
gsm7,1,1.574029
gsm7,2,1.566834
gsm7,3,1.327773
gsm7,4,2.694831
gsm7,5,0.875006
gsm7,6,-0.552487
gsm7,7,1.518545
gsm7,8,-28.437498
gsm7,9,3.849151
gsm7,10,-1.624937
gsm7,11,-1.078238
gsm7,12,-0.500078
gsm7,13,2.685201
gsm7,14,-2.077998
gsm7,15,-2.843483
gsm7,16,-0.902076
gsm7,17,1.734401
gsm7,18,-1.269066
gsm7,19,-3.478150
gsm7,20,-1.483063
gsm7,21,3.571215
gsm7,22,1.932834
gsm7,23,0.193235
gsm7,24,-0.856206
gsm7,25,0.510184
gsm7,26,-0.397717
gsm7,27,0.499036
gsm7,28,0.950188
gsm7,29,-0.992681
gsm7,30,1.733693
gsm7,31,-16.249998
gsm7,32,-0.283296
gsm7,33,0.644711
gsm7,34,0.562391
gsm7,35,-0.277382
gsm7,36,0.663713
gsm7,37,-0.246639
gsm7,38,-9.498075
gsm7,39,2.061810
gsm7,40,-12.374998
gsm7,41,0.816622
gsm7,42,6.822169
gsm7,43,-2.109942
gsm7,44,1.491718
gsm7,45,-11.494784
