prompt_id,rank,reward
tqa0,0,-0.514045
tqa0,1,-0.512854
tqa0,2,-37.187500
tqa0,3,-0.486238
tqa0,4,-0.070446
tqa0,5,-0.299583
tqa0,6,-0.450951
tqa0,7,-36.500000
tqa0,8,-0.388574
tqa0,9,-0.225401
tqa0,10,-34.125000
tqa0,11,-0.415880
tqa0,12,-0.418088
tqa0,13,-36.562500
tqa0,14,-0.418805
tqa0,15,-0.449512
tqa0,16,-0.447395
tqa0,17,-0.391516
tqa0,18,-0.448826
tqa0,19,-36.062500
tqa0,20,-0.194107
tqa0,21,-0.423004
tqa0,22,-0.451335
tqa0,23,-36.437500
tqa0,24,-0.483349
tqa0,25,-0.483357
tqa0,26,-35.500000
tqa0,27,-0.545723
tqa0,28,-0.512851
tqa0,29,-0.509572
tqa0,30,-35.812500
tqa0,31,-0.484015
tqa0,32,-34.625000
tqa0,33,-0.295691
tqa0,34,-0.387847
tqa0,35,-0.481048
tqa0,36,-36.500000
tqa0,37,-0.169668
tqa0,38,-0.041791
tqa0,39,-0.328754
tqa0,40,-0.448829
tqa0,41,-0.424448
tqa0,42,-37.250000
tqa0,43,-0.453043
tqa0,44,-0.514482
tqa0,45,-37.312500
tqa0,46,-0.452105
tqa0,47,-0.105282
tqa0,48,-37.562500
tqa0,49,-0.269149
tqa0,50,-0.482192
tqa0,51,-0.482932
tqa0,52,-0.447100
tqa0,53,-0.324015
tqa0,54,-0.450528
tqa0,55,-35.437500
tqa0,56,-0.422274
tqa0,57,-31.000000
tqa0,58,-0.484546
tqa0,59,-0.454236
tqa0,60,-38.250000
tqa0,61,-0.515120
tqa0,62,-0.511144
tqa0,63,-0.134218
tqa1,0,-0.509702
tqa1,1,-0.389472
tqa1,2,-33.750000
tqa1,3,-0.542591
tqa1,4,-0.543609
tqa1,5,-35.875000
tqa1,6,-0.222822
tqa1,7,-0.575829
tqa1,8,-0.545704
tqa1,9,-0.361768
tqa1,10,-0.541637
tqa1,11,-37.062500
tqa1,12,-0.511179
tqa1,13,-35.625000
tqa1,14,-0.511179
tqa1,15,-0.260530
tqa1,16,-36.687500
tqa1,17,-0.547041
tqa1,18,-0.573357
tqa1,19,-0.575829
tqa1,20,-0.542274
tqa1,21,-36.250000
tqa1,22,-0.416496
tqa1,23,-0.277841
tqa1,24,-0.166469
tqa1,25,-0.515094
tqa1,26,-0.515565
tqa1,27,-33.375000
tqa1,28,-0.396212
tqa1,29,-34.375000
tqa1,30,-0.421613
tqa1,31,-0.395177
tqa1,32,-0.408016
tqa1,33,-18.875000
tqa1,34,-0.325572
tqa1,35,-0.389626
tqa1,36,-26.500000
tqa1,37,-0.389626
tqa1,38,-0.325572
tqa1,39,-0.389626
tqa1,40,-37.750000
tqa1,41,-0.543422
tqa1,42,-0.480253
tqa1,43,-0.450050
tqa1,44,-32.250000
tqa1,45,-0.542259
tqa1,46,-0.575829
tqa1,47,-0.575829
tqa1,48,-0.315515
tqa1,49,-0.574502
tqa1,50,-33.625000
tqa1,51,-0.190699
tqa1,52,24.125000
tqa1,53,-12.999998
tqa1,54,-3.124942
tqa1,55,-0.377526
tqa1,56,-38.875000
tqa1,57,-0.544758
tqa1,58,-0.573336
tqa1,59,-0.573506
tqa1,60,24.000000
tqa1,61,-34.500000
tqa1,62,-13.499998
tqa1,63,24.000000
tqa2,0,-0.455569
tqa2,1,-0.514242
tqa2,2,-0.486168
tqa2,3,-33.250000
tqa2,4,-0.265343
tqa2,5,24.250000
tqa2,6,24.250000
tqa2,7,24.250000
tqa2,8,-0.455569
tqa2,9,-0.485504
tqa2,10,-26.500000
tqa2,11,-0.455569
tqa2,12,24.250000
tqa2,13,-0.076962
tqa2,14,-0.390483
tqa2,15,24.250000
tqa2,16,-30.000000
tqa2,17,-0.484772
tqa2,18,-0.513577
tqa2,19,-0.513787
tqa2,20,-0.263416
tqa2,21,-0.292190
tqa2,22,24.250000
tqa2,23,24.250000
tqa2,24,-0.481926
tqa2,25,-0.451284
tqa2,26,-0.451284
tqa2,27,-9.500000
tqa2,28,25.875000
tqa2,29,25.875000
tqa2,30,26.500000
tqa2,31,26.500000
tqa2,32,-0.481058
tqa2,33,-0.481058
tqa2,34,-0.542343
tqa2,35,-26.000000
tqa2,36,-0.478966
tqa2,37,-0.451284
tqa2,38,-0.446429
tqa2,39,-1.249994
tqa2,40,-0.481061
tqa2,41,-26.000000
tqa2,42,-0.450667
tqa2,43,-0.481613
tqa2,44,-0.480519
tqa2,45,-29.375000
tqa2,46,-0.513587
tqa2,47,-0.134576
tqa2,48,24.125000
tqa2,49,24.125000
tqa2,50,24.125000
tqa2,51,24.125000
tqa2,52,24.250000
tqa2,53,-0.076962
tqa2,54,24.250000
tqa2,55,-0.263416
tqa2,56,-0.389896
tqa2,57,-0.074774
tqa2,58,24.750000
tqa2,59,-0.420299
tqa2,60,24.250000
tqa2,61,24.250000
tqa2,62,24.250000
tqa2,63,-0.076962
tqa3,0,-0.329480
tqa3,1,-0.418902
tqa3,2,-36.562500
tqa3,3,-0.420076
tqa3,4,-35.000000
tqa3,5,-0.356301
tqa3,6,-0.355415
tqa3,7,-0.357178
tqa3,8,-0.387208
tqa3,9,-0.476207
tqa3,10,-35.687500
tqa3,11,-0.416954
tqa3,12,-35.437500
tqa3,13,-0.357973
tqa3,14,-0.386309
tqa3,15,-0.352886
tqa3,16,-0.419166
tqa3,17,-0.068739
tqa3,18,-0.326749
tqa3,19,-35.375000
tqa3,20,-0.478124
tqa3,21,-0.419491
tqa3,22,-0.418729
tqa3,23,-35.375000
tqa3,24,-34.312500
tqa3,25,-0.416459
tqa3,26,-0.419888
tqa3,27,-0.451133
tqa3,28,-34.125000
tqa3,29,-0.295425
tqa3,30,-0.329464
tqa3,31,-0.387372
tqa3,32,-0.138967
tqa3,33,-32.250000
tqa3,34,-0.357562
tqa3,35,-0.355934
tqa3,36,-0.422453
tqa3,37,-29.125000
tqa3,38,-0.477629
tqa3,39,-0.323994
tqa3,40,-0.446847
tqa3,41,-0.357999
tqa3,42,-32.500000
tqa3,43,-0.388829
tqa3,44,-0.421744
tqa3,45,-27.250000
tqa3,46,-0.386503
tqa3,47,-0.448375
tqa3,48,-0.390326
tqa3,49,-0.415241
tqa3,50,-37.062500
tqa3,51,-0.099719
tqa3,52,-0.451133
tqa3,53,-0.449973
tqa3,54,-36.562500
tqa3,55,-0.419283
tqa3,56,-0.356295
tqa3,57,-0.385973
tqa3,58,-0.193722
tqa3,59,-34.937500
tqa3,60,-0.510983
tqa3,61,-0.542560
tqa3,62,-35.750000
tqa3,63,-0.450652
tqa4,0,-0.514616
tqa4,1,-37.375000
tqa4,2,-0.516992
