band,anchor,value,b,c,p,verdict
B1,llama32_1b,3.0,,,,SATURATES
B1,llama32_3b,1.8333,,,,SATURATES
B1,pleias12b,1.0,,,,SATURATES
B1,pleias350m,1.0,,,,SATURATES
B1,qwen25_7b,1.3636,,,,SATURATES
B2,,,,,,NO READABLE ANCHOR
B3,kl3m170m,,0,0,1.0,SATURATED BY 64
B3,kl3m17b,,0,0,1.0,SATURATED BY 64
B3,kl3m37b,,0,0,1.0,SATURATED BY 64
B3,kl3m520m,,0,0,1.0,SATURATED BY 64
B3,llama32_1b,,3,0,0.25,SATURATED BY 64
B3,llama32_3b,,1,1,1.0,SATURATED BY 64
B3,opencalm1b,,0,0,1.0,SATURATED BY 64
B3,opencalm3b,,0,0,1.0,SATURATED BY 64
B3,phi35mini,,1,0,1.0,SATURATED BY 64
B3,pleias12b,,0,0,1.0,SATURATED BY 64
B3,pleias350m,,0,0,1.0,SATURATED BY 64
B3,qwen25_7b,,0,0,1.0,SATURATED BY 64
