prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.00.11,1984,0.802,0.8901,0.2721,0.3911,0.5623,0,242,0.3861,78,0.5571,0.3861,0.5571,0.3861,78,0.5571,0.3861,0.5571,0.3861,78,0.5571,0.3911,0.5571,0.3762,76,0.5623,0.3911,0.5623
bookmia.00.26,1984,0.7014,0.8675,0.3437,0.3602,0.5296,0,254,0.3602,76,0.5296,0.3602,0.5296,0.3602,76,0.5296,0.3602,0.5296,0.3602,76,0.5296,0.3602,0.5296,0.3602,76,0.5296,0.3602,0.5296
bookmia.00.31,1984,0.0,0.0985,0.2767,0.3789,0.5475,0,254,0.2579,47,0.4211,0.2579,0.4211,0.3789,72,0.5475,0.3789,0.5475,0.3789,72,0.5475,0.3789,0.5475,0.3789,72,0.5475,0.3789,0.5475
bookmia.00.40,1984,0.2892,0.4266,0.3518,0.3725,0.5429,0,252,0.3676,73,0.5357,0.3676,0.5357,0.3725,76,0.5429,0.3725,0.5429,0.3725,76,0.5429,0.3725,0.5429,0.3725,76,0.5429,0.3725,0.5429
bookmia.00.46,1984,0.0,0.1605,0.2642,0.3505,0.519,0,218,0.2336,50,0.4055,0.2336,0.4055,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519
bookmia.00.48,1984,0.77,0.8372,0.0019,0.1925,0.3566,0,3,0.0,3,0.1399,0.0,0.1399,0.0,6,0.131,0.0,0.1517,0.1925,41,0.3566,0.1925,0.3566,0.1925,41,0.3566,0.1925,0.3566
bookmia.00.64,1984,0.0,0.1449,0.2449,0.3594,0.522,0,250,0.3548,77,0.522,0.3548,0.522,0.3548,77,0.522,0.3548,0.522,0.3548,77,0.522,0.3548,0.522,0.3594,70,0.522,0.3594,0.522
bookmia.00.71,1984,0.3897,0.5291,0.1885,0.3474,0.5157,0,245,0.1315,28,0.2624,0.1315,0.2624,0.3474,74,0.5157,0.3474,0.5157,0.3427,68,0.5017,0.3474,0.5157,0.3427,68,0.5017,0.3474,0.5157
bookmia.01.00,a_game_of_thrones,0.0,0.1848,0.2746,0.3427,0.5157,0,236,0.3239,69,0.4912,0.3239,0.4912,0.3333,71,0.5017,0.3427,0.5087,0.3427,73,0.5157,0.3427,0.5157,0.3427,73,0.5157,0.3427,0.5157
bookmia.01.01,a_game_of_thrones,0.2488,0.3827,0.1323,0.3088,0.4718,0,146,0.1613,35,0.3333,0.1613,0.3333,0.3088,67,0.4718,0.3088,0.4718,0.3088,67,0.4718,0.3088,0.4718,0.2995,65,0.4702,0.3088,0.4718
bookmia.01.02,a_game_of_thrones,0.7424,0.8464,0.2907,0.3535,0.5204,0,252,0.3535,70,0.5204,0.3535,0.5204,0.3535,70,0.5204,0.3535,0.5204,0.3535,70,0.5204,0.3535,0.5204,0.3535,70,0.5204,0.3535,0.5204
bookmia.01.03,a_game_of_thrones,0.2778,0.3631,0.0188,0.3586,0.5259,0,29,0.0,12,0.1742,0.0,0.1742,0.1263,25,0.2391,0.1263,0.2711,0.1263,25,0.2426,0.1263,0.2711,0.3586,71,0.5259,0.3586,0.5259
bookmia.01.04,a_game_of_thrones,0.2754,0.4132,0.317,0.3623,0.53,0,253,0.3623,75,0.53,0.3623,0.53,0.3623,75,0.53,0.3623,0.53,0.3623,75,0.53,0.3623,0.53,0.3623,75,0.53,0.3623,0.53
bookmia.01.07,a_game_of_thrones,0.5352,0.6508,0.1886,0.3286,0.4947,0,196,0.2582,34,0.4421,0.2582,0.4421,0.2582,34,0.4196,0.2582,0.4421,0.3286,70,0.4947,0.3286,0.4947,0.3286,70,0.4947,0.3286,0.4947
bookmia.01.10,a_game_of_thrones,0.0,0.2222,0.3387,0.3663,0.5362,0,248,0.3663,74,0.5362,0.3663,0.5362,0.3663,74,0.5362,0.3663,0.5362,0.3663,74,0.5362,0.3663,0.5362,0.3663,74,0.5362,0.3663,0.5362
bookmia.01.11,a_game_of_thrones,0.7642,0.861,0.1791,0.3726,0.543,0,252,0.1651,35,0.3056,0.1651,0.3056,0.1698,36,0.3333,0.1698,0.3425,0.3726,79,0.543,0.3726,0.543,0.3726,79,0.543,0.3726,0.543
bookmia.01.12,a_game_of_thrones,0.1033,0.2818,0.2343,0.3709,0.5411,0,210,0.3709,79,0.5411,0.3709,0.5411,0.3709,79,0.5411,0.3709,0.5411,0.3709,79,0.5411,0.3709,0.5411,0.3709,79,0.5411,0.3709,0.5411
bookmia.01.14,a_game_of_thrones,0.7487,0.8539,0.0608,0.3618,0.5314,0,48,0.3618,72,0.5314,0.3618,0.5314,0.3618,72,0.5314,0.3618,0.5314,0.3618,72,0.5314,0.3618,0.5314,0.3618,72,0.5314,0.3618,0.5314
bookmia.01.20,a_game_of_thrones,0.1281,0.3529,0.304,0.33,0.4945,0,242,0.33,67,0.4945,0.33,0.4945,0.33,67,0.4945,0.33,0.4945,0.33,67,0.4945,0.33,0.4945,0.33,67,0.4945,0.33,0.4945
bookmia.01.22,a_game_of_thrones,0.6965,0.8046,0.2174,0.3433,0.5092,0,214,0.3383,44,0.4963,0.3383,0.4963,0.3383,44,0.4963,0.3383,0.4963,0.3433,69,0.5092,0.3433,0.5092,0.3433,69,0.5092,0.3433,0.5092
bookmia.01.23,a_game_of_thrones,0.2663,0.3853,0.261,0.3533,0.5221,0,197,0.3533,65,0.5221,0.3533,0.5221,0.3533,65,0.5221,0.3533,0.5221,0.3533,65,0.5221,0.3533,0.5221,0.3533,65,0.5221,0.3533,0.5221
bookmia.01.26,a_game_of_thrones,0.285,0.4478,0.0723,0.35,0.5185,0,169,0.0,8,0.1397,0.0,0.1397,0.105,21,0.2362,0.105,0.2647,0.105,21,0.2059,0.105,0.2647,0.35,70,0.5185,0.35,0.5185
bookmia.01.27,a_game_of_thrones,0.6649,0.7439,0.3616,0.3946,0.5714,0,255,0.3892,72,0.5637,0.3892,0.5637,0.3946,73,0.5637,0.3946,0.5637,0.3946,73,0.5637,0.3946,0.5714,0.3946,73,0.5637,0.3946,0.5714
bookmia.01.31,a_game_of_thrones,0.2359,0.3561,0.0022,0.359,0.5283,0,2,0.0,2,0.1245,0.0,0.1245,0.0,19,0.223,0.0,0.2444,0.0,19,0.1544,0.0,0.2472,0.359,70,0.5283,0.359,0.5283
bookmia.01.32,a_game_of_thrones,0.0,0.1808,0.1955,0.3743,0.5447,0,148,0.0,15,0.2077,0.0,0.2077,0.3743,70,0.5447,0.3743,0.5447,0.3743,70,0.5447,0.3743,0.5447,0.3743,70,0.5447,0.3743,0.5447
bookmia.01.33,a_game_of_thrones,0.7158,0.8257,0.1916,0.3632,0.5308,0,236,0.3632,69,0.5308,0.3632,0.5308,0.3632,69,0.5308,0.3632,0.5308,0.3632,69,0.5308,0.3632,0.5308,0.3632,69,0.5308,0.3632,0.5308
bookmia.01.36,a_game_of_thrones,0.6946,0.7933,0.2495,0.3695,0.5396,0,208,0.0,3,0.1387,0.0,0.1387,0.3695,75,0.5396,0.3695,0.5396,0.3695,75,0.5396,0.3695,0.5396,0.3695,75,0.5396,0.3695,0.5396
bookmia.01.37,a_game_of_thrones,0.6649,0.7602,0.2686,0.3138,0.4651,0,255,0.266,48,0.417,0.266,0.417,0.266,48,0.4046,0.2819,0.4514,0.266,48,0.4046,0.2819,0.4531,0.2819,48,0.4436,0.3138,0.4651
