prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.00.11,1984,0.802,0.8901,0.257,0.7871,0.8681,0,219,0.4653,50,0.6319,0.4653,0.6319,0.4653,50,0.6319,0.4653,0.6319,0.7822,120,0.8674,0.7822,0.8674,0.7871,126,0.8681,0.7871,0.8681
bookmia.00.26,1984,0.7014,0.8675,0.4974,0.8294,0.9039,51,239,0.2938,37,0.4362,0.2938,0.4362,0.7867,96,0.849,0.7867,0.849,0.8246,174,0.9039,0.8294,0.9039,0.8246,174,0.9039,0.8294,0.9039
bookmia.00.31,1984,0.0,0.0985,0.1231,0.8158,0.8754,1,229,0.2,28,0.2577,0.2,0.2577,0.1368,26,0.25,0.2,0.2577,0.1368,26,0.2384,0.2,0.3186,0.1211,23,0.2319,0.8158,0.8754
bookmia.00.40,1984,0.2892,0.4266,0.0054,0.7059,0.7944,0,3,0.0,2,0.114,0.0,0.114,0.0,2,0.114,0.0,0.1643,0.7059,76,0.7944,0.7059,0.7944,0.7059,76,0.7944,0.7059,0.7944
bookmia.00.46,1984,0.0,0.1605,0.4848,0.7897,0.8743,0,250,0.5748,100,0.7282,0.5748,0.7282,0.7757,72,0.8661,0.7757,0.8661,0.7897,75,0.8691,0.7897,0.8691,0.785,145,0.8743,0.7897,0.8743
bookmia.00.48,1984,0.77,0.8372,0.2196,0.7653,0.8468,0,234,0.1549,33,0.2987,0.1549,0.2987,0.2535,54,0.3646,0.2676,0.382,0.7653,97,0.8416,0.7653,0.8416,0.7653,97,0.8416,0.7653,0.8468
bookmia.00.64,1984,0.0,0.1449,0.2324,0.6129,0.7102,0,249,0.1382,30,0.285,0.1382,0.285,0.5714,63,0.6632,0.5714,0.6632,0.5115,108,0.651,0.5714,0.6632,0.5115,108,0.651,0.6129,0.7102
bookmia.00.71,1984,0.3897,0.5291,0.0689,0.7512,0.8525,0,31,0.0,2,0.1008,0.0,0.1008,0.0,2,0.1163,0.0,0.1703,0.7465,159,0.8525,0.7465,0.8525,0.7465,159,0.8525,0.7512,0.8525
bookmia.01.00,a_game_of_thrones,0.0,0.1848,0.3471,0.7465,0.8548,0,191,0.6667,53,0.7989,0.6667,0.7989,0.6667,53,0.7989,0.6667,0.7989,0.7465,159,0.8548,0.7465,0.8548,0.7465,159,0.8548,0.7465,0.8548
bookmia.01.01,a_game_of_thrones,0.2488,0.3827,0.1971,0.6636,0.8054,0,210,0.0,3,0.1711,0.0,0.1711,0.5806,59,0.7425,0.5806,0.7425,0.6636,144,0.8054,0.6636,0.8054,0.6267,110,0.8054,0.6636,0.8054
