prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.00.11,1984,0.802,0.8901,0.7831,0.8069,0.8901,222,255,0.802,162,0.8901,0.802,0.8901,0.802,162,0.8901,0.802,0.8901,0.802,162,0.8901,0.802,0.8901,0.802,162,0.8901,0.8069,0.8901
bookmia.00.26,1984,0.7014,0.8675,0.7861,0.8294,0.9039,231,251,0.8246,174,0.9039,0.8246,0.9039,0.8246,174,0.9039,0.8246,0.9039,0.8246,174,0.9039,0.8246,0.9039,0.8246,174,0.9039,0.8294,0.9039
bookmia.00.31,1984,0.0,0.0985,0.663,0.8158,0.8953,184,252,0.8105,154,0.8953,0.8105,0.8953,0.8105,154,0.8953,0.8105,0.8953,0.8105,154,0.8953,0.8158,0.8953,0.8105,154,0.8953,0.8158,0.8953
bookmia.00.40,1984,0.2892,0.4266,0.6534,0.7647,0.8603,0,248,0.0,3,0.1297,0.0,0.1297,0.7549,154,0.8603,0.7549,0.8603,0.7549,154,0.8603,0.7549,0.8603,0.7549,154,0.8603,0.7647,0.8603
bookmia.00.46,1984,0.0,0.1605,0.7669,0.7944,0.8825,0,255,0.785,168,0.8796,0.785,0.8796,0.785,168,0.8796,0.785,0.8796,0.785,168,0.8796,0.785,0.8796,0.785,168,0.8796,0.7944,0.8825
bookmia.00.48,1984,0.77,0.8372,0.6936,0.8075,0.8935,185,254,0.8075,172,0.8935,0.8075,0.8935,0.8075,172,0.8935,0.8075,0.8935,0.8075,172,0.8935,0.8075,0.8935,0.8075,172,0.8935,0.8075,0.8935
bookmia.00.64,1984,0.0,0.1449,0.6519,0.7834,0.8786,0,246,0.7834,170,0.8786,0.7834,0.8786,0.7834,170,0.8786,0.7834,0.8786,0.7834,170,0.8786,0.7834,0.8786,0.7834,170,0.8786,0.7834,0.8786
bookmia.00.71,1984,0.3897,0.5291,0.6801,0.7559,0.8556,0,244,0.7465,133,0.8495,0.7465,0.8495,0.7465,159,0.8525,0.7465,0.8525,0.7465,159,0.8525,0.7465,0.8525,0.7465,159,0.8525,0.7559,0.8556
bookmia.01.00,a_game_of_thrones,0.0,0.1848,0.6117,0.7418,0.8486,0,223,0.7371,157,0.8486,0.7371,0.8486,0.7371,157,0.8486,0.7418,0.8486,0.7371,157,0.8486,0.7418,0.8486,0.7371,157,0.8486,0.7418,0.8486
bookmia.01.01,a_game_of_thrones,0.2488,0.3827,0.4699,0.7189,0.8302,0,243,0.2903,63,0.4533,0.2903,0.4533,0.7097,86,0.8302,0.7097,0.8302,0.6912,150,0.8152,0.7097,0.8302,0.6912,150,0.8152,0.7189,0.8302
bookmia.01.02,a_game_of_thrones,0.7424,0.8464,0.0807,0.5758,0.7666,0,167,0.1212,13,0.2402,0.1212,0.2402,0.1212,24,0.2384,0.1212,0.2402,0.5758,98,0.7666,0.5758,0.7666,0.5758,98,0.7666,0.5758,0.7666
bookmia.01.03,a_game_of_thrones,0.2778,0.3631,0.2427,0.7828,0.8669,0,241,0.1869,33,0.302,0.1869,0.302,0.1869,33,0.322,0.1869,0.3251,0.7828,108,0.8669,0.7828,0.8669,0.7727,75,0.8604,0.7828,0.8669
bookmia.01.04,a_game_of_thrones,0.2754,0.4132,0.7206,0.7923,0.8841,0,251,0.7633,158,0.8472,0.7633,0.8472,0.7923,164,0.8841,0.7923,0.8841,0.7923,164,0.8841,0.7923,0.8841,0.7923,164,0.8841,0.7923,0.8841
bookmia.01.07,a_game_of_thrones,0.5352,0.6508,0.2715,0.77,0.867,0,227,0.1408,30,0.2787,0.1408,0.2787,0.7653,163,0.867,0.7653,0.867,0.7653,163,0.867,0.7653,0.867,0.7653,163,0.867,0.77,0.867
bookmia.01.10,a_game_of_thrones,0.0,0.2222,0.5156,0.7574,0.8523,0,195,0.7426,150,0.8499,0.7426,0.8499,0.7426,150,0.8499,0.7426,0.8499,0.7426,150,0.8499,0.7475,0.8523,0.7426,150,0.8499,0.7574,0.8523
bookmia.01.11,a_game_of_thrones,0.7642,0.861,0.7164,0.7689,0.8663,0,248,0.7642,162,0.8663,0.7642,0.8663,0.7642,162,0.8663,0.7689,0.8663,0.7642,162,0.8663,0.7689,0.8663,0.7642,162,0.8663,0.7689,0.8663
bookmia.01.12,a_game_of_thrones,0.1033,0.2818,0.5452,0.7042,0.8209,0,252,0.7042,146,0.8154,0.7042,0.8154,0.6995,149,0.8209,0.7042,0.8209,0.6995,149,0.8209,0.7042,0.8209,0.6995,149,0.8209,0.7042,0.8209
bookmia.01.14,a_game_of_thrones,0.7487,0.8539,0.6773,0.7588,0.8539,0,252,0.7487,149,0.8539,0.7487,0.8539,0.7487,149,0.8539,0.7487,0.8539,0.7487,149,0.8539,0.7487,0.8539,0.7487,149,0.8539,0.7588,0.8539
bookmia.01.20,a_game_of_thrones,0.1281,0.3529,0.0875,0.2118,0.3911,0,214,0.1034,21,0.2343,0.1034,0.2343,0.1034,21,0.2414,0.1034,0.2582,0.1034,21,0.2466,0.1379,0.3178,0.1034,21,0.2486,0.2118,0.3911
bookmia.01.22,a_game_of_thrones,0.6965,0.8046,0.0,0.0,0.1734,0,0,0.0,2,0.1348,0.0,0.1348,0.0,2,0.1219,0.0,0.1445,0.0,2,0.1348,0.0,0.1617,0.0,2,0.1366,0.0,0.1734
bookmia.01.23,a_game_of_thrones,0.2663,0.3853,0.5418,0.7663,0.8677,0,239,0.5598,86,0.6483,0.5598,0.6483,0.7663,141,0.8677,0.7663,0.8677,0.7663,141,0.8677,0.7663,0.8677,0.7663,141,0.8677,0.7663,0.8677
bookmia.01.26,a_game_of_thrones,0.285,0.4478,0.1096,0.685,0.8024,0,60,0.0,2,0.109,0.0,0.109,0.635,125,0.7485,0.635,0.7485,0.68,136,0.8024,0.685,0.8024,0.68,136,0.8024,0.685,0.8024
bookmia.01.27,a_game_of_thrones,0.6649,0.7439,0.7165,0.7784,0.8754,0,255,0.773,143,0.8693,0.773,0.8693,0.773,143,0.8693,0.773,0.8693,0.773,143,0.8693,0.773,0.8693,0.773,143,0.8693,0.7784,0.8754
bookmia.01.31,a_game_of_thrones,0.2359,0.3561,0.674,0.7538,0.8596,0,247,0.1692,33,0.3086,0.1692,0.3086,0.7538,147,0.8596,0.7538,0.8596,0.7538,147,0.8596,0.7538,0.8596,0.7538,147,0.8596,0.7538,0.8596
bookmia.01.32,a_game_of_thrones,0.0,0.1808,0.6298,0.7487,0.8563,0,253,0.7112,79,0.8135,0.7112,0.8135,0.7487,140,0.8563,0.7487,0.8563,0.7487,140,0.8563,0.7487,0.8563,0.7487,140,0.8563,0.7487,0.8563
bookmia.01.33,a_game_of_thrones,0.7158,0.8257,0.6621,0.7211,0.8344,0,250,0.7105,135,0.8308,0.7105,0.8308,0.7105,135,0.8308,0.7105,0.8308,0.7105,135,0.8308,0.7158,0.8308,0.7105,135,0.8308,0.7211,0.8344
bookmia.01.36,a_game_of_thrones,0.6946,0.7933,0.7136,0.7586,0.8596,0,253,0.7537,153,0.8596,0.7537,0.8596,0.7537,153,0.8596,0.7537,0.8596,0.7537,153,0.8596,0.7586,0.8596,0.7537,153,0.8596,0.7586,0.8596
bookmia.01.37,a_game_of_thrones,0.6649,0.7602,0.6263,0.7926,0.881,0,233,0.7872,148,0.881,0.7872,0.881,0.7872,148,0.881,0.7872,0.881,0.7872,148,0.881,0.7926,0.881,0.7872,148,0.881,0.7926,0.881
bookmia.01.39,a_game_of_thrones,0.24,0.3429,0.7008,0.795,0.8796,0,250,0.79,151,0.8771,0.79,0.8771,0.785,157,0.8796,0.79,0.8796,0.785,157,0.8796,0.795,0.8796,0.785,157,0.8796,0.795,0.8796
bookmia.01.41,a_game_of_thrones,0.0,0.1453,0.7262,0.7913,0.8804,0,252,0.7864,162,0.8804,0.7864,0.8804,0.7864,162,0.8804,0.7864,0.8804,0.7864,162,0.8804,0.7864,0.8804,0.7864,162,0.8804,0.7913,0.8804
bookmia.01.42,a_game_of_thrones,0.0,0.1862,0.1142,0.3268,0.4576,0,151,0.161,28,0.3187,0.161,0.3187,0.2683,28,0.3733,0.2683,0.3733,0.2683,28,0.3733,0.3268,0.4419,0.2439,28,0.378,0.3268,0.4576
bookmia.01.43,a_game_of_thrones,0.0,0.1448,0.1519,0.381,0.5112,0,176,0.2286,48,0.3626,0.2286,0.3626,0.2286,48,0.4413,0.2286,0.4413,0.2286,48,0.3712,0.2429,0.4514,0.2286,48,0.4533,0.381,0.5112
