prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.00.11,1984,0.3168,0.4213,0.7615,0.8069,0.8901,137,256,0.802,162,0.8901,0.802,0.8901,0.802,162,0.8901,0.8069,0.8901,0.802,162,0.8901,0.8069,0.8901,0.802,162,0.8901,0.8069,0.8901
bookmia.00.26,1984,0.8246,0.8779,0.0541,0.7962,0.8779,0,29,0.2607,30,0.3505,0.2607,0.3505,0.2607,30,0.3505,0.2607,0.3505,0.7962,95,0.8779,0.7962,0.8779,0.7962,95,0.8779,0.7962,0.8779
bookmia.00.31,1984,0.1211,0.2156,0.2001,0.7526,0.8805,0,104,0.3158,51,0.5329,0.3158,0.5329,0.7421,77,0.8605,0.7421,0.8605,0.7474,81,0.8746,0.7526,0.8754,0.7474,81,0.8805,0.7526,0.8805
bookmia.00.40,1984,0.2892,0.4247,0.0394,0.7304,0.8564,0,21,0.0,12,0.1984,0.0,0.1984,0.0,12,0.1766,0.0,0.1984,0.6912,141,0.8508,0.6912,0.8508,0.7304,149,0.8564,0.7304,0.8564
bookmia.00.46,1984,0.7383,0.8564,0.6063,0.7944,0.8796,0,246,0.3738,80,0.4935,0.3738,0.4935,0.785,168,0.8796,0.785,0.8796,0.785,168,0.8796,0.7897,0.8796,0.785,168,0.8796,0.7944,0.8796
bookmia.00.48,1984,0.1643,0.3194,0.7074,0.8263,0.8935,169,253,0.8122,153,0.8912,0.8122,0.8912,0.8122,153,0.8912,0.8122,0.8912,0.8075,172,0.8935,0.8169,0.8935,0.8075,172,0.8935,0.8263,0.8935
bookmia.00.64,1984,0.0,0.1755,0.5748,0.7834,0.8734,0,241,0.7051,82,0.8063,0.7051,0.8063,0.7558,92,0.8438,0.765,0.8579,0.7834,126,0.8734,0.7834,0.8734,0.7834,126,0.8734,0.7834,0.8734
bookmia.00.71,1984,0.2911,0.4831,0.623,0.7512,0.8579,0,248,0.6479,116,0.7614,0.6479,0.7614,0.7465,159,0.8525,0.7512,0.8525,0.7465,159,0.8525,0.7512,0.8548,0.7465,159,0.8525,0.7512,0.8579
bookmia.01.00,a_game_of_thrones,0.0,0.224,0.1624,0.5493,0.6898,0,198,0.1831,39,0.3636,0.1831,0.3636,0.1831,39,0.328,0.2582,0.3636,0.3662,39,0.5775,0.4789,0.5775,0.4601,78,0.6898,0.5493,0.6898
bookmia.01.01,a_game_of_thrones,0.7005,0.8076,0.464,0.7051,0.8238,0,249,0.5714,71,0.712,0.5714,0.712,0.7005,123,0.8184,0.7005,0.8184,0.7005,152,0.8238,0.7051,0.8238,0.7005,152,0.8238,0.7051,0.8238
bookmia.01.02,a_game_of_thrones,0.1364,0.2493,0.3206,0.7475,0.8522,0,239,0.0,15,0.2261,0.0,0.2261,0.5354,106,0.7155,0.5354,0.7155,0.7424,147,0.8522,0.7424,0.8522,0.7424,147,0.8522,0.7475,0.8522
bookmia.01.03,a_game_of_thrones,0.7828,0.8669,0.6215,0.7879,0.882,0,251,0.7576,107,0.8329,0.7576,0.8329,0.7576,107,0.8329,0.7576,0.8376,0.7879,107,0.882,0.7879,0.882,0.7879,107,0.882,0.7879,0.882
bookmia.01.04,a_game_of_thrones,0.2415,0.3887,0.6811,0.7923,0.8841,0,253,0.1111,23,0.2398,0.1111,0.2398,0.7874,131,0.8763,0.7874,0.8763,0.7923,164,0.8841,0.7923,0.8841,0.7923,164,0.8841,0.7923,0.8841
bookmia.01.07,a_game_of_thrones,0.5822,0.6827,0.2014,0.7324,0.8391,0,126,0.6667,90,0.7672,0.6667,0.7672,0.6667,90,0.7672,0.6667,0.7672,0.1502,29,0.2627,0.723,0.836,0.1502,29,0.2627,0.7324,0.8391
bookmia.01.10,a_game_of_thrones,0.7327,0.84,0.7154,0.7574,0.8555,0,255,0.7525,103,0.8442,0.7525,0.8442,0.7525,103,0.8499,0.7525,0.8499,0.7525,103,0.8499,0.7525,0.8499,0.7475,151,0.8555,0.7574,0.8555
bookmia.01.11,a_game_of_thrones,0.7642,0.8663,0.4779,0.7689,0.8663,0,254,0.7264,59,0.8257,0.7264,0.8257,0.7264,59,0.8257,0.7264,0.8257,0.7547,101,0.8533,0.7642,0.861,0.7642,162,0.8663,0.7689,0.8663
bookmia.01.12,a_game_of_thrones,0.0,0.1084,0.3022,0.6714,0.7781,0,244,0.3146,57,0.442,0.3146,0.442,0.3146,57,0.442,0.3333,0.4649,0.6526,85,0.7713,0.6667,0.7713,0.6197,85,0.7452,0.6714,0.7781
bookmia.01.14,a_game_of_thrones,0.7487,0.8539,0.5389,0.7588,0.8596,0,229,0.7487,104,0.8481,0.7487,0.8481,0.7487,104,0.8481,0.7538,0.8481,0.7487,149,0.8539,0.7538,0.8563,0.7487,149,0.8539,0.7588,0.8596
bookmia.01.20,a_game_of_thrones,0.0,0.1923,0.0608,0.3842,0.6724,0,66,0.0,13,0.2011,0.0,0.2011,0.3645,37,0.4641,0.3645,0.4641,0.0,13,0.1778,0.3645,0.4676,0.0,13,0.1778,0.3842,0.6724
bookmia.01.22,a_game_of_thrones,0.6169,0.7544,0.4098,0.7363,0.8391,0,234,0.7264,90,0.8391,0.7264,0.8391,0.7264,90,0.8391,0.7264,0.8391,0.7264,146,0.8391,0.7313,0.8391,0.7264,146,0.8391,0.7363,0.8391
bookmia.01.23,a_game_of_thrones,0.0,0.1445,0.2104,0.7446,0.845,0,219,0.0,1,0.1136,0.0,0.1136,0.5707,49,0.6708,0.5707,0.6708,0.7337,74,0.8171,0.7337,0.8171,0.7337,74,0.8171,0.7446,0.845
bookmia.01.26,a_game_of_thrones,0.615,0.7813,0.3703,0.675,0.7719,0,210,0.45,55,0.686,0.45,0.686,0.45,55,0.686,0.58,0.7405,0.515,55,0.7299,0.59,0.7405,0.64,55,0.7719,0.675,0.7719
bookmia.01.27,a_game_of_thrones,0.0,0.1785,0.2711,0.7784,0.8571,0,239,0.2432,45,0.3455,0.2432,0.3455,0.5297,68,0.6563,0.5351,0.6563,0.5297,68,0.6563,0.5405,0.6563,0.7784,60,0.8571,0.7784,0.8571
bookmia.01.31,a_game_of_thrones,0.7538,0.8596,0.4074,0.7641,0.8613,0,237,0.7385,115,0.8338,0.7385,0.8338,0.7385,115,0.8338,0.7385,0.8338,0.7385,117,0.8372,0.759,0.858,0.7385,117,0.8372,0.7641,0.8613
bookmia.01.32,a_game_of_thrones,0.4278,0.541,0.3282,0.6684,0.7645,0,195,0.4332,81,0.5804,0.4332,0.5804,0.4759,89,0.5994,0.4759,0.5994,0.4759,89,0.5988,0.4759,0.6192,0.6684,89,0.7645,0.6684,0.7645
bookmia.01.33,a_game_of_thrones,0.6895,0.8049,0.6751,0.7263,0.8379,0,249,0.7,130,0.8171,0.7,0.8171,0.7211,137,0.8379,0.7211,0.8379,0.7211,137,0.8379,0.7263,0.8379,0.7211,137,0.8379,0.7263,0.8379
bookmia.01.36,a_game_of_thrones,0.7537,0.8571,0.6265,0.7734,0.8627,0,250,0.7586,80,0.8571,0.7586,0.8571,0.7537,61,0.8459,0.7635,0.8571,0.7586,154,0.8627,0.7635,0.8627,0.7586,154,0.8627,0.7734,0.8627
bookmia.01.37,a_game_of_thrones,0.3777,0.5841,0.3148,0.7872,0.881,0,125,0.7819,128,0.869,0.7819,0.869,0.7872,148,0.881,0.7872,0.881,0.7872,148,0.881,0.7872,0.881,0.7872,148,0.881,0.7872,0.881
bookmia.01.39,a_game_of_thrones,0.24,0.3458,0.3746,0.79,0.8827,0,254,0.31,62,0.4629,0.31,0.4629,0.785,118,0.8771,0.785,0.8771,0.785,81,0.8739,0.785,0.8771,0.785,157,0.8796,0.79,0.8827
bookmia.01.41,a_game_of_thrones,0.0,0.196,0.3704,0.7961,0.875,0,215,0.1262,26,0.236,0.1262,0.236,0.7816,134,0.8665,0.7816,0.8665,0.7864,135,0.875,0.7913,0.875,0.7864,135,0.875,0.7961,0.875
bookmia.01.42,a_game_of_thrones,0.3902,0.5886,0.5524,0.8,0.8828,1,251,0.6878,63,0.7978,0.6878,0.7978,0.6878,65,0.8533,0.6878,0.8533,0.7902,98,0.8774,0.7951,0.8774,0.7902,162,0.8828,0.8,0.8828
bookmia.01.43,a_game_of_thrones,0.0,0.1778,0.1278,0.6143,0.7627,0,133,0.0,7,0.1873,0.0,0.1873,0.5571,39,0.7236,0.5571,0.7236,0.5571,39,0.7236,0.6143,0.7236,0.581,84,0.7627,0.6143,0.7627
bookmia.01.44,a_game_of_thrones,0.625,0.7577,0.5298,0.7452,0.8485,0,234,0.7308,152,0.8444,0.7308,0.8444,0.7308,152,0.8444,0.7404,0.8444,0.726,151,0.8412,0.7452,0.8453,0.7308,152,0.8444,0.7452,0.8485
bookmia.01.46,a_game_of_thrones,0.1465,0.2543,0.3764,0.7576,0.8555,0,201,0.7374,93,0.8406,0.7374,0.8406,0.7525,145,0.853,0.7525,0.8555,0.7475,141,0.8497,0.7525,0.8555,0.7475,148,0.8555,0.7576,0.8555
bookmia.01.49,a_game_of_thrones,0.4146,0.5506,0.0566,0.678,0.7781,0,32,0.0,6,0.17,0.0,0.17,0.0,6,0.163,0.0,0.1725,0.5561,76,0.7356,0.5561,0.7356,0.5902,91,0.7086,0.678,0.7781
bookmia.01.51,a_game_of_thrones,0.5755,0.6975,0.6823,0.7689,0.8602,0,252,0.184,39,0.2987,0.184,0.2987,0.7547,160,0.8602,0.7594,0.8602,0.7547,160,0.8602,0.7594,0.8602,0.7547,160,0.8602,0.7689,0.8602
bookmia.01.52,a_game_of_thrones,0.2464,0.4217,0.2697,0.6908,0.8103,0,153,0.0,2,0.1233,0.0,0.1233,0.686,104,0.808,0.686,0.808,0.6812,141,0.8103,0.6908,0.8103,0.6812,141,0.8103,0.6908,0.8103
bookmia.01.58,a_game_of_thrones,0.0,0.152,0.3852,0.7737,0.8724,0,234,0.0,2,0.0983,0.0,0.0983,0.7684,96,0.8605,0.7684,0.8605,0.7737,147,0.8724,0.7737,0.8724,0.7737,147,0.8724,0.7737,0.8724
bookmia.01.59,a_game_of_thrones,0.0986,0.2382,0.4397,0.723,0.8338,0,227,0.5587,119,0.6989,0.5587,0.6989,0.5587,119,0.7123,0.5587,0.7123,0.723,116,0.8338,0.723,0.8338,0.723,116,0.8338,0.723,0.8338
bookmia.01.60,a_game_of_thrones,0.1106,0.234,0.124,0.4327,0.6072,0,188,0.1154,24,0.2047,0.1154,0.2047,0.1923,36,0.3343,0.1923,0.3362,0.3558,26,0.474,0.3558,0.474,0.1923,40,0.2969,0.4327,0.6072
bookmia.01.62,a_game_of_thrones,0.7606,0.864,0.4708,0.7606,0.8554,0,245,0.2181,38,0.3385,0.2181,0.3385,0.75,61,0.8253,0.75,0.8253,0.7553,103,0.8494,0.7606,0.8554,0.7553,103,0.8494,0.7606,0.8554
bookmia.01.69,a_game_of_thrones,0.7562,0.8555,0.6184,0.7662,0.8644,0,244,0.7313,83,0.8466,0.7313,0.8466,0.7562,152,0.8612,0.7662,0.8644,0.7562,152,0.8612,0.7662,0.8644,0.7562,152,0.8612,0.7662,0.8644
bookmia.01.71,a_game_of_thrones,0.7393,0.8257,0.4482,0.763,0.8625,0,252,0.7536,104,0.8541,0.7536,0.8541,0.7536,103,0.8541,0.7536,0.8541,0.7536,159,0.8595,0.7536,0.8595,0.7536,159,0.8595,0.763,0.8625
bookmia.01.73,a_game_of_thrones,0.1925,0.3271,0.3735,0.7653,0.8427,0,256,0.493,54,0.6082,0.493,0.6082,0.4648,75,0.6419,0.5023,0.672,0.7418,79,0.8396,0.7418,0.8396,0.7653,67,0.8427,0.7653,0.8427
bookmia.01.74,a_game_of_thrones,0.0,0.1471,0.1691,0.7938,0.8646,0,148,0.1031,11,0.217,0.1031,0.217,0.7835,73,0.853,0.7835,0.853,0.7835,73,0.853,0.7835,0.853,0.7938,81,0.8646,0.7938,0.8646
bookmia.01.75,a_game_of_thrones,0.0,0.1637,0.3667,0.7158,0.8144,0,248,0.3421,65,0.4971,0.3421,0.4971,0.5053,65,0.6012,0.5053,0.6012,0.6684,65,0.8084,0.6947,0.8084,0.3368,64,0.4343,0.7158,0.8144
