prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.00.11,1984,0.3168,0.4213,0.7467,0.7673,0.8683,0,256,0.5297,105,0.6592,0.5297,0.6592,0.7673,155,0.8683,0.7673,0.8683,0.7673,155,0.8683,0.7673,0.8683,0.7673,155,0.8683,0.7673,0.8683
bookmia.00.26,1984,0.8246,0.8779,0.7426,0.7915,0.8806,0,249,0.7867,166,0.8806,0.7867,0.8806,0.7867,166,0.8806,0.7867,0.8806,0.7867,166,0.8806,0.7915,0.8806,0.7867,166,0.8806,0.7915,0.8806
bookmia.00.31,1984,0.1211,0.2156,0.7562,0.7842,0.8791,0,256,0.7842,149,0.8791,0.7842,0.8791,0.7842,149,0.8791,0.7842,0.8791,0.7842,149,0.8791,0.7842,0.8791,0.7842,149,0.8791,0.7842,0.8791
bookmia.00.40,1984,0.2892,0.4247,0.688,0.7402,0.8475,0,251,0.7353,150,0.8475,0.7353,0.8475,0.7353,150,0.8475,0.7353,0.8475,0.7353,150,0.8475,0.7353,0.8475,0.7353,150,0.8475,0.7402,0.8475
bookmia.00.46,1984,0.7383,0.8564,0.7163,0.757,0.8617,0,251,0.757,162,0.8617,0.757,0.8617,0.757,162,0.8617,0.757,0.8617,0.757,162,0.8617,0.757,0.8617,0.757,162,0.8617,0.757,0.8617
bookmia.00.48,1984,0.1643,0.3194,0.7371,0.77,0.8647,0,254,0.7606,162,0.8617,0.7606,0.8617,0.7606,162,0.8617,0.7606,0.8617,0.7606,162,0.8617,0.7606,0.8617,0.7606,105,0.864,0.77,0.8647
bookmia.00.64,1984,0.0,0.1755,0.7451,0.7742,0.8698,0,255,0.7696,167,0.8698,0.7696,0.8698,0.7696,167,0.8698,0.7696,0.8698,0.7696,167,0.8698,0.7742,0.8698,0.7696,167,0.8698,0.7742,0.8698
bookmia.00.71,1984,0.2911,0.4831,0.6892,0.7089,0.8251,0,256,0.6995,149,0.8232,0.6995,0.8232,0.6995,149,0.8232,0.6995,0.8232,0.6995,149,0.8232,0.6995,0.8232,0.6995,149,0.8232,0.7089,0.8251
bookmia.01.00,a_game_of_thrones,0.0,0.224,0.7025,0.7183,0.8361,0,256,0.7183,153,0.8361,0.7183,0.8361,0.7183,153,0.8361,0.7183,0.8361,0.7183,153,0.8361,0.7183,0.8361,0.7183,153,0.8361,0.7183,0.8361
bookmia.01.01,a_game_of_thrones,0.7005,0.8076,0.2868,0.6544,0.7911,0,255,0.2074,45,0.4176,0.2074,0.4176,0.2765,60,0.416,0.3733,0.5319,0.6544,142,0.7911,0.6544,0.7911,0.6544,142,0.7911,0.6544,0.7911
bookmia.01.02,a_game_of_thrones,0.1364,0.2493,0.7084,0.7172,0.8387,0,256,0.7172,142,0.8328,0.7172,0.8328,0.7172,142,0.8328,0.7172,0.8328,0.7172,142,0.8328,0.7172,0.8328,0.7172,142,0.8328,0.7172,0.8387
bookmia.01.03,a_game_of_thrones,0.7828,0.8669,0.7228,0.7576,0.8588,0,254,0.7525,149,0.8588,0.7525,0.8588,0.7525,149,0.8588,0.7525,0.8588,0.7525,149,0.8588,0.7525,0.8588,0.7525,149,0.8588,0.7576,0.8588
