prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.00.11,1984,0.3168,0.4213,0.7753,0.8069,0.8901,216,254,0.802,162,0.8901,0.802,0.8901,0.802,162,0.8901,0.802,0.8901,0.802,162,0.8901,0.802,0.8901,0.802,162,0.8901,0.8069,0.8901
bookmia.00.26,1984,0.8246,0.8779,0.7725,0.8294,0.9039,226,250,0.8246,174,0.9039,0.8246,0.9039,0.8246,174,0.9039,0.8246,0.9039,0.8246,174,0.9039,0.8246,0.9039,0.8246,174,0.9039,0.8294,0.9039
bookmia.00.31,1984,0.1211,0.2156,0.6381,0.8105,0.8953,171,253,0.8105,154,0.8953,0.8105,0.8953,0.8105,154,0.8953,0.8105,0.8953,0.8105,154,0.8953,0.8105,0.8953,0.8105,154,0.8953,0.8105,0.8953
bookmia.00.40,1984,0.2892,0.4247,0.6108,0.7696,0.8667,0,251,0.7549,154,0.8603,0.7549,0.8603,0.7549,154,0.8603,0.7549,0.8603,0.7549,154,0.8603,0.7598,0.8603,0.7549,154,0.8603,0.7696,0.8667
bookmia.00.46,1984,0.7383,0.8564,0.7622,0.7897,0.8796,0,256,0.785,168,0.8796,0.785,0.8796,0.785,168,0.8796,0.785,0.8796,0.785,168,0.8796,0.7897,0.8796,0.785,168,0.8796,0.7897,0.8796
bookmia.00.48,1984,0.1643,0.3194,0.7279,0.8122,0.8935,199,253,0.8075,172,0.8935,0.8075,0.8935,0.8075,172,0.8935,0.8075,0.8935,0.8075,172,0.8935,0.8075,0.8935,0.8075,172,0.8935,0.8122,0.8935
bookmia.00.64,1984,0.0,0.1755,0.683,0.7834,0.8786,0,250,0.7834,170,0.8786,0.7834,0.8786,0.7834,170,0.8786,0.7834,0.8786,0.7834,170,0.8786,0.7834,0.8786,0.7834,170,0.8786,0.7834,0.8786
bookmia.00.71,1984,0.2911,0.4831,0.6821,0.7512,0.8533,0,246,0.7465,159,0.8525,0.7465,0.8525,0.7465,159,0.8525,0.7465,0.8525,0.7465,159,0.8525,0.7512,0.8533,0.7465,159,0.8525,0.7512,0.8533
bookmia.01.00,a_game_of_thrones,0.0,0.224,0.5779,0.7465,0.8486,0,214,0.0,4,0.1723,0.0,0.1723,0.7371,157,0.8486,0.7371,0.8486,0.7371,157,0.8486,0.7418,0.8486,0.7371,157,0.8486,0.7465,0.8486
bookmia.01.01,a_game_of_thrones,0.7005,0.8076,0.4348,0.7189,0.8311,0,248,0.2903,63,0.4509,0.2903,0.4509,0.7097,86,0.8302,0.7143,0.8302,0.6912,150,0.8152,0.7143,0.8302,0.6912,150,0.8152,0.7189,0.8311
bookmia.01.02,a_game_of_thrones,0.1364,0.2493,0.09,0.7424,0.8522,0,178,0.1212,17,0.232,0.1212,0.232,0.1212,17,0.2413,0.1212,0.2444,0.1212,13,0.2247,0.1212,0.2637,0.7424,147,0.8522,0.7424,0.8522
bookmia.01.03,a_game_of_thrones,0.7828,0.8669,0.2512,0.7828,0.8636,0,235,0.101,20,0.2289,0.101,0.2289,0.4747,94,0.6158,0.4747,0.6158,0.7727,108,0.8457,0.7727,0.8457,0.7677,108,0.8547,0.7828,0.8636
bookmia.01.04,a_game_of_thrones,0.2415,0.3887,0.7171,0.7923,0.8841,0,253,0.7923,164,0.8841,0.7923,0.8841,0.7923,164,0.8841,0.7923,0.8841,0.7923,164,0.8841,0.7923,0.8841,0.7923,164,0.8841,0.7923,0.8841
bookmia.01.07,a_game_of_thrones,0.5822,0.6827,0.3104,0.77,0.867,0,236,0.2019,43,0.3661,0.2019,0.3661,0.108,23,0.248,0.2019,0.3661,0.7653,163,0.867,0.7653,0.867,0.7653,163,0.867,0.77,0.867
bookmia.01.10,a_game_of_thrones,0.7327,0.84,0.4873,0.7475,0.8523,0,191,0.6089,123,0.7401,0.6089,0.7401,0.7426,150,0.8499,0.7426,0.8499,0.7426,150,0.8499,0.7475,0.8523,0.7426,150,0.8499,0.7475,0.8523
bookmia.01.11,a_game_of_thrones,0.7642,0.8663,0.7192,0.7689,0.8663,0,250,0.7642,162,0.8663,0.7642,0.8663,0.7642,162,0.8663,0.7642,0.8663,0.7642,162,0.8663,0.7689,0.8663,0.7642,162,0.8663,0.7689,0.8663
bookmia.01.12,a_game_of_thrones,0.0,0.1084,0.5483,0.7042,0.8209,0,253,0.6995,112,0.8154,0.6995,0.8154,0.6995,149,0.8209,0.7042,0.8209,0.6995,149,0.8209,0.7042,0.8209,0.6995,149,0.8209,0.7042,0.8209
