prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n2,lcs_n2,rouge_n2,oracle_recall_n2,oracle_rouge_n2,recall_n4,lcs_n4,rouge_n4,oracle_recall_n4,oracle_rouge_n4,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n16,lcs_n16,rouge_n16,oracle_recall_n16,oracle_rouge_n16,recall_n32,lcs_n32,rouge_n32,oracle_recall_n32,oracle_rouge_n32,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.00.11,1984,0.802,0.8901,0.0,0.0,0.1254,0,0,0.0,2,0.0909,0.0,0.0909,0.0,2,0.0909,0.0,0.0909,0.0,2,0.0909,0.0,0.1159,0.0,2,0.0909,0.0,0.1159,0.0,1,0.0098,0.0,0.1159,0.0,1,0.0448,0.0,0.1176,0.0,1,0.027,0.0,0.1254
bookmia.00.26,1984,0.7014,0.8675,0.0,0.0,0.1804,0,0,0.0,2,0.1233,0.0,0.1233,0.0,2,0.1233,0.0,0.1233,0.0,2,0.1233,0.0,0.1233,0.0,2,0.0856,0.0,0.1233,0.0,2,0.0856,0.0,0.1233,0.0,2,0.0772,0.0,0.1233,0.0,1,0.0094,0.0,0.1804
bookmia.00.31,1984,0.0,0.0985,0.0,0.0,0.1437,0,0,0.0,2,0.0833,0.0,0.0833,0.0,2,0.1437,0.0,0.1437,0.0,2,0.1235,0.0,0.1437,0.0,1,0.1289,0.0,0.1437,0.0,2,0.0461,0.0,0.1437,0.0,2,0.0461,0.0,0.1437,0.0,2,0.0461,0.0,0.1437
bookmia.00.40,1984,0.2892,0.4266,0.0,0.0,0.1377,0,0,0.0,2,0.1292,0.0,0.1292,0.0,2,0.1292,0.0,0.1292,0.0,2,0.1275,0.0,0.1319,0.0,2,0.1275,0.0,0.1319,0.0,2,0.1275,0.0,0.1352,0.0,2,0.1275,0.0,0.1377,0.0,2,0.1275,0.0,0.1377
bookmia.00.46,1984,0.0,0.1605,0.0,0.0,0.1755,0,0,0.0,2,0.1324,0.0,0.1324,0.0,2,0.1365,0.0,0.1365,0.0,2,0.1365,0.0,0.1365,0.0,2,0.1365,0.0,0.1365,0.0,2,0.1095,0.0,0.1467,0.0,2,0.1095,0.0,0.1467,0.0,1,0.0717,0.0,0.1755
bookmia.00.48,1984,0.77,0.8372,0.0,0.0,0.152,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0825,0.0,0,0.0,0.0,0.0825,0.0,1,0.0586,0.0,0.1014,0.0,1,0.0586,0.0,0.152,0.0,1,0.0586,0.0,0.152,0.0,1,0.0775,0.0,0.152
bookmia.00.64,1984,0.0,0.1449,0.0,0.0,0.1748,0,0,0.0,3,0.1196,0.0,0.1196,0.0,4,0.1368,0.0,0.1368,0.0,4,0.1368,0.0,0.1368,0.0,4,0.1368,0.0,0.1368,0.0,4,0.1368,0.0,0.1381,0.0,4,0.125,0.0,0.1381,0.0,4,0.1439,0.0,0.1748
bookmia.00.71,1984,0.3897,0.5291,0.0,0.0,0.1703,0,0,0.0,2,0.0653,0.0,0.0653,0.0,2,0.0653,0.0,0.1436,0.0,2,0.0653,0.0,0.1436,0.0,2,0.0653,0.0,0.1436,0.0,2,0.1203,0.0,0.1703,0.0,2,0.1203,0.0,0.1703,0.0,2,0.1203,0.0,0.1703
bookmia.01.00,a_game_of_thrones,0.0,0.1848,0.0,0.0,0.1742,0,0,0.0,2,0.0729,0.0,0.0729,0.0,2,0.1233,0.0,0.1233,0.0,2,0.1233,0.0,0.161,0.0,2,0.1406,0.0,0.161,0.0,2,0.0596,0.0,0.1742,0.0,2,0.0596,0.0,0.1742,0.0,2,0.0596,0.0,0.1742
bookmia.01.01,a_game_of_thrones,0.2488,0.3827,0.0,0.0,0.172,0,0,0.0,2,0.0863,0.0,0.0863,0.0,2,0.0863,0.0,0.0863,0.0,2,0.0863,0.0,0.1281,0.0,3,0.0687,0.0,0.1281,0.0,3,0.0687,0.0,0.1281,0.0,3,0.0687,0.0,0.1474,0.0,3,0.0687,0.0,0.172
bookmia.01.02,a_game_of_thrones,0.7424,0.8464,0.0,0.0,0.1296,0,0,0.0,2,0.0276,0.0,0.0276,0.0,1,0.0875,0.0,0.0875,0.0,2,0.1041,0.0,0.1117,0.0,2,0.1041,0.0,0.1117,0.0,2,0.1041,0.0,0.1219,0.0,1,0.1234,0.0,0.1234,0.0,2,0.0977,0.0,0.1296
bookmia.01.03,a_game_of_thrones,0.2778,0.3631,0.0,0.0,0.1326,0,0,0.0,1,0.01,0.0,0.01,0.0,1,0.01,0.0,0.0598,0.0,1,0.01,0.0,0.0917,0.0,2,0.102,0.0,0.116,0.0,1,0.0837,0.0,0.1326,0.0,1,0.0837,0.0,0.1326,0.0,1,0.0837,0.0,0.1326
bookmia.01.04,a_game_of_thrones,0.2754,0.4132,0.0,0.0,0.1345,0,0,0.0,2,0.099,0.0,0.099,0.0,2,0.0732,0.0,0.099,0.0,2,0.1229,0.0,0.1229,0.0,3,0.093,0.0,0.127,0.0,2,0.1145,0.0,0.127,0.0,2,0.1145,0.0,0.127,0.0,2,0.1145,0.0,0.1345
bookmia.01.07,a_game_of_thrones,0.5352,0.6508,0.0,0.0,0.1408,0,0,0.0,2,0.0429,0.0,0.0429,0.0,2,0.0429,0.0,0.1038,0.0,2,0.1042,0.0,0.1042,0.0,2,0.0806,0.0,0.1042,0.0,2,0.0806,0.0,0.1316,0.0,2,0.0806,0.0,0.1408,0.0,2,0.0806,0.0,0.1408
bookmia.01.10,a_game_of_thrones,0.0,0.2222,0.0,0.0,0.1259,0,0,0.0,2,0.0981,0.0,0.0981,0.0,2,0.0981,0.0,0.0981,0.0,2,0.1076,0.0,0.1076,0.0,2,0.1076,0.0,0.1129,0.0,1,0.1096,0.0,0.1129,0.0,1,0.1096,0.0,0.1164,0.0,1,0.1096,0.0,0.1259
bookmia.01.11,a_game_of_thrones,0.7642,0.861,0.0,0.0,0.1452,0,0,0.0,1,0.0699,0.0,0.0699,0.0,1,0.0699,0.0,0.0699,0.0,1,0.0345,0.0,0.0817,0.0,1,0.0345,0.0,0.1345,0.0,1,0.0345,0.0,0.1345,0.0,1,0.0345,0.0,0.1345,0.0,1,0.0403,0.0,0.1452
bookmia.01.12,a_game_of_thrones,0.1033,0.2818,0.0,0.0,0.1308,0,0,0.0,1,0.093,0.0,0.093,0.0,1,0.093,0.0,0.0963,0.0,1,0.093,0.0,0.0963,0.0,1,0.093,0.0,0.1308,0.0,1,0.093,0.0,0.1308,0.0,1,0.093,0.0,0.1308,0.0,1,0.093,0.0,0.1308
bookmia.01.14,a_game_of_thrones,0.7487,0.8539,0.0,0.0,0.1586,0,0,0.0,2,0.0996,0.0,0.0996,0.0,2,0.0996,0.0,0.0996,0.0,2,0.1586,0.0,0.1586,0.0,1,0.0899,0.0,0.1586,0.0,1,0.1322,0.0,0.1586,0.0,1,0.1322,0.0,0.1586,0.0,1,0.1322,0.0,0.1586
bookmia.01.20,a_game_of_thrones,0.1281,0.3529,0.0,0.0,0.1303,0,0,0.0,1,0.0364,0.0,0.0364,0.0,1,0.0364,0.0,0.0669,0.0,1,0.0364,0.0,0.0873,0.0,1,0.0364,0.0,0.1194,0.0,1,0.0364,0.0,0.1261,0.0,1,0.0364,0.0,0.1303,0.0,1,0.0098,0.0,0.1303
bookmia.01.22,a_game_of_thrones,0.6965,0.8046,0.0,0.0,0.1547,0,0,0.0,2,0.1307,0.0,0.1307,0.0,2,0.1135,0.0,0.1307,0.0,2,0.083,0.0,0.1547,0.0,2,0.083,0.0,0.1547,0.0,2,0.1145,0.0,0.1547,0.0,2,0.1145,0.0,0.1547,0.0,2,0.1145,0.0,0.1547
bookmia.01.23,a_game_of_thrones,0.2663,0.3853,0.0,0.0,0.1502,0,0,0.0,2,0.131,0.0,0.131,0.0,2,0.131,0.0,0.131,0.0,2,0.131,0.0,0.131,0.0,2,0.1159,0.0,0.131,0.0,1,0.0107,0.0,0.131,0.0,1,0.0107,0.0,0.1311,0.0,1,0.1085,0.0,0.1502
bookmia.01.26,a_game_of_thrones,0.285,0.4478,0.0,0.0,0.137,0,0,0.0,2,0.0858,0.0,0.0858,0.0,2,0.0858,0.0,0.107,0.0,2,0.0858,0.0,0.107,0.0,2,0.0675,0.0,0.107,0.0,2,0.1085,0.0,0.1085,0.0,2,0.1085,0.0,0.1118,0.0,1,0.0597,0.0,0.137
bookmia.01.27,a_game_of_thrones,0.6649,0.7439,0.0,0.0,0.1341,0,0,0.0,2,0.113,0.0,0.113,0.0,2,0.113,0.0,0.113,0.0,2,0.113,0.0,0.1183,0.0,2,0.113,0.0,0.1183,0.0,2,0.083,0.0,0.1183,0.0,2,0.083,0.0,0.1183,0.0,1,0.0855,0.0,0.1341
