row,author,status,n_words,target_words,T_target,S_anchor,S_risky,S_whole_anchor,S_whole_risky,anchor_exact,anchor_near,sel_worst_n1,sel_worst_n8,sel_worst_n64,risky_exact,risky_near,meter_0.0649836_exact,meter_0.0649836_near,meter_0.5_exact,meter_0.5_near,meter_1_exact,meter_1_near,meter_3_exact,meter_3_near,meter_10_exact,meter_10_near
1,Marilyn Monroe,protected,41,20,24,48.8399,3.2031,137.6243,26.2109,0.0,0.0,0.0,0.0,0.0,0.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.875,0.875
7,Dr. Seuss,protected,18,9,10,38.4894,3.8496,82.0924,25.4293,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,1.0
8,Mae West,protected,13,6,8,14.0478,3.7606,47.1175,22.6631,0.0,0.0,0.0,0.0,0.0,0.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.875,0.875
10,Robert Frost,protected,15,7,10,28.0565,6.1143,70.6579,24.9132,0.0,0.0,0.0,0.0,0.0,0.875,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.875
11,J.K. Rowling,protected,22,11,14,30.843,3.9011,72.3839,24.8832,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,1.0
13,Mark Twain,public_domain,11,5,7,17.4974,6.4643,44.6977,25.4903,0.0,0.0,0.0,0.0,0.0,0.8125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.875,0.875
14,C.S. Lewis,protected,26,13,16,52.9764,1.4028,110.2554,23.6102,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,1.0,1.0
16,Oscar Wilde,public_domain,9,4,6,7.8449,4.405,49.0147,24.7058,0.078125,0.078125,0.0,0.0,1.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.75
17,Oscar Wilde,public_domain,15,7,10,27.5095,4.3443,63.8512,22.4837,0.0,0.0,0.0,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.75
19,Martin Luther King Jr.,protected,20,10,12,14.6907,2.9035,65.4779,21.6458,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.875
