k,quantity,g,trajectories,steps,alpha_mean,alpha_median,alpha_p10,pstar_median_abs_err,best_g,tokens_per_risky_forward,speedup,selection_ratio,alpha_star,selection_ratio_at_alpha1,c_anchor,c_risky,c_meter,selection_ratio_committed
20,round,1,,,,,,,,1.5998,1.6094,0.3545,,,,,,
20,round,2,,,,,,,,1.9608,1.6809,0.3702,,,,,,
20,round,3,,,,,,,,2.1808,1.6287,0.3587,,,,,,
20,round,4,,,,,,,,2.3161,1.5324,0.3375,,,,,,
20,round,5,,,,,,,,2.4016,1.4262,0.3141,,,,,,
20,round,6,,,,,,,,2.4573,1.3237,0.2916,,,,,,
20,round,7,,,,,,,,2.4909,1.2277,0.2704,,,,,,
20,round,8,,,,,,,,2.5152,1.1426,0.2517,,,,,,
20,acceptance,,500,84690,0.615,0.6207,0.312,0.000546,2,1.9608,1.6809,0.3702,,0.900515,0.012795,0.060946,0.074185,0.2203
3,round,1,,,,,,,,1.6032,1.6129,0.3552,,,,,,
3,round,2,,,,,,,,1.9687,1.6877,0.3717,,,,,,
3,round,3,,,,,,,,2.1912,1.6365,0.3604,,,,,,
3,round,4,,,,,,,,2.3286,1.5407,0.3393,,,,,,
3,round,5,,,,,,,,2.4187,1.4364,0.3164,,,,,,
3,round,6,,,,,,,,2.4702,1.3306,0.2931,,,,,,
3,round,7,,,,,,,,2.5096,1.2369,0.2724,,,,,,
3,round,8,,,,,,,,2.5309,1.1497,0.2532,,,,,,
3,acceptance,,500,75693,0.6182,0.6235,0.319,0.000526,2,1.9687,1.6877,0.3717,,0.900515,0.012795,0.060946,0.074185,0.2203
