prompt_id,n_aliases,s_anchor_nats,s_risky_nats,s_perm_nats
tqa_0000,2,16.645237,4.845860,23.433758
tqa_0001,5,6.911388,0.048894,30.823212
tqa_0002,4,13.345115,1.029488,29.182861
tqa_0003,14,13.525375,0.005299,18.692623
tqa_0004,41,3.579783,0.037088,12.999906
tqa_0005,15,5.706778,0.019588,25.552616
tqa_0006,27,4.216972,3.333441,25.789698
tqa_0007,10,6.294280,0.952825,25.093472
tqa_0008,3,0.188786,0.003842,32.392067
tqa_0009,12,12.800154,0.020235,17.919464
tqa_0010,10,3.125374,5.050855,41.532288
tqa_0011,2,24.798820,22.755827,26.766193
tqa_0012,27,3.930592,0.149699,13.889106
tqa_0013,15,2.076499,0.435376,15.884647
tqa_0014,11,0.005613,0.001013,34.083336
tqa_0015,12,9.561779,5.711960,30.378769
tqa_0016,11,6.596486,0.003962,16.516909
tqa_0017,51,5.110858,0.621065,19.041088
tqa_0018,3,8.216227,0.003569,12.199696
tqa_0019,14,4.964153,0.000655,15.965340
tqa_0020,21,1.712298,0.001068,18.046722
tqa_0021,2,10.311480,1.133074,25.187355
tqa_0022,22,10.370599,8.907307,33.706009
tqa_0023,2,15.062550,0.010081,14.291534
tqa_0024,6,5.657650,0.147420,15.955286
tqa_0025,6,15.428916,5.762056,22.537531
tqa_0026,7,15.224801,0.008195,32.960785
tqa_0027,3,18.845493,2.331357,17.124599
tqa_0028,51,2.078709,0.000575,31.373667
tqa_0029,4,10.926648,0.024107,12.299138
tqa_0030,6,9.254277,0.041486,17.218977
tqa_0031,11,8.510767,5.539692,20.831310
tqa_0032,11,5.136624,0.334313,23.006790
tqa_0033,4,13.333565,4.290266,20.129454
tqa_0034,7,3.589327,3.576385,13.047100
tqa_0035,26,0.001454,0.000241,31.077309
tqa_0036,24,1.992945,3.977134,62.462059
tqa_0037,5,35.270176,19.055153,16.404058
tqa_0038,29,1.704561,0.020814,26.893290
tqa_0039,2,15.109381,10.744713,12.670999
tqa_0040,5,10.395447,2.923132,16.008347
tqa_0041,13,6.930547,0.118556,31.723734
tqa_0042,2,12.330795,12.511879,12.791306
tqa_0043,3,7.945580,1.152569,32.685707
tqa_0044,12,19.684563,18.478483,23.301052
tqa_0045,22,7.070728,0.004917,13.552067
tqa_0046,2,2.872858,0.002027,30.883598
tqa_0047,2,17.565393,0.045862,11.873840
tqa_0048,24,2.823398,0.161884,28.246000
tqa_0049,13,0.818319,0.280445,18.632555
tqa_0050,4,5.169580,0.017145,30.092945
tqa_0051,4,12.106744,0.231461,9.082489
tqa_0052,13,10.138456,0.009901,31.780399
tqa_0053,2,26.556452,1.553408,14.220346
tqa_0054,31,4.132728,0.135476,24.047739
tqa_0055,7,6.468633,0.004223,26.538973
tqa_0056,5,15.032213,1.942719,28.241253
tqa_0057,3,19.124359,2.894385,23.666040
tqa_0058,3,14.833935,0.042903,24.140709
tqa_0059,32,23.691355,5.125969,14.151288
tqa_0060,42,3.150436,0.000349,21.241613
tqa_0061,4,10.834482,0.034630,17.898542
tqa_0062,7,7.113303,0.601063,24.422464
tqa_0063,3,4.179192,4.070648,16.271612
tqa_0064,4,7.040149,2.779867,14.882908
tqa_0065,19,2.681339,0.261807,39.303284
tqa_0066,5,6.536728,1.419747,37.661861
tqa_0067,11,16.788025,14.557675,20.590788
tqa_0068,11,7.137292,0.005671,13.564873
tqa_0069,9,8.469394,0.004964,20.111927
tqa_0070,43,2.540733,0.010567,18.605194
tqa_0071,6,4.070965,0.411041,24.904591
tqa_0072,6,9.101895,0.004746,27.354351
tqa_0073,4,14.333452,17.467543,10.678180
tqa_0074,17,9.383813,3.030540,21.884941
tqa_0075,7,11.132895,3.100007,20.261076
tqa_0076,7,7.746488,3.600053,29.559998
tqa_0077,26,1.348201,0.006170,26.646852
tqa_0078,6,6.343534,0.026822,27.835052
tqa_0079,5,9.136980,0.003290,15.226509
tqa_0080,10,3.177505,0.490839,17.472530
tqa_0081,2,3.772056,10.150794,20.466284
tqa_0082,6,10.536272,0.103731,11.190954
tqa_0083,20,2.666896,0.001225,18.139805
tqa_0084,4,11.338976,0.000047,13.175076
tqa_0085,6,8.222576,5.333577,11.676903
tqa_0086,11,6.818473,4.330710,30.848454
tqa_0087,15,12.250195,5.950503,10.964090
tqa_0088,48,1.324915,0.046946,21.371960
tqa_0089,21,6.582938,0.000844,23.060774
tqa_0090,20,11.371684,0.235038,14.422235
tqa_0091,4,3.704597,0.658933,12.798469
tqa_0092,14,7.365969,0.102364,16.478548
tqa_0093,9,12.463434,0.264394,13.367037
tqa_0094,25,10.629543,0.004920,28.149996
tqa_0095,7,10.977269,0.005482,10.524315
tqa_0096,4,10.272299,5.881539,15.221835
tqa_0097,12,6.819526,0.045753,11.290244
tqa_0098,11,1.013806,0.111297,14.343814
tqa_0099,6,6.661727,0.001151,22.672203
tqa_0100,4,10.003629,1.940683,17.846954
tqa_0101,4,15.105363,0.017085,12.788349
tqa_0102,6,3.785061,0.467788,8.986564
tqa_0103,9,5.822616,0.104265,26.488483
tqa_0104,3,10.854885,4.289596,20.108681
tqa_0105,5,10.062958,0.024445,24.476717
tqa_0106,4,1.410827,4.187896,22.680309
tqa_0107,7,4.649231,0.423023,14.860164
tqa_0108,31,4.415377,0.003221,24.747545
tqa_0109,9,9.688008,2.411832,21.363600
tqa_0110,44,0.118151,0.002489,39.903664
tqa_0111,4,8.479807,2.964876,17.898918
tqa_0112,25,2.441296,0.760177,12.899005
tqa_0113,2,3.586047,5.319438,38.972328
tqa_0114,4,16.081963,4.063129,29.614540
tqa_0115,4,9.771182,0.826971,12.715317
tqa_0116,19,10.525273,0.029876,15.142455
tqa_0117,40,4.939356,0.100988,28.007948
tqa_0118,14,16.428389,0.401911,41.302055
tqa_0119,2,10.223392,12.222366,23.932720
tqa_0120,33,6.519006,10.103396,24.405920
tqa_0121,8,6.003979,2.382018,15.960493
tqa_0122,5,4.530261,2.091030,13.239855
tqa_0123,8,11.084241,0.040259,11.407273
tqa_0124,19,4.406362,3.854656,14.740242
tqa_0125,2,4.020394,0.057344,31.066164
tqa_0126,7,4.295269,1.381143,18.857918
tqa_0127,19,9.216239,15.885875,6.050848
tqa_0128,39,1.228675,0.006914,21.636692
tqa_0129,24,2.923143,4.346088,22.978603
tqa_0130,32,3.481734,8.301987,17.244213
tqa_0131,3,4.216212,1.068010,28.724632
