prompt_id,rank,prompt_class,n_words,reward
bookmia100unseen.50.000,0,factual,131,-26.125
bookmia100unseen.50.000,1,factual,150,-23.625
bookmia100unseen.50.000,2,factual,131,-22.75
bookmia100unseen.50.000,3,factual,144,-28.3125
bookmia100unseen.50.000,4,factual,127,-28.6875
bookmia100unseen.50.000,5,factual,152,-27.375
bookmia100unseen.50.000,6,factual,149,-24.25
bookmia100unseen.50.000,7,factual,143,-24.75
bookmia100unseen.50.000,8,factual,156,-27.3125
bookmia100unseen.50.000,9,factual,116,-29.375
bookmia100unseen.50.000,10,factual,145,-27.6875
bookmia100unseen.50.000,11,factual,160,-21.625
bookmia100unseen.50.000,12,factual,160,-27.5
bookmia100unseen.50.000,13,factual,56,-22.25
bookmia100unseen.50.000,14,factual,148,-29.1875
bookmia100unseen.50.000,15,factual,153,-27.625
bookmia100unseen.50.000,16,factual,124,-29.25
bookmia100unseen.50.000,17,factual,139,-27.0625
bookmia100unseen.50.000,18,factual,154,-27.9375
bookmia100unseen.50.000,19,factual,159,-26.3125
bookmia100unseen.50.000,20,factual,150,-26.9375
bookmia100unseen.50.000,21,factual,149,-25.125
bookmia100unseen.50.000,22,factual,157,-26.375
bookmia100unseen.50.000,23,factual,138,-24.0
bookmia100unseen.50.000,24,factual,131,-27.625
bookmia100unseen.50.000,25,factual,141,-26.4375
bookmia100unseen.50.000,26,factual,150,-24.0
bookmia100unseen.50.000,27,factual,139,-25.125
bookmia100unseen.50.000,28,factual,142,-24.5
bookmia100unseen.50.000,29,factual,138,-24.8125
bookmia100unseen.50.000,30,factual,141,-28.75
bookmia100unseen.50.000,31,factual,101,-28.9375
bookmia100unseen.50.000,32,factual,157,-28.0625
bookmia100unseen.50.000,33,factual,167,-25.4375
bookmia100unseen.50.000,34,factual,128,-28.875
bookmia100unseen.50.000,35,factual,108,-29.6875
bookmia100unseen.50.000,36,factual,148,-25.1875
bookmia100unseen.50.000,37,factual,137,-29.4375
bookmia100unseen.50.000,38,factual,153,-25.25
bookmia100unseen.50.000,39,factual,149,-27.875
bookmia100unseen.50.000,40,factual,133,-29.0625
bookmia100unseen.50.000,41,factual,126,-29.6875
bookmia100unseen.50.000,42,factual,149,-28.375
bookmia100unseen.50.000,43,factual,128,-27.5
bookmia100unseen.50.000,44,factual,139,-26.625
bookmia100unseen.50.000,45,factual,142,-26.875
bookmia100unseen.50.000,46,factual,137,-27.3125
bookmia100unseen.50.000,47,factual,143,-27.9375
bookmia100unseen.50.000,48,factual,154,-26.125
bookmia100unseen.50.000,49,factual,139,-28.5625
