task,n,log_n,stratum,questions,acc_n1,acc_vote,gain,gain_lo95,gain_hi95,share_of_total_gain,s_median_n1,s_median,s_p5,s_min
gsm8k,32,3.4657,pi_ho = 0 (S > log n),61,0.0328,0.0328,0.0,-0.0656,0.0656,0.0,,,,
gsm8k,32,3.4657,"pi_ho in [1/32, 1/4) (S <= log n)",190,0.0895,0.2579,0.1684,0.1,0.2368,0.2832,,,,
gsm8k,32,3.4657,"pi_ho in [1/4, 1/2)",98,0.2959,0.7245,0.4286,0.3163,0.5408,0.3717,,,,
gsm8k,32,3.4657,"pi_ho in [1/2, 1]",151,0.7417,1.0,0.2583,0.1921,0.3311,0.3451,,,,
gsm8k,32,3.4657,"pi_ho >= 1/32, all (S <= log n)",439,0.3599,0.6173,0.2574,0.2118,0.303,1.0,,,,
gsm8k,32,3.4657,all,500,0.32,0.546,0.226,,,,,,,
triviaqa,32,3.4657,pi_ho = 0 (S > log n),213,0.0047,0.0047,0.0,-0.0141,0.0141,0.0,,,,
triviaqa,32,3.4657,"pi_ho in [1/32, 1/4) (S <= log n)",124,0.0968,0.0806,-0.0161,-0.0806,0.0484,-0.0833,,,,
triviaqa,32,3.4657,"pi_ho in [1/4, 1/2)",33,0.3636,0.7273,0.3636,0.1818,0.5455,0.5,,,,
triviaqa,32,3.4657,"pi_ho in [1/2, 1]",130,0.8846,0.9923,0.1077,0.0615,0.1615,0.5833,,,,
triviaqa,32,3.4657,"pi_ho >= 1/32, all (S <= log n)",287,0.4843,0.5679,0.0836,0.0383,0.1289,1.0,,,,
triviaqa,32,3.4657,all,500,0.28,0.328,0.048,,,,,,,
judged headline (judge B),64,4.1589,served S > log 64,460,0.4511,0.5614,0.1103,0.0853,0.1353,1.0,,,,
judged headline (judge B),64,4.1589,served S <= log 64,40,0.4813,0.4813,0.0,-0.1,0.1062,0.0,,,,
judged headline (judge B),64,4.1589,"served S, nats",500,,,,,,,186.24,184.59,2.31,0.26
