mechanism,arm,certificate_nats,kl_nats,realised_nats,n_questions,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logcert
selection (majority vote),n=1,0.0,0.0,0.0,500,0.188,0.154,0.222,0.0,0.0,0.0,0.8407
selection (majority vote),n=2,0.6931,0.1931,0.0,500,0.204,0.168,0.24,0.016,0.006,0.028,0.8407
selection (majority vote),n=4,1.3863,0.6363,0.0,500,0.202,0.168,0.238,0.014,-0.016,0.044,0.8407
selection (majority vote),n=8,2.0794,1.2044,0.0,500,0.204,0.17,0.24,0.016,-0.018,0.05,0.8407
selection (majority vote),n=16,2.7726,1.8351,0.0,500,0.21,0.174,0.246,0.022,-0.014,0.058,0.8407
selection (majority vote),n=32,3.4657,2.497,0.0,500,0.214,0.178,0.25,0.026,-0.014,0.066,0.8407
selection (majority vote),n=64,4.1589,3.1745,0.0,500,0.212,0.176,0.248,0.024,-0.018,0.066,0.8407
metered decoder,k=-1,0.0,0.0,0.0,500,0.586,0.542,0.63,0.398,0.352,0.446,0.7746
metered decoder,k=0,0.0,0.0,0.0,500,0.188,0.154,0.222,0.0,0.0,0.0,0.7746
metered decoder,k=0.5,12.0,0.0163,0.0163,500,0.188,0.154,0.222,0.0,0.0,0.0,0.7746
metered decoder,k=1,24.0,0.0566,0.0566,500,0.188,0.154,0.222,0.0,0.0,0.0,0.7746
metered decoder,k=3,72.0,0.5495,0.5495,500,0.188,0.154,0.222,0.0,0.0,0.0,0.7746
metered decoder,k=20,480.0,29.0154,29.0154,500,0.586,0.542,0.63,0.398,0.352,0.446,0.7746
