band,quantity,value,lo95,hi95,reading
H0 recomputation matches the committed per-arm CSVs,,,,,MATCHES
H1 scorer scale matters at all (gsm8k),7.6B - 0.5B at n=64,0.07,0.03,0.112,SEPARATES
"H2 adjacent step, 1.5B over 0.5B (gsm8k)",1.5B - 0.5B at n=64,-0.006,-0.05,0.036,-
"H2 adjacent step, 3B over 1.5B (gsm8k)",3B - 1.5B at n=64,0.046,0.0,0.092,-
"H2 adjacent step, 7.6B over 3B (gsm8k)",7.6B - 3B at n=64,0.03,-0.014,0.074,-
H3 the two axes agree (gsm8k),separating adjacent steps: none,,,,"DISAGREES, OTHER"
H1 scorer scale matters at all (triviaqa),7.6B - 0.5B at n=64,0.004,-0.03,0.038,FLAT
"H2 adjacent step, 1.5B over 0.5B (triviaqa)",1.5B - 0.5B at n=64,-0.028,-0.06,0.004,-
"H2 adjacent step, 3B over 1.5B (triviaqa)",3B - 1.5B at n=64,0.018,-0.016,0.05,-
"H2 adjacent step, 7.6B over 3B (triviaqa)",7.6B - 3B at n=64,0.014,-0.02,0.048,-
H3 the two axes agree (triviaqa),separating adjacent steps: none,,,,"DISAGREES, NO SCORER EFFECT"
"H5 shape, 0.5B (gsm8k)","Spearman(acc, log n)",-0.3243,,,NOT MONOTONE (the 7.6B reference is 0.9286)
"H5 shape, 1.5B (gsm8k)","Spearman(acc, log n)",-0.2143,,,NOT MONOTONE (the 7.6B reference is 0.9286)
"H5 shape, 3B (gsm8k)","Spearman(acc, log n)",0.8365,,,NOT MONOTONE (the 7.6B reference is 0.9286)
"H5 shape, 7.6B (gsm8k)","Spearman(acc, log n)",0.9286,,,NOT MONOTONE (the 7.6B reference is 0.9286)
"H5 shape, 0.5B (triviaqa)","Spearman(acc, log n)",-0.3063,,,NOT MONOTONE (the 7.6B reference is 0.9286)
"H5 shape, 1.5B (triviaqa)","Spearman(acc, log n)",-0.991,,,NOT MONOTONE (the 7.6B reference is 0.9286)
"H5 shape, 3B (triviaqa)","Spearman(acc, log n)",-0.7748,,,NOT MONOTONE (the 7.6B reference is 0.9286)
"H5 shape, 7.6B (triviaqa)","Spearman(acc, log n)",-0.6071,,,NOT MONOTONE (the 7.6B reference is 0.9286)
