prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1086,0.0,0.0,0.2069,0,0,0.0,2,0.1171,0.0,0.1171,0.0,2,0.1261,0.0,0.1261,0.0,2,0.0741,0.0,0.2069
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1434,0.0,0.0,0.2429,0,0,0.0,2,0.1478,0.0,0.1478,0.0,6,0.2429,0.0,0.2429,0.0,2,0.1207,0.0,0.2429
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1296,0.0,0.0,0.2074,0,0,0.0,3,0.1134,0.0,0.1134,0.0,3,0.1377,0.0,0.2074,0.0,3,0.161,0.0,0.2074
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1154,0.0,0.0,0.168,0,0,0.0,2,0.1298,0.0,0.1298,0.0,2,0.0956,0.0,0.1365,0.0,2,0.1323,0.0,0.168
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1043,0.0,0.0,0.166,0,0,0.0,2,0.1111,0.0,0.1111,0.0,2,0.119,0.0,0.1285,0.0,2,0.1223,0.0,0.166
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1044,0.0,0.0,0.1646,0,0,0.0,2,0.1388,0.0,0.1388,0.0,3,0.1532,0.0,0.1532,0.0,3,0.1532,0.0,0.1646
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.0956,0.0,0.0,0.1476,0,0,0.0,2,0.1094,0.0,0.1094,0.0,2,0.0887,0.0,0.1293,0.0,2,0.0968,0.0,0.1476
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1401,0.0,0.0,0.1592,0,0,0.0,2,0.0948,0.0,0.0948,0.0,3,0.1285,0.0,0.1429,0.0,1,0.1172,0.0,0.1592
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.0811,0.0,0.0,0.1339,0,0,0.0,1,0.0833,0.0,0.0833,0.0,2,0.0661,0.0,0.1339,0.0,2,0.0661,0.0,0.1339
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1395,0.0,0.0,0.1818,0,0,0.0,2,0.1255,0.0,0.1255,0.0,3,0.1456,0.0,0.155,0.0,2,0.1527,0.0,0.1818
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1739,0.0,0.0,0.1855,0,0,0.0,2,0.1417,0.0,0.1417,0.0,2,0.1478,0.0,0.166,0.0,2,0.1855,0.0,0.1855
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.081,0.0,0.0,0.1719,0,0,0.0,1,0.0992,0.0,0.0992,0.0,1,0.1167,0.0,0.1388,0.0,1,0.1167,0.0,0.1719
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1308,0.0116,0.3619,0.3615,0,3,0.0,3,0.104,0.0,0.104,0.0,14,0.2241,0.1905,0.2602,0.0,13,0.1978,0.3619,0.3615
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.0669,0.0,0.0,0.1111,0,0,0.0,1,0.0732,0.0,0.0732,0.0,2,0.0928,0.0,0.1032,0.0,2,0.0898,0.0,0.1111
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1374,0.089,0.3048,0.3651,0,21,0.0,2,0.1374,0.0,0.1374,0.3048,32,0.3333,0.3048,0.3333,0.0,12,0.237,0.3048,0.3651
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1129,0.0,0.0,0.1909,0,0,0.0,2,0.1695,0.0,0.1695,0.0,3,0.159,0.0,0.1695,0.0,2,0.1692,0.0,0.1909
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.08,0.0,0.0,0.131,0,0,0.0,3,0.0957,0.0,0.0957,0.0,3,0.0957,0.0,0.1076,0.0,2,0.1166,0.0,0.131
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1217,0.0,0.0,0.1762,0,0,0.0,2,0.1181,0.0,0.1181,0.0,4,0.1261,0.0,0.1261,0.0,2,0.1066,0.0,0.1762
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.0687,0.0394,0.2907,0.3548,0,9,0.0,3,0.094,0.0,0.094,0.2907,14,0.2672,0.2907,0.2672,0.0,2,0.113,0.2907,0.3548
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.1157,0.0,0.0,0.171,0,0,0.0,2,0.1172,0.0,0.1172,0.0,2,0.149,0.0,0.171,0.0,2,0.1265,0.0,0.171
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.1496,0.0,0.0,0.181,0,0,0.0,2,0.0793,0.0,0.0793,0.0,1,0.0776,0.0,0.1653,0.0,3,0.1092,0.0,0.181
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.1245,0.0,0.0,0.2195,0,0,0.0,2,0.0961,0.0,0.0961,0.0,3,0.1405,0.0,0.1575,0.0,3,0.1405,0.0,0.2195
