prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1129,0.0,0.0,0.1338,0,0,0.0,1,0.0878,0.0,0.0878,0.0,1,0.0698,0.0,0.123,0.0,2,0.1053,0.0,0.1338
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1283,0.0,0.0,0.1472,0,0,0.0,2,0.0755,0.0,0.0755,0.0,2,0.1204,0.0,0.1371,0.0,2,0.1296,0.0,0.1472
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1453,0.0,0.0,0.1662,0,0,0.0,2,0.0449,0.0,0.0449,0.0,2,0.1529,0.0,0.1662,0.0,2,0.1529,0.0,0.1662
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.0647,0.0,0.0,0.1625,0,0,0.0,3,0.121,0.0,0.121,0.0,3,0.1511,0.0,0.1511,0.0,2,0.1129,0.0,0.1625
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1729,0.0,0.0,0.1731,0,0,0.0,3,0.1362,0.0,0.1362,0.0,2,0.1394,0.0,0.1394,0.0,2,0.1731,0.0,0.1731
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1404,0.0,0.0,0.1739,0,0,0.0,2,0.1133,0.0,0.1133,0.0,1,0.0105,0.0,0.142,0.0,2,0.0183,0.0,0.1739
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1154,0.0,0.0,0.1371,0,0,0.0,2,0.1184,0.0,0.1184,0.0,2,0.1107,0.0,0.1371,0.0,1,0.0103,0.0,0.1371
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1307,0.0,0.0,0.1677,0,0,0.0,2,0.135,0.0,0.135,0.0,2,0.1506,0.0,0.1506,0.0,3,0.1377,0.0,0.1677
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.0897,0.0,0.0,0.1338,0,0,0.0,3,0.115,0.0,0.115,0.0,2,0.0968,0.0,0.115,0.0,1,0.0687,0.0,0.1338
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1412,0.0,0.0,0.1662,0,0,0.0,2,0.121,0.0,0.121,0.0,2,0.1424,0.0,0.1605,0.0,1,0.0503,0.0,0.1662
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1441,0.0,0.0,0.1677,0,0,0.0,2,0.1288,0.0,0.1288,0.0,3,0.1355,0.0,0.1442,0.0,2,0.1262,0.0,0.1677
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.0669,0.0,0.0,0.146,0,0,0.0,2,0.1079,0.0,0.1079,0.0,2,0.0855,0.0,0.1079,0.0,2,0.1069,0.0,0.146
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1062,0.0,0.0,0.1424,0,0,0.0,2,0.1013,0.0,0.1013,0.0,2,0.1148,0.0,0.1148,0.0,2,0.1148,0.0,0.1424
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.1108,0.0,0.0,0.1411,0,0,0.0,2,0.0711,0.0,0.0711,0.0,2,0.1053,0.0,0.1069,0.0,1,0.0972,0.0,0.1411
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.121,0.0,0.0,0.1472,0,0,0.0,2,0.1088,0.0,0.1088,0.0,3,0.1205,0.0,0.1243,0.0,0,0.0,0.0,0.1472
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1243,0.0,0.0,0.1702,0,0,0.0,2,0.1066,0.0,0.1066,0.0,2,0.1401,0.0,0.1605,0.0,2,0.1442,0.0,0.1702
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0578,0.0,0.0,0.1457,0,0,0.0,2,0.1063,0.0,0.1063,0.0,3,0.1377,0.0,0.1377,0.0,1,0.0303,0.0,0.1457
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1081,0.0,0.0,0.1438,0,0,0.0,2,0.0987,0.0,0.0987,0.0,1,0.113,0.0,0.1299,0.0,1,0.0896,0.0,0.1438
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.1076,0.0,0.0,0.1351,0,0,0.0,2,0.085,0.0,0.085,0.0,2,0.106,0.0,0.1096,0.0,2,0.1131,0.0,0.1351
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.0923,0.0,0.0,0.1441,0,0,0.0,3,0.1302,0.0,0.1302,0.0,2,0.1046,0.0,0.1325,0.0,2,0.1203,0.0,0.1441
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.105,0.0,0.0,0.1587,0,0,0.0,2,0.0943,0.0,0.0943,0.0,2,0.1338,0.0,0.1338,0.0,1,0.0108,0.0,0.1587
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.0956,0.0,0.0,0.1725,0,0,0.0,2,0.1307,0.0,0.1307,0.0,2,0.1184,0.0,0.1534,0.0,2,0.1414,0.0,0.1725
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.1317,0.0,0.0,0.1564,0,0,0.0,4,0.1016,0.0,0.1016,0.0,2,0.1474,0.0,0.1486,0.0,2,0.0861,0.0,0.1564
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.0841,0.0,0.0,0.1366,0,0,0.0,2,0.0823,0.0,0.0823,0.0,2,0.1115,0.0,0.1139,0.0,2,0.1115,0.0,0.1366
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.1003,0.0,0.0,0.1246,0,0,0.0,2,0.1079,0.0,0.1079,0.0,1,0.1159,0.0,0.1159,0.0,1,0.0286,0.0,0.1246
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.1261,0.0,0.0,0.1321,0,0,0.0,2,0.1022,0.0,0.1022,0.0,2,0.0962,0.0,0.1086,0.0,1,0.0991,0.0,0.1321
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.0,0.1032,0.0,0.0,0.1497,0,0,0.0,2,0.118,0.0,0.118,0.0,2,0.1205,0.0,0.1205,0.0,2,0.0943,0.0,0.1497
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.1053,0.0,0.0,0.1153,0,0,0.0,2,0.1045,0.0,0.1045,0.0,2,0.1045,0.0,0.1153,0.0,2,0.1049,0.0,0.1153
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.1128,0.0,0.0,0.1491,0,0,0.0,2,0.1066,0.0,0.1066,0.0,2,0.1313,0.0,0.1392,0.0,2,0.0839,0.0,0.1491
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.0,0.1092,0.0,0.0,0.1371,0,0,0.0,2,0.0921,0.0,0.0921,0.0,2,0.0921,0.0,0.1214,0.0,2,0.0774,0.0,0.1371
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.0,0.1239,0.0,0.0,0.1543,0,0,0.0,2,0.1159,0.0,0.1159,0.0,1,0.1049,0.0,0.1159,0.0,1,0.0101,0.0,0.1543
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.0,0.1602,0.0,0.0,0.1553,0,0,0.0,2,0.1077,0.0,0.1077,0.0,2,0.1481,0.0,0.1506,0.0,0,0.0,0.0,0.1553
bookmia.17.68,harry_potter_and_the_sorcerer's_stone,0.0,0.152,0.0,0.0,0.1629,0,0,0.0,2,0.1214,0.0,0.1214,0.0,2,0.1214,0.0,0.1582,0.0,2,0.1243,0.0,0.1629
bookmia.17.69,harry_potter_and_the_sorcerer's_stone,0.0,0.1149,0.0,0.0,0.145,0,0,0.0,2,0.1098,0.0,0.1098,0.0,2,0.1379,0.0,0.1379,0.0,2,0.1243,0.0,0.145
bookmia.17.73,harry_potter_and_the_sorcerer's_stone,0.0,0.09,0.0,0.0,0.1269,0,0,0.0,1,0.1026,0.0,0.1026,0.0,2,0.1056,0.0,0.1115,0.0,2,0.0855,0.0,0.1269
bookmia.17.76,harry_potter_and_the_sorcerer's_stone,0.0,0.1154,0.0,0.0,0.1329,0,0,0.0,2,0.0526,0.0,0.0526,0.0,2,0.0526,0.0,0.125,0.0,2,0.0731,0.0,0.1329
bookmia.17.77,harry_potter_and_the_sorcerer's_stone,0.0,0.1187,0.0,0.0,0.1338,0,0,0.0,2,0.1086,0.0,0.1086,0.0,1,0.0662,0.0,0.1086,0.0,2,0.1195,0.0,0.1338
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.0,0.1009,0.0,0.0,0.1486,0,0,0.0,2,0.0982,0.0,0.0982,0.0,2,0.1131,0.0,0.1131,0.0,1,0.0444,0.0,0.1486
