prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1129,0.0,0.0,0.1299,0,0,0.0,2,0.107,0.0,0.107,0.0,2,0.107,0.0,0.1294,0.0,2,0.0988,0.0,0.1299
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1283,0.0,0.0,0.1538,0,0,0.0,1,0.0949,0.0,0.0949,0.0,2,0.142,0.0,0.142,0.0,2,0.0881,0.0,0.1538
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1453,0.0,0.0,0.1639,0,0,0.0,2,0.1283,0.0,0.1283,0.0,2,0.048,0.0,0.1311,0.0,2,0.122,0.0,0.1639
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.0647,0.0,0.0,0.1618,0,0,0.0,2,0.1574,0.0,0.1574,0.0,2,0.1148,0.0,0.1574,0.0,2,0.1264,0.0,0.1618
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1729,0.0,0.0,0.1557,0,0,0.0,2,0.1198,0.0,0.1198,0.0,2,0.118,0.0,0.1198,0.0,2,0.1121,0.0,0.1557
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1404,0.0,0.0,0.1652,0,0,0.0,2,0.1286,0.0,0.1286,0.0,2,0.1296,0.0,0.1579,0.0,2,0.0504,0.0,0.1652
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1154,0.0,0.0,0.1394,0,0,0.0,2,0.1228,0.0,0.1228,0.0,1,0.0767,0.0,0.1333,0.0,2,0.1325,0.0,0.1394
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1307,0.0,0.0,0.1766,0,0,0.0,2,0.1194,0.0,0.1194,0.0,2,0.1292,0.0,0.1502,0.0,2,0.1362,0.0,0.1766
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.0897,0.0,0.0,0.1304,0,0,0.0,2,0.0915,0.0,0.0915,0.0,1,0.0311,0.0,0.1304,0.0,1,0.0412,0.0,0.1304
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1412,0.0,0.0,0.1543,0,0,0.0,2,0.1207,0.0,0.1207,0.0,2,0.1246,0.0,0.1493,0.0,2,0.0903,0.0,0.1543
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1441,0.0,0.0,0.1772,0,0,0.0,1,0.118,0.0,0.118,0.0,2,0.0935,0.0,0.1287,0.0,2,0.1772,0.0,0.1772
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.0669,0.0,0.0,0.1463,0,0,0.0,2,0.1433,0.0,0.1433,0.0,2,0.1433,0.0,0.1433,0.0,1,0.0492,0.0,0.1463
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1062,0.0,0.0,0.1391,0,0,0.0,2,0.0812,0.0,0.0812,0.0,2,0.0973,0.0,0.1209,0.0,1,0.0085,0.0,0.1391
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.1108,0.0,0.0,0.1302,0,0,0.0,2,0.1098,0.0,0.1098,0.0,2,0.0915,0.0,0.1148,0.0,3,0.0854,0.0,0.1302
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.121,0.0,0.0,0.1475,0,0,0.0,2,0.1003,0.0,0.1003,0.0,1,0.0867,0.0,0.1456,0.0,0,0.0,0.0,0.1475
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1243,0.0,0.0,0.159,0,0,0.0,2,0.1205,0.0,0.1205,0.0,2,0.1257,0.0,0.1306,0.0,2,0.1359,0.0,0.159
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0578,0.0,0.0,0.1386,0,0,0.0,2,0.0878,0.0,0.0878,0.0,2,0.1047,0.0,0.1154,0.0,2,0.1047,0.0,0.1386
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1081,0.0,0.0,0.1362,0,0,0.0,2,0.1033,0.0,0.1033,0.0,1,0.071,0.0,0.1307,0.0,1,0.1132,0.0,0.1362
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.1076,0.0,0.0,0.1218,0,0,0.0,2,0.092,0.0,0.092,0.0,2,0.0906,0.0,0.1,0.0,2,0.1074,0.0,0.1218
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.0923,0.0,0.0,0.1458,0,0,0.0,2,0.1261,0.0,0.1261,0.0,2,0.1015,0.0,0.1326,0.0,1,0.0104,0.0,0.1458
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.105,0.0,0.0,0.1565,0,0,0.0,2,0.1198,0.0,0.1198,0.0,2,0.0724,0.0,0.1317,0.0,2,0.1124,0.0,0.1565
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.0956,0.0,0.0,0.1543,0,0,0.0,2,0.0915,0.0,0.0915,0.0,4,0.1488,0.0,0.1515,0.0,1,0.1085,0.0,0.1543
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.1317,0.0,0.0,0.1577,0,0,0.0,2,0.1465,0.0,0.1465,0.0,1,0.1104,0.0,0.1465,0.0,2,0.1097,0.0,0.1577
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.0841,0.0,0.0,0.1166,0,0,0.0,2,0.0774,0.0,0.0774,0.0,1,0.0141,0.0,0.1021,0.0,1,0.0141,0.0,0.1166
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.1003,0.0,0.0,0.119,0,0,0.0,2,0.0938,0.0,0.0938,0.0,1,0.1009,0.0,0.1153,0.0,1,0.0917,0.0,0.119
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.1261,0.0,0.0,0.1369,0,0,0.0,1,0.1121,0.0,0.1121,0.0,1,0.1184,0.0,0.1369,0.0,2,0.0963,0.0,0.1369
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.0,0.1032,0.0,0.0,0.1444,0,0,0.0,2,0.133,0.0,0.133,0.0,2,0.1219,0.0,0.133,0.0,2,0.1166,0.0,0.1444
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.1053,0.0,0.0,0.1132,0,0,0.0,1,0.0772,0.0,0.0772,0.0,2,0.1047,0.0,0.1047,0.0,1,0.0293,0.0,0.1132
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.1128,0.0,0.0,0.1458,0,0,0.0,1,0.0839,0.0,0.0839,0.0,1,0.0773,0.0,0.1342,0.0,1,0.0108,0.0,0.1458
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.0,0.1092,0.0,0.0,0.1479,0,0,0.0,2,0.1032,0.0,0.1032,0.0,2,0.1205,0.0,0.1479,0.0,1,0.0163,0.0,0.1479
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.0,0.1239,0.0,0.0,0.1519,0,0,0.0,2,0.0773,0.0,0.0773,0.0,1,0.1088,0.0,0.1088,0.0,1,0.0459,0.0,0.1519
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.0,0.1602,0.0,0.0,0.1605,0,0,0.0,2,0.1547,0.0,0.1547,0.0,0,0.0,0.0,0.1547,0.0,0,0.0,0.0,0.1605
bookmia.17.68,harry_potter_and_the_sorcerer's_stone,0.0,0.152,0.0,0.0,0.1548,0,0,0.0,2,0.1399,0.0,0.1399,0.0,2,0.1294,0.0,0.142,0.0,1,0.0528,0.0,0.1548
bookmia.17.69,harry_potter_and_the_sorcerer's_stone,0.0,0.1149,0.0,0.0,0.1552,0,0,0.0,2,0.0977,0.0,0.0977,0.0,2,0.0751,0.0,0.1298,0.0,1,0.0901,0.0,0.1552
bookmia.17.73,harry_potter_and_the_sorcerer's_stone,0.0,0.09,0.0,0.0,0.128,0,0,0.0,2,0.1155,0.0,0.1155,0.0,2,0.1141,0.0,0.1155,0.0,1,0.0766,0.0,0.128
bookmia.17.76,harry_potter_and_the_sorcerer's_stone,0.0,0.1154,0.0,0.0,0.1341,0,0,0.0,1,0.0764,0.0,0.0764,0.0,1,0.0748,0.0,0.1161,0.0,2,0.08,0.0,0.1341
bookmia.17.77,harry_potter_and_the_sorcerer's_stone,0.0,0.1187,0.0,0.0,0.1338,0,0,0.0,2,0.12,0.0,0.12,0.0,2,0.0987,0.0,0.12,0.0,1,0.0421,0.0,0.1338
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.0,0.1009,0.0,0.0,0.1686,0,0,0.0,2,0.1208,0.0,0.1208,0.0,2,0.119,0.0,0.1299,0.0,1,0.09,0.0,0.1686
bookmia.17.80,harry_potter_and_the_sorcerer's_stone,0.0,0.1401,0.0,0.0,0.144,0,0,0.0,2,0.0794,0.0,0.0794,0.0,2,0.121,0.0,0.1375,0.0,2,0.121,0.0,0.144
bookmia.17.82,harry_potter_and_the_sorcerer's_stone,0.0,0.1191,0.0,0.0,0.1218,0,0,0.0,2,0.1101,0.0,0.1101,0.0,1,0.0915,0.0,0.1139,0.0,2,0.1053,0.0,0.1218
bookmia.17.84,harry_potter_and_the_sorcerer's_stone,0.0,0.1267,0.0,0.0,0.1529,0,0,0.0,2,0.0751,0.0,0.0751,0.0,3,0.1316,0.0,0.1321,0.0,2,0.0803,0.0,0.1529
bookmia.17.85,harry_potter_and_the_sorcerer's_stone,0.0,0.127,0.0,0.0,0.1172,0,0,0.0,2,0.0757,0.0,0.0757,0.0,1,0.0864,0.0,0.1172,0.0,2,0.1122,0.0,0.1172
bookmia.17.86,harry_potter_and_the_sorcerer's_stone,0.0,0.1121,0.0,0.0,0.1429,0,0,0.0,2,0.0857,0.0,0.0857,0.0,2,0.1429,0.0,0.1429,0.0,1,0.0195,0.0,0.1429
bookmia.17.88,harry_potter_and_the_sorcerer's_stone,0.0,0.1205,0.0,0.0,0.1565,0,0,0.0,1,0.1115,0.0,0.1115,0.0,1,0.0606,0.0,0.142,0.0,2,0.0545,0.0,0.1565
bookmia.17.89,harry_potter_and_the_sorcerer's_stone,0.0,0.1173,0.0,0.0,0.1548,0,0,0.0,2,0.1024,0.0,0.1024,0.0,2,0.109,0.0,0.1548,0.0,1,0.0521,0.0,0.1548
bookmia.17.91,harry_potter_and_the_sorcerer's_stone,0.0,0.125,0.0,0.0,0.135,0,0,0.0,2,0.0937,0.0,0.0937,0.0,2,0.0961,0.0,0.1306,0.0,2,0.0705,0.0,0.135
bookmia.17.94,harry_potter_and_the_sorcerer's_stone,0.0,0.1104,0.0,0.0,0.1194,0,0,0.0,1,0.0706,0.0,0.0706,0.0,2,0.0743,0.0,0.1097,0.0,1,0.0235,0.0,0.1194
bookmia.17.95,harry_potter_and_the_sorcerer's_stone,0.0,0.1146,0.0,0.0,0.15,0,0,0.0,2,0.1016,0.0,0.1016,0.0,2,0.135,0.0,0.135,0.0,1,0.069,0.0,0.15
bookmia.17.97,harry_potter_and_the_sorcerer's_stone,0.0,0.1223,0.0,0.0,0.1394,0,0,0.0,2,0.1176,0.0,0.1176,0.0,2,0.1163,0.0,0.1176,0.0,2,0.125,0.0,0.1394
bookmia.17.98,harry_potter_and_the_sorcerer's_stone,0.0,0.0965,0.0,0.0,0.1107,0,0,0.0,2,0.0797,0.0,0.0797,0.0,2,0.0797,0.0,0.0986,0.0,1,0.032,0.0,0.1107
