prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1129,0.0,0.0,0.1346,0,0,0.0,2,0.1159,0.0,0.1159,0.0,1,0.1017,0.0,0.1265,0.0,1,0.0803,0.0,0.1346
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1283,0.0,0.0,0.1623,0,0,0.0,2,0.1037,0.0,0.1037,0.0,2,0.1224,0.0,0.1516,0.0,2,0.1224,0.0,0.1623
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1453,0.0,0.0,0.153,0,0,0.0,2,0.0833,0.0,0.0833,0.0,2,0.1416,0.0,0.1416,0.0,2,0.1162,0.0,0.153
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.0647,0.0,0.0,0.1634,0,0,0.0,2,0.1386,0.0,0.1386,0.0,2,0.0915,0.0,0.1543,0.0,2,0.0915,0.0,0.1634
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1729,0.0,0.0,0.142,0,0,0.0,2,0.1235,0.0,0.1235,0.0,1,0.1095,0.0,0.1254,0.0,2,0.0478,0.0,0.142
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1404,0.0,0.0,0.1543,0,0,0.0,2,0.1073,0.0,0.1073,0.0,2,0.1005,0.0,0.1412,0.0,2,0.0873,0.0,0.1543
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1154,0.0,0.0,0.1457,0,0,0.0,3,0.1048,0.0,0.1048,0.0,3,0.1048,0.0,0.1257,0.0,3,0.0969,0.0,0.1457
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1307,0.0,0.0,0.1711,0,0,0.0,2,0.1062,0.0,0.1062,0.0,2,0.1345,0.0,0.1586,0.0,2,0.1127,0.0,0.1711
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.0897,0.0,0.0,0.1479,0,0,0.0,3,0.0939,0.0,0.0939,0.0,2,0.0833,0.0,0.1074,0.0,2,0.0853,0.0,0.1479
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1412,0.0,0.0,0.1588,0,0,0.0,2,0.1588,0.0,0.1588,0.0,2,0.1212,0.0,0.1588,0.0,2,0.1212,0.0,0.1588
