prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1076,0.0,0.0,0.1176,0,0,0.0,1,0.0786,0.0,0.0786,0.0,2,0.1152,0.0,0.1176,0.0,1,0.0586,0.0,0.1176
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1437,0.0,0.0,0.1365,0,0,0.0,2,0.1116,0.0,0.1116,0.0,2,0.082,0.0,0.127,0.0,1,0.0714,0.0,0.1365
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.118,0.0,0.0,0.1521,0,0,0.0,2,0.0941,0.0,0.0941,0.0,2,0.0744,0.0,0.1221,0.0,1,0.0921,0.0,0.1521
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1354,0.0,0.0,0.1417,0,0,0.0,2,0.0396,0.0,0.0396,0.0,2,0.0396,0.0,0.1328,0.0,2,0.0396,0.0,0.1417
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1143,0.0,0.0,0.1463,0,0,0.0,3,0.1205,0.0,0.1205,0.0,1,0.0658,0.0,0.1205,0.0,2,0.0984,0.0,0.1463
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1037,0.0,0.0,0.1349,0,0,0.0,2,0.08,0.0,0.08,0.0,2,0.08,0.0,0.1116,0.0,2,0.1016,0.0,0.1349
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1032,0.0,0.0,0.126,0,0,0.0,2,0.1057,0.0,0.1057,0.0,2,0.0721,0.0,0.1167,0.0,2,0.0721,0.0,0.126
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1411,0.0,0.0,0.1687,0,0,0.0,1,0.1152,0.0,0.1152,0.0,1,0.0541,0.0,0.1457,0.0,2,0.1036,0.0,0.1687
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.11,0.0,0.0,0.1322,0,0,0.0,2,0.0614,0.0,0.0614,0.0,2,0.1152,0.0,0.1322,0.0,2,0.0517,0.0,0.1322
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1037,0.0,0.0,0.1435,0,0,0.0,2,0.0945,0.0,0.0945,0.0,2,0.1186,0.0,0.136,0.0,1,0.0729,0.0,0.1435
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1525,0.0,0.0,0.1514,0,0,0.0,2,0.0934,0.0,0.0934,0.0,2,0.1423,0.0,0.1423,0.0,2,0.1344,0.0,0.1514
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.1176,0.0,0.0,0.1417,0,0,0.0,1,0.0611,0.0,0.0611,0.0,1,0.0611,0.0,0.096,0.0,1,0.0611,0.0,0.1417
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1129,0.0,0.0,0.1231,0,0,0.0,1,0.062,0.0,0.062,0.0,1,0.0992,0.0,0.1163,0.0,2,0.088,0.0,0.1231
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.094,0.0,0.0,0.1411,0,0,0.0,2,0.0964,0.0,0.0964,0.0,2,0.083,0.0,0.1411,0.0,1,0.0433,0.0,0.1411
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1098,0.0,0.0,0.1379,0,0,0.0,2,0.0927,0.0,0.0927,0.0,1,0.1293,0.0,0.1293,0.0,2,0.0717,0.0,0.1379
