prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1018,0.0,0.0,0.156,0,0,0.0,2,0.0941,0.0,0.0941,0.0,2,0.097,0.0,0.1455,0.0,3,0.156,0.0,0.156
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1136,0.0,0.0,0.1739,0,0,0.0,2,0.1164,0.0,0.1164,0.0,2,0.1372,0.0,0.1507,0.0,3,0.1469,0.0,0.1739
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1424,0.0,0.0,0.1769,0,0,0.0,2,0.099,0.0,0.099,0.0,2,0.1391,0.0,0.1695,0.0,2,0.1579,0.0,0.1769
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1481,0.0,0.0,0.16,0,0,0.0,2,0.16,0.0,0.16,0.0,2,0.16,0.0,0.16,0.0,2,0.1564,0.0,0.16
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.121,0.0,0.0,0.1581,0,0,0.0,2,0.1343,0.0,0.1343,0.0,2,0.0956,0.0,0.1581,0.0,2,0.1185,0.0,0.1581
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1346,0.0,0.0,0.1708,0,0,0.0,2,0.1143,0.0,0.1143,0.0,2,0.1528,0.0,0.1528,0.0,2,0.1092,0.0,0.1708
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.104,0.0,0.0,0.1429,0,0,0.0,2,0.0851,0.0,0.0851,0.0,2,0.1119,0.0,0.12,0.0,2,0.1119,0.0,0.1429
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1149,0.0,0.0,0.1444,0,0,0.0,2,0.0845,0.0,0.0845,0.0,2,0.1,0.0,0.1193,0.0,1,0.1201,0.0,0.1444
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.0753,0.0,0.0,0.1194,0,0,0.0,2,0.0876,0.0,0.0876,0.0,2,0.0775,0.0,0.1091,0.0,2,0.1008,0.0,0.1194
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1543,0.0,0.0,0.1739,0,0,0.0,2,0.15,0.0,0.15,0.0,2,0.1181,0.0,0.1739,0.0,2,0.1181,0.0,0.1739
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1623,0.0,0.0,0.1718,0,0,0.0,4,0.1445,0.0,0.1445,0.0,3,0.1362,0.0,0.1718,0.0,0,0.0,0.0,0.1718
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.1375,0.0,0.0,0.1605,0,0,0.0,2,0.11,0.0,0.11,0.0,2,0.0244,0.0,0.1577,0.0,2,0.0366,0.0,0.1605
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.0988,0.0,0.0,0.1558,0,0,0.0,2,0.1034,0.0,0.1034,0.0,2,0.1077,0.0,0.1229,0.0,2,0.1099,0.0,0.1558
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.102,0.0,0.0,0.13,0,0,0.0,2,0.0848,0.0,0.0848,0.0,2,0.1155,0.0,0.1155,0.0,1,0.0549,0.0,0.13
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.0892,0.0,0.0,0.1633,0,0,0.0,2,0.1262,0.0,0.1262,0.0,1,0.0732,0.0,0.1633,0.0,2,0.1625,0.0,0.1633
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1379,0.0,0.0,0.1667,0,0,0.0,2,0.1329,0.0,0.1329,0.0,2,0.116,0.0,0.1384,0.0,2,0.0578,0.0,0.1667
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0977,0.0,0.0,0.1449,0,0,0.0,2,0.0986,0.0,0.0986,0.0,2,0.0963,0.0,0.1288,0.0,1,0.1004,0.0,0.1449
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1107,0.0,0.0,0.1408,0,0,0.0,2,0.1164,0.0,0.1164,0.0,1,0.1168,0.0,0.1259,0.0,1,0.087,0.0,0.1408
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.1092,0.0,0.0,0.125,0,0,0.0,2,0.1111,0.0,0.1111,0.0,2,0.1111,0.0,0.1132,0.0,1,0.027,0.0,0.125
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.1299,0.0,0.0,0.1522,0,0,0.0,2,0.1389,0.0,0.1389,0.0,2,0.1262,0.0,0.1522,0.0,2,0.1361,0.0,0.1522
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.1212,0.0,0.0,0.1597,0,0,0.0,2,0.1159,0.0,0.1159,0.0,2,0.1434,0.0,0.1544,0.0,3,0.1375,0.0,0.1597
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.1325,0.0,0.0,0.1708,0,0,0.0,4,0.1141,0.0,0.1141,0.0,2,0.1367,0.0,0.1708,0.0,2,0.15,0.0,0.1708
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.1366,0.0,0.0,0.1661,0,0,0.0,2,0.1245,0.0,0.1245,0.0,1,0.1206,0.0,0.1538,0.0,3,0.1423,0.0,0.1661
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.1007,0.0,0.0,0.1192,0,0,0.0,2,0.0825,0.0,0.0825,0.0,2,0.0767,0.0,0.0993,0.0,1,0.1014,0.0,0.1192
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.1129,0.0,0.0,0.1413,0,0,0.0,2,0.1045,0.0,0.1045,0.0,2,0.1404,0.0,0.1404,0.0,2,0.125,0.0,0.1413
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.1246,0.0,0.0,0.1467,0,0,0.0,2,0.119,0.0,0.119,0.0,2,0.1176,0.0,0.1467,0.0,1,0.0866,0.0,0.1467
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.0,0.1203,0.0,0.0,0.1447,0,0,0.0,2,0.1141,0.0,0.1141,0.0,2,0.0769,0.0,0.1246,0.0,2,0.1185,0.0,0.1447
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.0833,0.0,0.0,0.1295,0,0,0.0,2,0.0809,0.0,0.0809,0.0,1,0.0843,0.0,0.1263,0.0,1,0.0843,0.0,0.1295
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.1212,0.0,0.0,0.1696,0,0,0.0,2,0.1286,0.0,0.1286,0.0,3,0.1115,0.0,0.1324,0.0,3,0.1036,0.0,0.1696
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.0,0.1266,0.0,0.0,0.1533,0,0,0.0,1,0.0444,0.0,0.0444,0.0,2,0.106,0.0,0.118,0.0,2,0.0237,0.0,0.1533
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.0,0.1325,0.0,0.0,0.1489,0,0,0.0,1,0.0462,0.0,0.0462,0.0,1,0.0462,0.0,0.1489,0.0,1,0.0462,0.0,0.1489
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.0,0.087,0.0,0.0,0.1837,0,0,0.0,2,0.0706,0.0,0.0706,0.0,1,0.0949,0.0,0.1423,0.0,1,0.0949,0.0,0.1837
bookmia.17.68,harry_potter_and_the_sorcerer's_stone,0.0,0.16,0.0,0.0,0.1695,0,0,0.0,4,0.1365,0.0,0.1365,0.0,2,0.1379,0.0,0.1557,0.0,1,0.0473,0.0,0.1695
bookmia.17.69,harry_potter_and_the_sorcerer's_stone,0.0,0.0884,0.0,0.0,0.1554,0,0,0.0,2,0.1071,0.0,0.1071,0.0,2,0.131,0.0,0.131,0.0,2,0.061,0.0,0.1554
bookmia.17.73,harry_potter_and_the_sorcerer's_stone,0.0,0.0903,0.0,0.0,0.1562,0,0,0.0,2,0.0972,0.0,0.0972,0.0,2,0.1143,0.0,0.1214,0.0,2,0.0947,0.0,0.1562
bookmia.17.76,harry_potter_and_the_sorcerer's_stone,0.0,0.09,0.0,0.0,0.1561,0,0,0.0,2,0.1417,0.0,0.1417,0.0,2,0.0896,0.0,0.1417,0.0,2,0.0856,0.0,0.1561
bookmia.17.77,harry_potter_and_the_sorcerer's_stone,0.0,0.1242,0.0,0.0,0.1404,0,0,0.0,2,0.1263,0.0,0.1263,0.0,2,0.1286,0.0,0.1286,0.0,2,0.1285,0.0,0.1404
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.0,0.1424,0.0,0.0,0.1765,0,0,0.0,2,0.1184,0.0,0.1184,0.0,1,0.106,0.0,0.1486,0.0,2,0.1409,0.0,0.1765
bookmia.17.80,harry_potter_and_the_sorcerer's_stone,0.0,0.1238,0.0,0.0,0.1477,0,0,0.0,2,0.0946,0.0,0.0946,0.0,2,0.1377,0.0,0.1377,0.0,3,0.0473,0.0,0.1477
