prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,1.0,0.972,0.0,0.0,0.0375,0,0,0.0,1,0.0375,0.0,0.0375
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.5385,0.6602,0.0,0.0,0.1294,0,0,0.0,2,0.1294,0.0,0.1294
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1422,0.0,0.0,0.1169,0,0,0.0,2,0.1169,0.0,0.1169
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1881,0.0,0.0,0.1097,0,0,0.0,3,0.1097,0.0,0.1097
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.183,0.0,0.0,0.1333,0,0,0.0,2,0.1333,0.0,0.1333
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1871,0.0,0.0,0.1235,0,0,0.0,2,0.1235,0.0,0.1235
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1254,0.0,0.0,0.1036,0,0,0.0,2,0.1036,0.0,0.1036
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1254,0.0,0.0,0.1208,0,0,0.0,2,0.1208,0.0,0.1208
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.1458,0.2395,0.0,0.0,0.093,0,0,0.0,2,0.093,0.0,0.093
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.1847,0.3006,0.0,0.0,0.1433,0,0,0.0,3,0.1433,0.0,0.1433
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1049,0.0,0.0,0.0968,0,0,0.0,2,0.0968,0.0,0.0968
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.141,0.0,0.0,0.1003,0,0,0.0,2,0.1003,0.0,0.1003
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.0707,0.0,0.0,0.098,0,0,0.0,2,0.098,0.0,0.098
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.1623,0.0,0.0,0.0889,0,0,0.0,2,0.0889,0.0,0.0889
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1909,0.0,0.0,0.1152,0,0,0.0,2,0.1152,0.0,0.1152
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.4204,0.4984,0.0,0.0,0.1242,0,0,0.0,2,0.1242,0.0,0.1242
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.2517,0.2876,0.0,0.0,0.0867,0,0,0.0,2,0.0867,0.0,0.0867
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1812,0.0,0.0,0.0881,0,0,0.0,2,0.0881,0.0,0.0881
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.2426,0.3118,0.0,0.0,0.0619,0,0,0.0,1,0.0619,0.0,0.0619
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.1484,0.0,0.0,0.0892,0,0,0.0,2,0.0892,0.0,0.0892
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.1672,0.0,0.0,0.1282,0,0,0.0,2,0.1282,0.0,0.1282
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.1786,0.0,0.0,0.1267,0,0,0.0,1,0.1267,0.0,0.1267
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,0.0687,0,0,0.0,1,0.0687,0.0,0.0687
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.1911,0.3032,0.0,0.0,0.1097,0,0,0.0,2,0.1097,0.0,0.1097
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.2484,0.398,0.0,0.0,0.1164,0,0,0.0,1,0.1164,0.0,0.1164
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.4639,0.5231,0.0,0.0,0.1098,0,0,0.0,2,0.1098,0.0,0.1098
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.1042,0.0,0.0,0.098,0,0,0.0,2,0.098,0.0,0.098
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.2492,0.0,0.0,0.1014,0,0,0.0,2,0.1014,0.0,0.1014
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.2236,0.3016,0.0,0.0,0.1353,0,0,0.0,2,0.1353,0.0,0.1353
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.828,0.9059,0.0,0.0,0.1098,0,0,0.0,2,0.1098,0.0,0.1098
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.0,0.1342,0.0,0.0,0.1358,0,0,0.0,2,0.1358,0.0,0.1358
bookmia.17.68,harry_potter_and_the_sorcerer's_stone,0.0,0.1895,0.0,0.0,0.1457,0,0,0.0,3,0.1457,0.0,0.1457
bookmia.17.69,harry_potter_and_the_sorcerer's_stone,0.5098,0.5455,0.0,0.0,0.089,0,0,0.0,2,0.089,0.0,0.089
bookmia.17.73,harry_potter_and_the_sorcerer's_stone,0.9724,0.9158,0.0,0.0,0.1042,0,0,0.0,1,0.1042,0.0,0.1042
bookmia.17.76,harry_potter_and_the_sorcerer's_stone,0.0,0.1081,0.0,0.0,0.09,0,0,0.0,2,0.09,0.0,0.09
bookmia.17.77,harry_potter_and_the_sorcerer's_stone,0.0,0.2179,0.0,0.0,0.0851,0,0,0.0,1,0.0851,0.0,0.0851
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.7836,0.7884,0.0,0.0,0.1234,0,0,0.0,2,0.1234,0.0,0.1234
bookmia.17.80,harry_potter_and_the_sorcerer's_stone,0.2767,0.3654,0.0,0.0,0.1342,0,0,0.0,2,0.1342,0.0,0.1342
bookmia.17.82,harry_potter_and_the_sorcerer's_stone,0.6812,0.6882,0.0,0.0,0.0797,0,0,0.0,2,0.0797,0.0,0.0797
bookmia.17.84,harry_potter_and_the_sorcerer's_stone,0.0,0.0952,0.0,0.0,0.069,0,0,0.0,3,0.069,0.0,0.069
bookmia.17.85,harry_potter_and_the_sorcerer's_stone,1.0,0.9333,0.0,0.0,0.1149,0,0,0.0,2,0.1149,0.0,0.1149
bookmia.17.86,harry_potter_and_the_sorcerer's_stone,0.0,0.1885,0.0,0.0,0.1246,0,0,0.0,2,0.1246,0.0,0.1246
bookmia.17.88,harry_potter_and_the_sorcerer's_stone,0.0,0.16,0.0,0.0,0.09,0,0,0.0,2,0.09,0.0,0.09
bookmia.17.89,harry_potter_and_the_sorcerer's_stone,0.2971,0.3932,0.0,0.0,0.1176,0,0,0.0,2,0.1176,0.0,0.1176
bookmia.17.91,harry_potter_and_the_sorcerer's_stone,0.0,0.1655,0.0,0.0,0.0847,0,0,0.0,1,0.0847,0.0,0.0847
bookmia.17.94,harry_potter_and_the_sorcerer's_stone,0.1915,0.3195,0.0,0.0,0.0717,0,0,0.0,2,0.0717,0.0,0.0717
bookmia.17.95,harry_potter_and_the_sorcerer's_stone,0.0,0.0812,0.0,0.0,0.1099,0,0,0.0,2,0.1099,0.0,0.1099
bookmia.17.97,harry_potter_and_the_sorcerer's_stone,0.0,0.1156,0.0,0.0,0.1301,0,0,0.0,2,0.1301,0.0,0.1301
bookmia.17.98,harry_potter_and_the_sorcerer's_stone,0.0,0.1603,0.0,0.0,0.09,0,0,0.0,1,0.09,0.0,0.09
