model,corpus,params,n_passage,n_ordinary,c_use,s_passage,s_copybench_span,s_gutenberg_span,k_crit_passage,nats_per_tok_passage,margin,window_open,exposure_ratio
PleIAs/Pleias-350m-Preview,commoncorpus,0.35,758,300,0.251199883868975,0.87310902674237,1.0080244843437103,0.7726720170154391,4.065271218617758,3.433074752794112,3.4757541018521354,True,0.7665210806050003
PleIAs/Pleias-1.2b-Preview,commoncorpus,1.2,758,300,0.1902513207034637,0.7954443411433649,0.9380780441967072,0.688445919040416,4.144495646158854,3.1343002095525714,4.181018760879924,True,0.733889811513438
PleIAs/Pleias-3b-Preview,commoncorpus,3.0,758,300,0.18627301751965647,0.787669354592822,0.9179462805032478,0.6865136686815627,4.083898544311523,3.0970350808253695,4.22857462170925,True,0.7478800048137825
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,commonpile,1.8,758,300,0.18612137847126567,0.7783564844114345,0.9113887919643263,0.6772785192549005,3.9598441918690996,3.1966270493003206,4.18198323483619,True,0.7431279879963792
common-pile/comma-v0.1-1t,commonpile,7.0,758,300,0.14894452468328204,0.7013210874380117,0.8517417568930274,0.5597422491848678,4.221431573232016,2.486487499980986,4.708606032543404,True,0.6571736616820201
common-pile/comma-v0.1-2t,commonpile,7.0,758,300,0.1299791127623871,0.684848468383312,0.8441302307962026,0.5320332051880986,4.225676874319712,2.4332455232166668,5.268911703030882,True,0.630273843748343
alea-institute/kl3m-002-170m,kl3m,0.17,758,300,0.6628092356340403,1.2750182644942822,1.373986695563183,1.193320274603179,5.002102931340536,2.5278379166244687,1.9236579636290156,True,0.8685093374314293
alea-institute/kl3m-002-520m,kl3m,0.52,758,300,0.6171100472942246,1.235358207451906,1.322609798832166,1.134564082764836,4.615280628204346,2.4365589061202035,2.0018442624106463,True,0.8578222267569997
alea-institute/kl3m-003-1.7b,kl3m,1.7,758,300,0.48816958700675095,1.1028973187546949,1.172805431481686,1.0402863137583185,4.588078816731771,2.168969818961477,2.2592503673102495,True,0.887006732603594
alea-institute/kl3m-003-3.7b,kl3m,3.7,758,300,0.4680210867752585,1.0710853747640523,1.1748014619513474,0.9973818483429653,4.5161689758300785,2.1116556476662938,2.2885408479006895,True,0.848979066374596
