n,eps,draws_per_work,works,total_draws,gpu_hours,sec_per_draw
8,0.01,2400,1,2400,0.01,0.02232
8,0.01,2400,10000,24000000,148.77,0.02232
8,0.01,2400,100000,240000000,1487.67,0.02232
8,0.01,2400,1000000,2400000000,14876.67,0.02232
8,0.001,24000,1,24000,0.15,0.02232
8,0.001,24000,10000,240000000,1487.67,0.02232
8,0.001,24000,100000,2400000000,14876.67,0.02232
8,0.001,24000,1000000,24000000000,148766.67,0.02232
64,0.01,19200,1,19200,0.12,0.02232
64,0.01,19200,10000,192000000,1190.13,0.02232
64,0.01,19200,100000,1920000000,11901.33,0.02232
64,0.01,19200,1000000,19200000000,119013.33,0.02232
64,0.001,192000,1,192000,1.19,0.02232
64,0.001,192000,10000,1920000000,11901.33,0.02232
64,0.001,192000,100000,19200000000,119013.33,0.02232
64,0.001,192000,1000000,192000000000,1190133.33,0.02232
