part,arm,risky,W,n,reps,gen_s,reward_s,per_request_s,spread,vs_met_Meta-Llama-3.1-70B,vs_met_Meta-Llama-3.1-8B-Instruct
70b,MET,unsloth/Meta-Llama-3.1-70B,1,1,3,14.837,0.0,14.837,0.0057,,
70b,MET,unsloth/Meta-Llama-3.1-70B,8,1,3,16.744,0.0,2.093,0.0042,,
70b,RISKY,unsloth/Meta-Llama-3.1-70B,1,1,3,12.1893,0.0,12.1893,0.0013,,
70b,RISKY,unsloth/Meta-Llama-3.1-70B,8,1,3,13.9537,0.0,1.7442,0.0059,,
70b,SEL,-,1,1,3,2.559,0.0383,2.5973,0.0416,0.1751,
70b,SEL,-,1,8,3,2.5717,0.0713,2.643,0.0253,0.1781,
70b,SEL,-,1,64,3,2.749,0.519,3.268,0.0211,0.2203,
70b,SEL,-,8,1,3,2.7817,0.071,0.3566,0.0179,0.1704,
70b,SEL,-,8,8,3,2.9863,0.5193,0.4382,0.0194,0.2094,
70b,SEL,-,8,64,3,7.3817,4.277,1.4573,0.0058,0.6963,
single,MET,meta-llama/Meta-Llama-3.1-8B-Instruct,1,1,3,6.0037,0.0,6.0037,0.0202,,
single,MET,meta-llama/Meta-Llama-3.1-8B-Instruct,8,1,3,6.924,0.0,0.8655,0.0618,,
single,RISKY,meta-llama/Meta-Llama-3.1-8B-Instruct,1,1,3,3.1947,0.0,3.1947,0.0194,,
single,RISKY,meta-llama/Meta-Llama-3.1-8B-Instruct,8,1,3,3.6937,0.0,0.4617,0.0352,,
single,SEL,-,1,1,6,2.3712,0.038,2.4092,0.0378,,0.4013
single,SEL,-,1,8,6,2.4205,0.0717,2.4922,0.0578,,0.4151
single,SEL,-,1,64,6,2.5765,0.5118,3.0883,0.0275,,0.5144
single,SEL,-,8,1,6,2.6193,0.0715,0.3364,0.0334,,0.3887
single,SEL,-,8,8,6,2.7808,0.5172,0.4123,0.0243,,0.4764
single,SEL,-,8,64,6,7.4257,4.2718,1.4622,0.0112,,1.6894
