n_gram,prompt_class,k,n_trajectories,tokens_blocked_pct,recall_before,recall_after,protected_passages,blocked_ngrams,corpus
6,protected,-1,300,0.875,,,4935,1082201,bookmia100
6,protected,0.15,300,0.788,,,4935,1082201,bookmia100
6,protected,0.1,300,0.752,,,4935,1082201,bookmia100
6,protected,0.25,300,0.884,,,4935,1082201,bookmia100
6,protected,0.5,300,0.89,,,4935,1082201,bookmia100
6,protected,0,300,0.818,,,4935,1082201,bookmia100
6,protected,1,300,0.969,,,4935,1082201,bookmia100
6,ordinary,-1,600,0.19,,,4935,1082201,bookmia100
6,ordinary,0.15,600,0.058,,,4935,1082201,bookmia100
6,ordinary,0.1,600,0.058,,,4935,1082201,bookmia100
6,ordinary,0.25,600,0.049,,,4935,1082201,bookmia100
6,ordinary,0.5,600,0.082,,,4935,1082201,bookmia100
6,ordinary,0,600,0.071,,,4935,1082201,bookmia100
6,ordinary,1,600,0.107,,,4935,1082201,bookmia100
8,protected,-1,300,0.389,,,4935,1098220,bookmia100
8,protected,0.15,300,0.329,,,4935,1098220,bookmia100
8,protected,0.1,300,0.267,,,4935,1098220,bookmia100
8,protected,0.25,300,0.404,,,4935,1098220,bookmia100
8,protected,0.5,300,0.516,,,4935,1098220,bookmia100
8,protected,0,300,0.302,,,4935,1098220,bookmia100
8,protected,1,300,0.57,,,4935,1098220,bookmia100
8,ordinary,-1,600,0.147,,,4935,1098220,bookmia100
8,ordinary,0.15,600,0.0,,,4935,1098220,bookmia100
8,ordinary,0.1,600,0.0,,,4935,1098220,bookmia100
8,ordinary,0.25,600,0.0,,,4935,1098220,bookmia100
8,ordinary,0.5,600,0.033,,,4935,1098220,bookmia100
8,ordinary,0,600,0.012,,,4935,1098220,bookmia100
8,ordinary,1,600,0.063,,,4935,1098220,bookmia100
10,protected,-1,300,0.264,,,4935,1106027,bookmia100
10,protected,0.15,300,0.21,,,4935,1106027,bookmia100
10,protected,0.1,300,0.154,,,4935,1106027,bookmia100
10,protected,0.25,300,0.26,,,4935,1106027,bookmia100
10,protected,0.5,300,0.403,,,4935,1106027,bookmia100
10,protected,0,300,0.168,,,4935,1106027,bookmia100
10,protected,1,300,0.439,,,4935,1106027,bookmia100
10,ordinary,-1,600,0.14,,,4935,1106027,bookmia100
10,ordinary,0.15,600,0.0,,,4935,1106027,bookmia100
10,ordinary,0.1,600,0.0,,,4935,1106027,bookmia100
10,ordinary,0.25,600,0.0,,,4935,1106027,bookmia100
10,ordinary,0.5,600,0.028,,,4935,1106027,bookmia100
10,ordinary,0,600,0.008,,,4935,1106027,bookmia100
10,ordinary,1,600,0.059,,,4935,1106027,bookmia100
