n_gram,prompt_class,k,n_trajectories,tokens_blocked_pct,recall_before,recall_after,protected_passages,blocked_ngrams,corpus
6,protected,-1,300,0.923,,,9870,2218701,bookmia_all
6,protected,0.15,300,0.853,,,9870,2218701,bookmia_all
6,protected,0.1,300,0.83,,,9870,2218701,bookmia_all
6,protected,0.25,300,0.936,,,9870,2218701,bookmia_all
6,protected,0.5,300,0.935,,,9870,2218701,bookmia_all
6,protected,0,300,0.897,,,9870,2218701,bookmia_all
6,protected,1,300,1.017,,,9870,2218701,bookmia_all
6,ordinary,-1,600,0.207,,,9870,2218701,bookmia_all
6,ordinary,0.15,600,0.09,,,9870,2218701,bookmia_all
6,ordinary,0.1,600,0.09,,,9870,2218701,bookmia_all
6,ordinary,0.25,600,0.069,,,9870,2218701,bookmia_all
6,ordinary,0.5,600,0.116,,,9870,2218701,bookmia_all
6,ordinary,0,600,0.112,,,9870,2218701,bookmia_all
6,ordinary,1,600,0.15,,,9870,2218701,bookmia_all
8,protected,-1,300,0.391,,,9870,2244353,bookmia_all
8,protected,0.15,300,0.331,,,9870,2244353,bookmia_all
8,protected,0.1,300,0.268,,,9870,2244353,bookmia_all
8,protected,0.25,300,0.404,,,9870,2244353,bookmia_all
8,protected,0.5,300,0.516,,,9870,2244353,bookmia_all
8,protected,0,300,0.304,,,9870,2244353,bookmia_all
8,protected,1,300,0.573,,,9870,2244353,bookmia_all
8,ordinary,-1,600,0.147,,,9870,2244353,bookmia_all
8,ordinary,0.15,600,0.003,,,9870,2244353,bookmia_all
8,ordinary,0.1,600,0.002,,,9870,2244353,bookmia_all
8,ordinary,0.25,600,0.003,,,9870,2244353,bookmia_all
8,ordinary,0.5,600,0.037,,,9870,2244353,bookmia_all
8,ordinary,0,600,0.016,,,9870,2244353,bookmia_all
8,ordinary,1,600,0.066,,,9870,2244353,bookmia_all
10,protected,-1,300,0.264,,,9870,2240172,bookmia_all
10,protected,0.15,300,0.21,,,9870,2240172,bookmia_all
10,protected,0.1,300,0.154,,,9870,2240172,bookmia_all
10,protected,0.25,300,0.26,,,9870,2240172,bookmia_all
10,protected,0.5,300,0.403,,,9870,2240172,bookmia_all
10,protected,0,300,0.168,,,9870,2240172,bookmia_all
10,protected,1,300,0.439,,,9870,2240172,bookmia_all
10,ordinary,-1,600,0.14,,,9870,2240172,bookmia_all
10,ordinary,0.15,600,0.0,,,9870,2240172,bookmia_all
10,ordinary,0.1,600,0.0,,,9870,2240172,bookmia_all
10,ordinary,0.25,600,0.0,,,9870,2240172,bookmia_all
10,ordinary,0.5,600,0.028,,,9870,2240172,bookmia_all
10,ordinary,0,600,0.008,,,9870,2240172,bookmia_all
10,ordinary,1,600,0.059,,,9870,2240172,bookmia_all
