n_gram,prompt_class,k,n_trajectories,tokens_blocked_pct,recall_before,recall_after,protected_passages,blocked_ngrams,corpus
6,protected,-1,300,0.585,0.0,0.0,758,178373,data
6,protected,0.15,300,0.63,0.0,0.0,758,178373,data
6,protected,0.1,300,0.583,0.0,0.0,758,178373,data
6,protected,0.25,300,0.752,0.0,0.0,758,178373,data
6,protected,0.5,300,0.752,0.0,0.0,758,178373,data
6,protected,0,300,0.595,0.0,0.0,758,178373,data
6,protected,1,300,0.563,0.0,0.0,758,178373,data
6,ordinary,-1,600,0.011,,,758,178373,data
6,ordinary,0.15,600,0.016,,,758,178373,data
6,ordinary,0.1,600,0.022,,,758,178373,data
6,ordinary,0.25,600,0.008,,,758,178373,data
6,ordinary,0.5,600,0.016,,,758,178373,data
6,ordinary,0,600,0.018,,,758,178373,data
6,ordinary,1,600,0.011,,,758,178373,data
8,protected,-1,300,0.281,0.0,0.0,758,176923,data
8,protected,0.15,300,0.329,0.0,0.0,758,176923,data
8,protected,0.1,300,0.265,0.0,0.0,758,176923,data
8,protected,0.25,300,0.406,0.0,0.0,758,176923,data
8,protected,0.5,300,0.505,0.0,0.0,758,176923,data
8,protected,0,300,0.281,0.0,0.0,758,176923,data
8,protected,1,300,0.303,0.0,0.0,758,176923,data
8,ordinary,-1,600,0.0,,,758,176923,data
8,ordinary,0.15,600,0.0,,,758,176923,data
8,ordinary,0.1,600,0.0,,,758,176923,data
8,ordinary,0.25,600,0.0,,,758,176923,data
8,ordinary,0.5,600,0.001,,,758,176923,data
8,ordinary,0,600,0.0,,,758,176923,data
8,ordinary,1,600,0.0,,,758,176923,data
10,protected,-1,300,0.186,0.0,0.0,758,174502,data
10,protected,0.15,300,0.225,0.0,0.0,758,174502,data
10,protected,0.1,300,0.171,0.0,0.0,758,174502,data
10,protected,0.25,300,0.279,0.0,0.0,758,174502,data
10,protected,0.5,300,0.408,0.0,0.0,758,174502,data
10,protected,0,300,0.18,0.0,0.0,758,174502,data
10,protected,1,300,0.2,0.0,0.0,758,174502,data
10,ordinary,-1,600,0.0,,,758,174502,data
10,ordinary,0.15,600,0.0,,,758,174502,data
10,ordinary,0.1,600,0.0,,,758,174502,data
10,ordinary,0.25,600,0.0,,,758,174502,data
10,ordinary,0.5,600,0.0,,,758,174502,data
10,ordinary,0,600,0.0,,,758,174502,data
10,ordinary,1,600,0.0,,,758,174502,data
