prompt_id,arm,novel,blocked_steps,nv_recall,lcs_word,rouge_l
bookmia.00.11,tokenswap,1984,9,0.0,3,0.1257
bookmia.00.26,tokenswap,1984,7,0.0,14,0.1863
bookmia.00.31,tokenswap,1984,13,0.0,5,0.1557
bookmia.00.40,tokenswap,1984,10,0.0,2,0.1222
bookmia.00.46,tokenswap,1984,13,0.0,6,0.187
bookmia.00.48,tokenswap,1984,10,0.0,2,0.0994
bookmia.00.64,tokenswap,1984,9,0.0,3,0.1207
bookmia.00.71,tokenswap,1984,17,0.0,8,0.2337
bookmia.01.00,tokenswap,a_game_of_thrones,18,0.0,2,0.1579
bookmia.01.01,tokenswap,a_game_of_thrones,12,0.0,18,0.3425
bookmia.01.02,tokenswap,a_game_of_thrones,12,0.0,18,0.1864
bookmia.01.03,tokenswap,a_game_of_thrones,26,0.0,15,0.2704
bookmia.01.04,tokenswap,a_game_of_thrones,19,0.0,14,0.2061
bookmia.01.07,tokenswap,a_game_of_thrones,16,0.0,5,0.1429
bookmia.01.10,tokenswap,a_game_of_thrones,12,0.0,2,0.1212
bookmia.01.11,tokenswap,a_game_of_thrones,14,0.0,2,0.085
bookmia.01.12,tokenswap,a_game_of_thrones,17,0.0,3,0.1264
bookmia.01.14,tokenswap,a_game_of_thrones,6,0.3769,40,0.5311
bookmia.01.20,tokenswap,a_game_of_thrones,16,0.0,2,0.1127
bookmia.01.22,tokenswap,a_game_of_thrones,12,0.0,9,0.1808
bookmia.01.23,tokenswap,a_game_of_thrones,19,0.0,2,0.1429
bookmia.01.26,tokenswap,a_game_of_thrones,11,0.0,4,0.1486
bookmia.01.27,tokenswap,a_game_of_thrones,14,0.0,4,0.125
bookmia.01.31,tokenswap,a_game_of_thrones,15,0.2308,45,0.3557
bookmia.01.32,tokenswap,a_game_of_thrones,14,0.0,2,0.1239
bookmia.01.33,tokenswap,a_game_of_thrones,15,0.0,16,0.2041
bookmia.01.36,tokenswap,a_game_of_thrones,12,0.1133,16,0.2692
bookmia.01.37,tokenswap,a_game_of_thrones,9,0.266,50,0.4164
bookmia.01.39,tokenswap,a_game_of_thrones,10,0.0,3,0.1695
bookmia.01.41,tokenswap,a_game_of_thrones,20,0.0,3,0.1068
bookmia.01.42,tokenswap,a_game_of_thrones,20,0.0,3,0.1475
bookmia.01.43,tokenswap,a_game_of_thrones,14,0.0,9,0.1754
bookmia.01.44,tokenswap,a_game_of_thrones,11,0.2067,43,0.3493
bookmia.01.46,tokenswap,a_game_of_thrones,18,0.0,2,0.1176
