prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1
bookmia100.02.000,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.001,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.002,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.003,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.004,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.005,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.006,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.007,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.008,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,3
bookmia100.02.009,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.010,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,0
bookmia100.02.011,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.012,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.013,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,4
bookmia100.02.014,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.015,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.016,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.017,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.018,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.019,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.020,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.021,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.022,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.023,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.024,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.025,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,0
bookmia100.02.026,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.027,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,0
bookmia100.02.028,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.029,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.030,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.031,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,3
bookmia100.02.032,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.033,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.034,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.035,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.036,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.037,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.038,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
bookmia100.02.039,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,2
bookmia100.02.040,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,0
bookmia100.02.041,a portrait of the artist as a young man,0.0,0.0,0.0,0.0,1
