prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,s_first,k_crit,k_crit_eta,k_crit_argmax,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,464,0.0,957.57,2.0637,2.5912,12.948,6.144,0.053,2.714,1.7495,30,0,0,0.0,0.3578,0,,0,0,0.0,0.4914,0,,0,0,0.0,0.6078,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.26,1984,518,0.0,1058.16,2.0428,2.5945,13.636,5.846,4.652,4.6523,3.494,0,0,0,0.0,0.3803,3,,0,0,0.0,0.5039,1,,0,0,0.0,0.6158,1,,0,0,0.9807,0.9961,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.31,1984,462,0.0,1044.62,2.2611,2.6164,11.953,6.183,1.795,2.948,1.9601,2,0,0,0.0,0.3074,1,,0,0,0.0,0.4632,1,,0,0,0.0,0.5628,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.40,1984,520,0.0,1198.82,2.3054,2.8735,18.836,6.679,0.566,3.2979,2.275,1,0,0,0.0,0.3673,4,,0,0,0.0,0.4558,4,,0,0,0.0,0.5731,0,,0,1,0.9962,0.9981,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.46,1984,531,0.0,1196.11,2.2526,2.7538,13.048,6.557,2.449,4.0395,2.9424,7,0,0,0.0,0.3446,2,,0,0,0.0,0.484,2,,0,0,0.0,0.5895,2,,0,1,0.9849,0.9962,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.48,1984,535,0.0,1188.27,2.2211,2.8316,16.175,6.382,0.084,3.0934,2.0909,13,0,0,0.0,0.3738,0,,0,0,0.0,0.4879,0,,0,0,0.0,0.5981,0,,0,1,0.9738,0.9981,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.64,1984,541,0.0,1125.68,2.0807,2.681,13.087,6.241,0.031,2.8734,1.8929,26,0,0,0.0,0.3937,0,,0,0,0.0,0.5139,0,,0,0,0.0,0.6229,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.71,1984,545,0.0,1269.68,2.3297,2.8568,14.089,6.73,5.807,5.8069,4.5331,0,0,0,0.0,0.3156,5,,0,0,0.0,0.4495,2,,0,0,0.0,0.5633,2,,0,0,0.9982,0.9982,1,,0,1,0.9982,0.9982,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.00,a_game_of_thrones,552,0.0,1436.55,2.6024,3.0941,13.559,7.434,7.434,7.7833,6.3118,1,0,0,0.0,0.3297,5,,0,0,0.0,0.4457,5,,0,0,0.0,0.5362,2,,0,0,0.9909,0.9928,2,,0,0,0.9928,0.9946,2,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.01,a_game_of_thrones,589,0.0,1470.39,2.4964,3.1101,14.821,7.229,5.476,6.6022,5.2488,1,0,0,0.0,0.3328,4,,0,0,0.0,0.472,4,,0,0,0.0628,0.5772,4,,0,0,0.9728,0.9864,2,,0,0,0.9966,0.9966,2,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
