prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,s_first,k_crit,k_crit_eta,k_crit_argmax,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,384,0.0,1069.93,2.7863,2.2397,10.962,6.037,1.635,3.1465,2.1387,58,0,0,0.0,0.125,15,,0,0,0.0,0.2214,1,,0,0,0.0,0.3099,1,,0,1,0.9557,0.9896,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.26,1984,393,0.0,1187.21,3.0209,2.3501,14.002,6.208,3.802,3.8025,2.7291,0,0,0,0.0,0.1094,1,,0,0,0.0,0.1807,1,,0,0,0.0,0.2926,1,,0,1,0.9211,0.9771,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.31,1984,360,0.0,1175.84,3.2662,2.3876,12.958,6.234,2.809,3.9804,2.8892,2,0,0,0.0,0.0694,8,,0,0,0.0,0.1389,8,,0,0,0.0,0.2167,3,,0,1,0.5167,0.8639,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.40,1984,423,0.0,1347.78,3.1862,2.3977,14.74,6.167,1.195,3.4453,2.4076,10,0,0,0.0,0.0969,17,,0,0,0.0,0.1702,8,,0,0,0.0,0.2719,8,,0,1,0.6217,0.8889,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.46,1984,426,0.0,1348.85,3.1663,2.4895,10.098,6.771,0.243,4.2194,3.1043,4,0,0,0.0,0.1033,6,,0,0,0.0,0.1948,0,,0,0,0.0,0.2911,0,,0,0,0.5399,0.9014,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.48,1984,423,0.0,1288.69,3.0465,2.3199,11.203,6.029,1.598,3.2251,2.2094,4,0,0,0.0,0.0922,11,,0,0,0.0,0.1797,1,,0,0,0.0,0.2671,1,,0,1,0.7943,0.9338,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.64,1984,409,0.0,1287.68,3.1484,2.313,14.001,6.189,5.929,5.929,4.643,0,0,0,0.0,0.0758,5,,0,0,0.0,0.1663,5,,0,0,0.0,0.2469,5,,0,0,0.7873,0.9389,1,,0,1,0.9976,0.9976,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.71,1984,415,0.0,1430.58,3.4472,2.6934,16.051,7.009,2.237,5.5256,4.2799,5,0,0,0.0,0.0964,9,,0,0,0.0,0.1639,6,,0,0,0.0,0.2554,6,,0,0,0.5711,0.8169,0,,0,1,0.9855,0.9952,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.00,a_game_of_thrones,429,0.0,1477.05,3.443,2.419,13.597,6.633,3.055,4.2833,3.1618,2,0,0,0.0,0.0793,19,,0,0,0.0,0.1375,18,,0,0,0.0,0.2168,9,,0,0,0.5012,0.7855,3,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.01,a_game_of_thrones,449,0.0,1527.17,3.4013,2.5872,14.516,6.894,0.838,5.0908,3.8886,4,0,0,0.0,0.0846,40,,0,0,0.0,0.1492,12,,0,0,0.0,0.2494,0,,0,0,0.3541,0.7973,0,,0,1,0.9889,0.9978,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.02,a_game_of_thrones,404,0.0,1446.04,3.5793,2.4773,12.485,6.8,10.836,10.836,9.0592,0,0,0,0.0,0.0693,7,,0,0,0.0,0.1361,4,,0,0,0.0,0.198,4,,0,0,0.1139,0.7351,3,,0,0,0.995,0.995,2,,0,1,0.9975,0.9975,1,,1,1,1.0,1.0,0,
bookmia.01.03,a_game_of_thrones,359,0.0,1293.57,3.6033,2.3173,12.076,6.672,2.696,3.675,2.6143,248,0,0,0.0,0.0362,9,,0,0,0.0,0.078,1,,0,0,0.0,0.1337,1,,0,1,0.1978,0.7019,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.04,a_game_of_thrones,370,0.0,1290.79,3.4886,2.3545,11.902,6.577,2.904,3.9748,2.8842,11,0,0,0.0,0.0432,28,,0,0,0.0,0.1,13,,0,0,0.0,0.1865,3,,0,1,0.3459,0.7514,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.07,a_game_of_thrones,411,0.0,1389.54,3.3809,2.2327,12.596,6.283,8.41,8.4104,6.8762,0,0,0,0.0,0.0535,8,,0,0,0.0,0.1144,8,,0,0,0.0,0.1971,8,,0,0,0.5815,0.8054,6,,0,0,0.9976,0.9976,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.10,a_game_of_thrones,372,0.0,1356.94,3.6477,2.4418,11.765,6.648,1.391,5.0515,3.8532,6,0,0,0.0,0.0565,37,,0,0,0.0,0.1075,25,,0,0,0.0,0.172,1,,0,0,0.1398,0.7016,0,,0,1,0.9812,0.9973,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.11,a_game_of_thrones,363,0.0,1231.5,3.3926,2.4565,12.871,6.584,2.666,3.6291,2.573,137,0,0,0.0,0.0716,20,,0,0,0.0,0.1488,2,,0,0,0.0,0.2259,2,,0,1,0.3306,0.8209,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.12,a_game_of_thrones,424,0.0,1483.6,3.4991,2.6553,12.653,7.219,2.438,3.695,2.6323,22,0,0,0.0,0.059,46,,0,0,0.0,0.1321,4,,0,0,0.0,0.2241,4,,0,1,0.3467,0.8042,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.14,a_game_of_thrones,385,0.0,1362.85,3.5399,2.5165,14.017,6.74,8.394,8.3936,6.8611,0,0,0,0.0,0.0779,10,,0,0,0.0,0.1273,10,,0,0,0.0,0.2052,2,,0,0,0.226,0.7247,2,,0,0,0.9974,0.9974,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.20,a_game_of_thrones,419,0.0,1401.24,3.3443,2.2418,11.48,6.292,3.046,4.0623,2.9629,12,0,0,0.0,0.0764,4,,0,0,0.0,0.1241,4,,0,0,0.0,0.2196,4,,0,1,0.4988,0.8043,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.22,a_game_of_thrones,398,0.0,1423.49,3.5766,2.6238,13.42,7.214,6.476,6.4757,5.135,0,0,0,0.0,0.0729,23,,0,0,0.0,0.1407,23,,0,0,0.0,0.2286,18,,0,0,0.1583,0.7613,1,,0,0,0.9774,0.9874,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.23,a_game_of_thrones,388,0.0,1285.49,3.3131,2.4349,14.126,6.32,3.209,4.8136,3.6391,1,0,0,0.0,0.0722,32,,0,0,0.0,0.1392,27,,0,0,0.0,0.2216,8,,0,0,0.5412,0.8144,3,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.26,a_game_of_thrones,404,0.0,1377.08,3.4086,2.3387,11.476,6.538,4.849,4.917,3.7322,2,0,0,0.0,0.0792,7,,0,0,0.0,0.1411,7,,0,0,0.0,0.203,7,,0,0,0.5866,0.8144,3,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.27,a_game_of_thrones,391,0.0,1308.28,3.346,2.4969,11.527,6.674,5.269,5.2688,4.0487,0,0,0,0.0,0.0716,5,,0,0,0.0,0.1304,3,,0,0,0.0,0.2379,3,,0,0,0.5857,0.8363,1,,0,1,0.9974,0.9974,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.31,a_game_of_thrones,375,0.0,1313.16,3.5018,2.4711,13.014,6.812,1.666,4.8183,3.6433,15,0,0,0.0,0.048,1,,0,0,0.0,0.1093,1,,0,0,0.0,0.1733,1,,0,0,0.24,0.7653,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.32,a_game_of_thrones,387,0.0,1427.37,3.6883,2.6647,12.067,7.052,12.067,12.0673,10.1674,0,0,0,0.0,0.0982,7,,0,0,0.0,0.1602,7,,0,0,0.0,0.2274,7,,0,0,0.4419,0.7028,4,,0,0,0.9328,0.9819,4,,0,0,0.9974,0.9974,1,,1,1,1.0,1.0,0,
bookmia.01.33,a_game_of_thrones,396,0.0,1533.95,3.8736,2.6224,15.147,7.001,5.765,6.0818,4.7804,2,0,0,0.0,0.0657,8,,0,0,0.0,0.1263,8,,0,0,0.0,0.1818,8,,0,0,0.0833,0.6414,3,,0,1,0.9823,0.9874,3,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.36,a_game_of_thrones,410,0.0,1380.13,3.3662,2.4112,12.165,6.771,7.112,7.1115,5.7072,0,0,0,0.0,0.0878,2,,0,0,0.0,0.1293,2,,0,0,0.0,0.2146,2,,0,0,0.4171,0.822,1,,0,0,0.9976,0.9976,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.37,a_game_of_thrones,359,0.0,1282.79,3.5732,2.6691,13.793,7.066,0.505,4.5778,3.4269,23,0,0,0.0,0.0585,5,,0,0,0.0,0.1058,5,,0,0,0.0,0.2061,0,,0,0,0.4234,0.7855,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.39,a_game_of_thrones,406,0.0,1397.6,3.4424,2.4396,14.712,6.31,5.371,5.8575,4.5786,1,0,0,0.0,0.0739,10,,0,0,0.0,0.1404,4,,0,0,0.0,0.202,4,,0,0,0.1872,0.7562,4,,0,1,0.9926,0.9926,3,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.41,a_game_of_thrones,384,0.0,1408.87,3.6689,2.601,11.045,7.285,0.174,4.573,3.4225,26,0,0,0.0,0.0729,29,,0,0,0.0,0.1302,0,,0,0,0.0,0.2057,0,,0,0,0.1875,0.7214,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.42,a_game_of_thrones,395,0.0,1256.82,3.1818,2.2837,12.589,6.252,1.804,4.3218,3.1964,3,0,0,0.0,0.0582,14,,0,0,0.0,0.1316,8,,0,0,0.0,0.2101,8,,0,0,0.7063,0.8987,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.43,a_game_of_thrones,458,0.0,1723.66,3.7635,2.3767,11.837,6.834,3.823,5.0103,3.8161,19,0,0,0.0,0.0502,41,,0,0,0.0,0.0917,3,,0,0,0.0,0.1572,3,,0,0,0.1354,0.6463,2,,0,1,0.9563,0.9978,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.44,a_game_of_thrones,404,0.0,1500.21,3.7134,2.7103,14.099,7.213,4.92,6.5752,5.2245,3,0,0,0.0,0.0668,14,,0,0,0.0,0.1287,14,,0,0,0.0,0.2054,7,,0,0,0.1906,0.6906,6,,0,0,0.9901,0.995,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.46,a_game_of_thrones,404,0.0,1425.0,3.5272,2.4765,11.097,6.805,0.11,4.829,3.6529,34,0,0,0.0,0.0743,0,,0,0,0.0,0.1287,0,,0,0,0.0,0.198,0,,0,0,0.3193,0.7401,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.49,a_game_of_thrones,423,0.0,1442.19,3.4094,2.4396,13.458,6.598,3.982,4.3378,3.2109,7,0,0,0.0,0.0757,10,,0,0,0.0,0.1371,3,,0,0,0.0,0.2128,3,,0,0,0.3806,0.8038,3,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.51,a_game_of_thrones,390,0.0,1301.35,3.3368,2.4184,10.836,6.675,3.508,4.6076,3.4537,3,0,0,0.0,0.0821,5,,0,0,0.0,0.1436,5,,0,0,0.0,0.2308,5,,0,0,0.6487,0.8436,2,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.52,a_game_of_thrones,434,0.0,1417.66,3.2665,2.5427,11.223,6.689,9.841,9.8411,8.1639,0,0,0,0.0,0.1129,6,,0,0,0.0,0.1797,6,,0,0,0.0,0.2535,6,,0,0,0.7419,0.871,6,,0,0,0.9862,0.9931,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.58,a_game_of_thrones,378,0.0,1192.1,3.1537,2.4386,13.951,6.346,10.413,10.4126,8.6781,0,0,0,0.0,0.1032,9,,0,0,0.0,0.1693,8,,0,0,0.0,0.254,8,,0,0,0.7116,0.9021,4,,0,0,0.9894,0.9894,4,,0,1,0.9921,0.9947,1,,1,1,1.0,1.0,0,
