prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,s_first,k_crit,k_crit_eta,k_crit_argmax,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,261,0.0,1023.08,3.9199,5.4504,27.878,11.467,0.002,4.6419,3.4845,124,0,0,0.0,0.3372,0,,0,0,0.0,0.4368,0,,0,0,0.0,0.5134,0,,0,0,0.4138,0.8391,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.26,1984,254,0.0,1196.6,4.711,5.6351,27.621,12.444,0.338,6.4355,5.0988,7,0,0,0.0,0.2638,8,,0,0,0.0,0.3661,0,,0,0,0.0,0.4173,0,,0,0,0.0,0.6654,0,,0,0,0.8937,0.9724,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.31,1984,247,0.0,1185.52,4.7997,5.5512,24.7,13.351,0.153,4.8814,3.7001,139,0,0,0.0,0.2267,2,,0,0,0.0,0.3036,0,,0,0,0.0,0.3806,0,,0,0,0.0,0.664,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.40,1984,269,0.0,1280.08,4.7587,5.7052,31.659,13.322,0.083,12.0906,10.1884,5,0,0,0.0,0.2862,0,,0,0,0.0,0.3309,0,,0,0,0.0,0.3903,0,,0,0,0.2305,0.7175,0,,0,0,0.9331,0.974,0,,0,0,0.9777,0.9926,0,,1,1,1.0,1.0,0,
bookmia.00.46,1984,263,0.0,1385.05,5.2664,6.3714,33.39,13.539,0.006,9.0493,7.4512,13,0,0,0.0,0.2738,0,,0,0,0.0,0.327,0,,0,0,0.0,0.3878,0,,0,0,0.0,0.6464,0,,0,0,0.8403,0.9696,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.48,1984,273,0.0,1253.84,4.5928,5.5268,25.158,12.943,3.173,8.6242,7.0686,1,0,0,0.0,0.2784,10,,0,0,0.0,0.3553,2,,0,0,0.0,0.4505,2,,0,0,0.1099,0.696,2,,0,0,0.967,0.9853,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.64,1984,262,0.0,1213.14,4.6303,5.5994,28.059,12.921,17.381,17.3811,14.9498,0,0,0,0.0,0.3053,6,,0,0,0.0,0.374,6,,0,0,0.0,0.4466,6,,0,0,0.0,0.7137,3,,0,0,0.7481,0.9504,1,,0,0,0.9962,0.9962,1,,1,1,1.0,1.0,0,
bookmia.00.71,1984,285,0.0,1473.81,5.1712,6.3812,31.097,14.063,0.002,8.8134,7.2389,4,0,0,0.0,0.3123,0,,0,0,0.0,0.3684,0,,0,0,0.0,0.4421,0,,0,0,0.0,0.6526,0,,0,0,0.6,0.9263,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.00,a_game_of_thrones,285,0.0,1430.81,5.0204,5.8439,30.556,13.774,8.633,12.0811,10.1798,3,0,0,0.0,0.3123,4,,0,0,0.0,0.3649,4,,0,0,0.0,0.4211,4,,0,0,0.1123,0.6702,4,,0,0,0.8,0.9193,4,,0,0,0.986,0.9895,0,,1,1,1.0,1.0,0,
bookmia.01.01,a_game_of_thrones,305,0.0,1574.1,5.161,6.7447,36.198,14.481,4.882,13.6376,11.5807,4,0,0,0.0,0.3148,1,,0,0,0.0,0.3836,1,,0,0,0.0,0.482,1,,0,0,0.0885,0.6984,1,,0,0,0.7508,0.9311,0,,0,0,0.9836,0.9934,0,,1,1,1.0,1.0,0,
bookmia.01.02,a_game_of_thrones,276,0.0,1545.8,5.6007,6.7573,31.719,15.234,13.28,13.4602,11.4211,1,0,0,0.0,0.2572,2,,0,0,0.0,0.3478,2,,0,0,0.0,0.4203,2,,0,0,0.0,0.6594,2,,0,0,0.7065,0.9167,2,,0,0,0.9928,0.9928,2,,1,1,1.0,1.0,0,
bookmia.01.03,a_game_of_thrones,266,0.0,1405.28,5.283,5.9237,31.079,13.529,15.669,15.6692,13.4091,0,0,0,0.0,0.2105,2,,0,0,0.0,0.2895,1,,0,0,0.0,0.3684,1,,0,0,0.0,0.6128,1,,0,0,0.6316,0.9211,1,,0,0,0.9962,0.9962,1,,1,1,1.0,1.0,0,
bookmia.01.04,a_game_of_thrones,261,0.0,1367.73,5.2403,6.1331,40.869,13.496,5.654,8.3529,6.8244,3,0,0,0.0,0.2031,4,,0,0,0.0,0.3103,4,,0,0,0.0,0.3908,4,,0,0,0.0,0.6475,4,,0,0,0.9119,0.954,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.07,a_game_of_thrones,272,0.0,1527.09,5.6143,6.3611,29.52,14.683,5.135,16.918,14.533,2,0,0,0.0,0.1949,5,,0,0,0.0,0.2721,5,,0,0,0.0,0.3493,5,,0,0,0.0,0.5956,5,,0,0,0.6029,0.886,5,,0,0,0.9853,0.989,0,,1,1,1.0,1.0,0,
bookmia.01.10,a_game_of_thrones,274,0.0,1485.99,5.4233,6.544,30.642,14.304,0.01,8.4228,6.8874,6,0,0,0.0,0.2117,0,,0,0,0.0,0.2993,0,,0,0,0.0,0.3978,0,,0,0,0.0985,0.6679,0,,0,0,0.7409,0.8978,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
