prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,s_first,k_crit,k_crit_eta,k_crit_argmax,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,262,0.0,639.26,2.4399,2.406,11.885,5.693,2.077,2.6904,1.7282,136,0,0,0.0,0.1183,21,,0,0,0.0,0.2557,1,,0,0,0.0,0.4237,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.26,1984,255,0.0,748.9,2.9369,2.4769,11.283,6.671,5.941,5.9407,4.6535,0,0,0,0.0,0.0824,15,,0,0,0.0,0.1765,9,,0,0,0.0,0.3176,1,,0,0,0.9098,0.9843,1,,0,1,0.9961,0.9961,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.31,1984,248,0.0,713.41,2.8767,2.5068,13.686,6.254,0.832,2.8962,1.9135,140,0,0,0.0,0.0484,37,,0,0,0.0,0.1694,6,,0,0,0.0,0.3306,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.40,1984,270,0.0,792.54,2.9353,2.5947,12.161,6.736,0.95,4.8642,3.6847,6,0,0,0.0,0.1148,7,,0,0,0.0,0.2222,7,,0,0,0.0,0.3481,0,,0,0,0.8074,0.9667,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.46,1984,264,0.0,837.43,3.1721,2.8612,13.028,6.881,2.165,4.5002,3.3571,14,0,0,0.0,0.1174,1,,0,0,0.0,0.2083,1,,0,0,0.0,0.2917,1,,0,0,0.7992,0.9545,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.48,1984,274,0.0,778.63,2.8417,2.4551,10.432,6.659,2.739,4.0838,2.9823,9,0,0,0.0,0.0985,11,,0,0,0.0,0.1971,11,,0,0,0.0,0.3358,11,,0,1,0.9453,0.9708,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.64,1984,263,0.0,736.5,2.8004,2.466,10.05,6.424,1.782,5.9159,4.6312,1,0,0,0.0,0.1027,7,,0,0,0.0,0.1977,7,,0,0,0.0,0.3384,7,,0,0,0.6882,0.943,0,,0,1,0.9924,0.9962,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.71,1984,286,0.0,878.45,3.0715,2.8829,13.503,7.441,7.893,7.8934,6.4109,0,0,0,0.0,0.1189,11,,0,0,0.0,0.2413,1,,0,0,0.0,0.3636,1,,0,0,0.5979,0.9231,1,,0,0,0.979,0.993,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.00,a_game_of_thrones,286,0.0,858.95,3.0033,2.8301,16.284,7.096,1.964,5.9069,4.6231,4,0,0,0.0,0.1119,5,,0,0,0.0,0.2203,5,,0,0,0.0,0.3846,5,,0,0,0.7972,0.9161,0,,0,1,0.9825,0.9965,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.01,a_game_of_thrones,306,0.0,929.54,3.0377,3.0153,16.523,7.284,3.379,6.1335,4.827,5,0,0,0.0,0.1405,6,,0,0,0.0,0.2516,2,,0,0,0.0,0.4118,2,,0,0,0.7941,0.9248,1,,0,1,0.9804,0.9935,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.02,a_game_of_thrones,277,0.0,915.19,3.3039,2.8832,12.826,7.705,3.86,6.0601,4.7609,2,0,0,0.0,0.0758,10,,0,0,0.0,0.1697,10,,0,0,0.0,0.2888,10,,0,0,0.6895,0.9134,3,,0,1,0.9892,0.9928,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.03,a_game_of_thrones,267,0.0,855.49,3.2041,2.7062,13.716,7.322,0.968,4.5569,3.4081,1,0,0,0.0,0.0787,42,,0,0,0.0,0.176,22,,0,0,0.0,0.2772,0,,0,0,0.5431,0.8876,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.04,a_game_of_thrones,262,0.0,857.84,3.2742,2.7625,17.062,7.024,7.748,7.7481,6.2801,0,0,0,0.0,0.0573,28,,0,0,0.0,0.145,6,,0,0,0.0,0.2748,5,,0,0,0.3206,0.8435,1,,0,0,0.9962,0.9962,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.07,a_game_of_thrones,273,0.0,919.47,3.368,2.74,14.037,6.999,0.034,6.9942,5.6016,3,0,0,0.0,0.0623,0,,0,0,0.0,0.1392,0,,0,0,0.0,0.2601,0,,0,0,0.4249,0.8462,0,,0,0,0.978,0.989,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.10,a_game_of_thrones,275,0.0,877.4,3.1906,2.715,16.532,6.711,2.521,4.5581,3.4092,7,0,0,0.0,0.0945,13,,0,0,0.0,0.16,12,,0,0,0.0,0.2945,12,,0,0,0.5964,0.8982,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.11,a_game_of_thrones,261,0.0,748.21,2.8667,2.6289,16.246,6.798,2.554,3.8003,2.7272,16,0,0,0.0,0.0766,21,,0,0,0.0,0.1992,4,,0,0,0.0,0.3218,4,,0,1,0.9349,0.9808,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.12,a_game_of_thrones,304,0.0,955.55,3.1432,2.7589,14.488,7.29,7.984,7.9836,6.4921,0,0,0,0.0,0.1217,11,,0,0,0.0,0.2007,11,,0,0,0.0,0.3224,7,,0,0,0.5395,0.9112,2,,0,0,0.9934,0.9934,2,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.14,a_game_of_thrones,271,0.0,891.23,3.2887,2.6642,15.327,6.961,5.465,5.4652,4.2256,0,0,0,0.0,0.048,12,,0,0,0.0,0.155,1,,0,0,0.0,0.2509,1,,0,0,0.5129,0.8672,1,,0,1,0.9963,0.9963,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.20,a_game_of_thrones,286,0.0,861.1,3.0108,2.664,12.45,6.681,0.365,4.4439,3.3063,10,0,0,0.0,0.1014,13,,0,0,0.0,0.2238,0,,0,0,0.0,0.3706,0,,0,0,0.8182,0.951,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.22,a_game_of_thrones,283,0.0,865.35,3.0578,2.7214,13.174,6.556,2.961,5.2364,4.0196,10,0,0,0.0,0.1095,20,,0,0,0.0,0.2085,2,,0,0,0.0,0.3428,2,,0,0,0.9152,0.9576,0,,0,1,0.9611,0.9965,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.23,a_game_of_thrones,264,0.0,807.55,3.0589,2.6184,13.28,6.729,1.563,3.0881,2.0862,131,0,0,0.0,0.0833,11,,0,0,0.0,0.1894,1,,0,0,0.0,0.2917,1,,0,1,0.9129,0.9659,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.26,a_game_of_thrones,289,0.0,872.23,3.0181,2.6743,14.1,6.909,7.082,7.0815,5.6802,0,0,0,0.0,0.0865,23,,0,0,0.0,0.1696,23,,0,0,0.0,0.346,4,,0,0,0.7509,0.8997,2,,0,0,0.9239,0.9931,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.27,a_game_of_thrones,270,0.0,796.84,2.9512,2.7318,15.097,6.274,5.877,5.8772,4.5963,0,0,0,0.0,0.1,16,,0,0,0.0,0.2037,16,,0,0,0.0,0.3259,4,,0,0,0.9407,0.9741,2,,0,1,0.9963,0.9963,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.31,a_game_of_thrones,265,0.0,858.3,3.2389,2.8363,13.701,7.399,3.362,5.6057,4.352,1,0,0,0.0,0.1057,14,,0,0,0.0,0.1623,7,,0,0,0.0,0.3132,6,,0,0,0.7887,0.9057,2,,0,1,0.9925,0.9962,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.32,a_game_of_thrones,269,0.0,896.01,3.3309,2.9325,18.252,7.706,2.27,3.8398,2.7626,94,0,0,0.0,0.0743,29,,0,0,0.0,0.171,6,,0,0,0.0,0.2974,1,,0,1,0.4721,0.8141,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.33,a_game_of_thrones,288,0.0,977.91,3.3955,2.939,15.398,7.017,4.628,5.3824,4.151,12,0,0,0.0,0.0972,4,,0,0,0.0,0.1771,4,,0,0,0.0,0.2951,4,,0,0,0.6667,0.8507,1,,0,1,0.9549,0.9931,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.36,a_game_of_thrones,270,0.0,844.51,3.1278,2.5927,11.896,7.032,5.855,5.8549,4.5763,0,0,0,0.0,0.0778,31,,0,0,0.0,0.1556,16,,0,0,0.0,0.2889,6,,0,0,0.8259,0.9481,1,,0,1,0.9963,0.9963,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.37,a_game_of_thrones,269,0.0,808.31,3.0049,2.7256,11.917,7.145,11.606,11.6061,9.7523,0,0,0,0.0,0.0967,7,,0,0,0.0,0.197,2,,0,0,0.0,0.316,2,,0,0,0.8625,0.9517,1,,0,0,0.9963,0.9963,1,,0,1,0.9963,0.9963,1,,1,1,1.0,1.0,0,
bookmia.01.39,a_game_of_thrones,275,0.0,934.62,3.3986,2.8697,15.994,6.991,6.626,6.6256,5.2699,0,0,0,0.0,0.0618,1,,0,0,0.0,0.1091,1,,0,0,0.0,0.2364,1,,0,0,0.1527,0.7891,1,,0,0,0.9964,0.9964,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.41,a_game_of_thrones,267,0.0,878.55,3.2904,2.8753,13.665,7.656,0.493,4.3326,3.2062,21,0,0,0.0,0.0749,28,,0,0,0.0,0.1873,0,,0,0,0.0,0.2921,0,,0,0,0.5805,0.8614,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.42,a_game_of_thrones,274,0.0,845.03,3.084,2.7021,15.975,6.448,0.094,4.4606,3.3214,4,0,0,0.0,0.0803,0,,0,0,0.0,0.1715,0,,0,0,0.0,0.292,0,,0,0,0.8978,0.9635,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.43,a_game_of_thrones,307,0.0,1101.63,3.5884,2.9987,12.44,7.995,4.026,5.0145,3.8199,13,0,0,0.0,0.0814,15,,0,0,0.0,0.1694,15,,0,0,0.0,0.2769,15,,0,0,0.228,0.772,1,,0,1,0.9544,0.9967,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.44,a_game_of_thrones,292,0.0,948.96,3.2499,2.9351,14.516,7.22,1.909,5.467,4.2272,4,0,0,0.0,0.0993,7,,0,0,0.0,0.2089,7,,0,0,0.0,0.3356,6,,0,0,0.6575,0.8836,0,,0,1,0.9795,0.9932,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.46,a_game_of_thrones,287,0.0,953.1,3.3209,2.9386,14.395,7.478,8.512,10.4092,8.6752,1,0,0,0.0,0.0767,5,,0,0,0.0,0.1568,5,,0,0,0.0,0.2787,5,,0,0,0.5122,0.8571,2,,0,0,0.993,0.993,2,,0,1,0.993,0.9965,0,,1,1,1.0,1.0,0,
bookmia.01.49,a_game_of_thrones,296,0.0,902.69,3.0496,2.7858,13.741,6.844,3.452,6.3433,5.0158,3,0,0,0.0,0.1081,44,,0,0,0.0,0.2331,9,,0,0,0.0,0.3547,9,,0,0,0.7061,0.8953,6,,0,0,0.9865,0.9932,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.51,a_game_of_thrones,276,0.0,851.13,3.0838,2.6001,11.774,6.694,2.162,5.2078,3.9938,4,0,0,0.0,0.0797,16,,0,0,0.0,0.1594,6,,0,0,0.0,0.2826,6,,0,0,0.6014,0.9275,0,,0,1,0.9819,0.9964,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.52,a_game_of_thrones,302,0.0,827.41,2.7398,2.614,13.463,6.535,2.893,6.2038,4.8903,1,0,0,0.0,0.1358,19,,0,0,0.0,0.245,5,,0,0,0.0,0.394,5,,0,0,0.8907,0.9603,0,,0,1,0.9934,0.9967,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
