prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,s_first,k_crit,k_crit_eta,k_crit_argmax,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.00.11,1984,524,0.0,1290.26,2.4623,2.2753,9.992,5.993,7.108,7.1078,5.7039,0,0,0,0.0,0.0477,71,,0,0,0.0,0.2958,5,,0,0,0.0,0.416,3,,0,0,0.9905,0.9943,2,,0,0,0.9962,0.9962,2,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.26,1984,578,0.0,1369.45,2.3693,2.3534,10.766,5.892,0.285,3.4297,2.3936,3,0,0,0.0,0.1401,75,,0,0,0.0,0.3478,0,,0,0,0.0,0.4689,0,,0,1,0.9931,0.9983,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.31,1984,522,0.0,1405.47,2.6925,2.3463,10.411,5.929,5.674,5.6742,4.4136,0,0,0,0.0,0.0383,188,,0,0,0.0,0.2126,51,,0,0,0.0,0.3966,1,,0,0,0.9464,0.977,1,,0,1,0.9981,0.9981,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.40,1984,580,0.0,1506.5,2.5974,2.5393,14.541,6.392,2.884,4.2841,3.1625,2,0,0,0.0,0.0914,47,,0,0,0.0,0.3328,1,,0,0,0.0,0.4379,1,,0,0,0.9914,0.9948,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.46,1984,591,0.0,1538.85,2.6038,2.4873,9.57,6.454,1.614,3.0831,2.0816,92,0,0,0.0,0.0812,28,,0,0,0.0,0.3012,7,,0,0,0.0,0.4501,5,,0,1,0.9543,0.9915,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.48,1984,595,0.0,1523.02,2.5597,2.5206,12.49,6.172,3.655,3.6549,2.5963,0,0,0,0.0,0.1361,82,,0,0,0.0,0.3328,1,,0,0,0.0,0.4437,1,,0,1,0.9714,0.9933,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.64,1984,601,0.0,1472.89,2.4507,2.4017,10.538,6.293,0.536,3.5361,2.4893,1,0,0,0.0,0.0799,69,,0,0,0.0,0.3328,4,,0,0,0.0,0.4609,0,,0,1,0.9967,0.9983,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.00.71,1984,605,0.0,1664.52,2.7513,2.5708,10.368,6.704,3.427,3.4269,2.391,0,0,0,0.0,0.0793,195,,0,0,0.0,0.2628,35,,0,0,0.0,0.3818,1,,0,1,0.8777,0.9686,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.00,a_game_of_thrones,612,0.0,1758.19,2.8729,2.6672,10.029,6.92,1.301,4.3328,3.2064,1,0,0,0.0,0.1029,88,,0,0,0.0,0.2876,6,,0,0,0.0,0.3954,2,,0,0,0.9804,0.9886,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.01,a_game_of_thrones,649,0.0,1867.61,2.8777,2.6799,11.518,6.885,3.065,4.9602,3.771,9,0,0,0.0,0.094,158,,0,0,0.0,0.2404,75,,0,0,0.0,0.3898,15,,0,0,0.8151,0.9399,1,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.02,a_game_of_thrones,574,0.0,1671.06,2.9113,2.6053,10.305,6.742,0.545,4.0686,2.9686,3,0,0,0.0,0.0749,137,,0,0,0.0,0.2526,28,,0,0,0.0,0.3868,0,,0,1,0.953,0.9826,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.03,a_game_of_thrones,563,0.0,1521.68,2.7028,2.455,12.8,6.41,0.816,3.5022,2.4588,1,0,0,0.0,0.103,66,,0,0,0.0,0.2931,5,,0,0,0.0,0.4156,0,,0,1,0.9751,0.9893,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.04,a_game_of_thrones,580,0.0,1527.23,2.6332,2.5027,12.124,6.325,0.417,4.5255,3.3798,7,0,0,0.0,0.0724,172,,0,0,0.0,0.3,0,,0,0,0.0,0.4224,0,,0,0,0.9414,0.9879,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.07,a_game_of_thrones,628,0.0,1764.94,2.8104,2.5518,11.023,6.581,1.023,3.6957,2.6329,33,0,0,0.0,0.1146,113,,0,0,0.0,0.2548,6,,0,0,0.0,0.3822,2,,0,1,0.9299,0.9809,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
bookmia.01.10,a_game_of_thrones,551,0.0,1499.64,2.7217,2.5641,10.651,6.598,1.046,3.8698,2.7897,1,0,0,0.0,0.0799,58,,0,0,0.0,0.2831,35,,0,0,0.0,0.4519,2,,0,1,0.9655,0.9909,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,,1,1,1.0,1.0,0,
