run,k,L,n_passages,nv_recall_old,nv_recall_new,diff,lo95,hi95,lcs_word_old,lcs_word_new
phase1,-1.0,20,100,0.4701,0.4716,0.0015,-0.0119,0.0133,67.99,79.77
phase1,-1.0,50,100,0.5307,0.5314,0.0007,-0.0043,0.0062,69.07,84.99
phase1,0.0,20,100,0.0,0.0,0.0,0.0,0.0,1.62,1.62
phase1,0.0,50,100,0.0,0.0,0.0,0.0,0.0,1.69,1.74
phase1,0.15,20,100,0.0,0.0,0.0,0.0,0.0,1.62,1.62
phase1,0.15,50,100,0.0,0.0,0.0,0.0,0.0,1.69,1.74
phase1,0.5,20,100,0.0,0.0,0.0,0.0,0.0,1.67,1.65
phase1,0.5,50,100,0.0,0.0,0.0,0.0,0.0,1.79,1.79
phase1,1.0,20,100,0.0,0.0,0.0,0.0,0.0,1.7,1.67
phase1,1.0,50,100,0.0,0.0,0.0,0.0,0.0,2.06,2.07
phase1,3.0,20,100,0.0014,0.0014,0.0,0.0,0.0,2.45,2.49
phase1,3.0,50,100,0.0061,0.0061,0.0,0.0,0.0,3.61,3.67
phase1,5.0,20,100,0.0031,0.0031,0.0,0.0,0.0,4.67,4.63
phase1,5.0,50,100,0.0348,0.0335,-0.0012,-0.0039,0.0001,7.32,7.39
phase1,10.0,20,100,0.025,0.0264,0.0014,-0.0036,0.0078,9.47,9.59
phase1,10.0,50,100,0.1124,0.1108,-0.0016,-0.0051,0.0005,16.57,17.67
phase1,20.0,20,100,0.44,0.4408,0.0008,-0.0117,0.0124,63.88,74.34
phase1,20.0,50,100,0.5039,0.505,0.0011,-0.0034,0.0062,64.16,78.74
comp8b_kl,-1.0,20,100,0.4701,0.4716,0.0015,-0.0119,0.0133,67.99,79.77
comp8b_kl,-1.0,50,100,0.5307,0.5314,0.0007,-0.0043,0.0062,69.07,84.99
comp8b_kl,0.0,20,100,0.0,0.0,0.0,0.0,0.0,1.62,1.62
comp8b_kl,0.0,50,100,0.0,0.0,0.0,0.0,0.0,1.69,1.74
comp8b_kl,3.0,20,100,0.0014,0.0014,0.0,0.0,0.0,2.45,2.49
comp8b_kl,3.0,50,100,0.0061,0.0061,0.0,0.0,0.0,3.61,3.67
comp8b_kl,5.0,20,100,0.0031,0.0031,0.0,0.0,0.0,4.67,4.63
comp8b_kl,5.0,50,100,0.0348,0.0335,-0.0012,-0.0039,0.0001,7.32,7.39
comp8b_kl,10.0,20,100,0.025,0.0264,0.0014,-0.0036,0.0078,9.47,9.59
comp8b_kl,10.0,50,100,0.1124,0.1108,-0.0016,-0.0051,0.0005,16.57,17.67
comp8b_kl,20.0,20,100,0.44,0.4408,0.0008,-0.0117,0.0124,63.88,74.34
comp8b_kl,20.0,50,100,0.5039,0.505,0.0011,-0.0034,0.0062,64.16,78.74
comp8b_pathwise,-1.0,20,100,0.4701,0.4716,0.0015,-0.0119,0.0133,67.99,79.77
comp8b_pathwise,-1.0,50,100,0.5307,0.5314,0.0007,-0.0043,0.0062,69.07,84.99
comp8b_pathwise,0.0,20,100,0.0,0.0,0.0,0.0,0.0,1.62,1.62
comp8b_pathwise,0.0,50,100,0.0,0.0,0.0,0.0,0.0,1.69,1.74
comp8b_pathwise,1.0,20,100,0.0,0.0,0.0,0.0,0.0,1.72,1.7
comp8b_pathwise,1.0,50,100,0.0,0.0,0.0,0.0,0.0,1.88,1.96
comp8b_pathwise,3.0,20,100,0.0,0.0,0.0,0.0,0.0,2.22,2.23
comp8b_pathwise,3.0,50,100,0.0014,0.0014,0.0,0.0,0.0,2.89,2.91
comp8b_pathwise,5.0,20,100,0.0,0.0,0.0,0.0,0.0,3.4,3.34
comp8b_pathwise,5.0,50,100,0.0176,0.0186,0.0011,0.0,0.0032,5.52,5.66
comp8b_pathwise,10.0,20,100,0.016,0.0184,0.0024,0.0,0.0072,7.67,7.69
comp8b_pathwise,10.0,50,100,0.0919,0.092,0.0001,-0.0001,0.0005,14.54,15.27
comp8b_pathwise,20.0,20,100,0.2972,0.2986,0.0014,-0.0065,0.0084,44.63,47.87
comp8b_pathwise,20.0,50,100,0.4374,0.4312,-0.0062,-0.0133,-0.0005,58.61,67.03
comp8b_pathwise,50.0,20,100,0.4701,0.4716,0.0015,-0.0119,0.0133,67.99,79.77
comp8b_pathwise,50.0,50,100,0.5307,0.5314,0.0007,-0.0043,0.0062,69.07,84.99
bank_cap_k10_10,10.0,50,100,0.066,0.066,0.0,0.0,0.0,11.88,11.92
bank_cap_k10_50,10.0,50,100,0.0876,0.0876,0.0,0.0,0.0,15.44,15.42
bank_cap_k20_20,20.0,50,100,0.4686,0.4687,0.0001,0.0,0.0004,76.03,79.18
comp_comma7b,-1.0,20,100,0.6686,0.6771,0.0085,0.002,0.0165,105.98,125.77
comp_comma7b,-1.0,50,100,0.6929,0.6932,0.0004,-0.0024,0.0028,127.54,135.25
comp_comma7b,0.0,20,100,0.0,0.0,0.0,0.0,0.0,1.52,1.51
comp_comma7b,0.0,50,100,0.0,0.0,0.0,0.0,0.0,1.81,1.83
comp_comma7b,0.15,20,100,0.0,0.0,0.0,0.0,0.0,1.52,1.51
comp_comma7b,0.15,50,100,0.0,0.0,0.0,0.0,0.0,1.81,1.83
comp_comma7b,0.5,20,100,0.0,0.0,0.0,0.0,0.0,1.59,1.59
comp_comma7b,0.5,50,100,0.0,0.0,0.0,0.0,0.0,2.03,2.06
comp_comma7b,1.0,20,100,0.0,0.0,0.0,0.0,0.0,1.83,1.82
