run,window0_queries,identical,share,by_k
comp8b_kl,1200,1200,1.0,-1:200/200;0:200/200;3:200/200;5:200/200;10:200/200;20:200/200
comp8b_pathwise,1600,1600,1.0,-1:200/200;0:200/200;1:200/200;3:200/200;5:200/200;10:200/200;20:200/200;50:200/200
bank_cap_k10_10,100,100,1.0,10:100/100
bank_cap_k10_50,100,100,1.0,10:100/100
bank_cap_k20_20,100,100,1.0,20:100/100
comp_comma7b,1800,1800,1.0,-1:200/200;0:200/200;0.15:200/200;0.5:200/200;1:200/200;3:200/200;5:200/200;10:200/200;20:200/200
nm/hp1_greedy,100,100,1.0,-1:50/50;0:50/50
nm/hp1_B,400,400,1.0,-1:50/50;0:50/50;1:50/50;1.5:50/50;3:50/50;5:50/50;10:50/50;20:50/50
nm/hp1_A,400,400,1.0,-1:50/50;0:50/50;1:50/50;1.5:50/50;3:50/50;5:50/50;10:50/50;20:50/50
nm/1984_greedy,16,16,1.0,-1:8/8;0:8/8
nm/1984_B,64,64,1.0,-1:8/8;0:8/8;1:8/8;1.5:8/8;3:8/8;5:8/8;10:8/8;20:8/8
nm/1984_A,64,64,1.0,-1:8/8;0:8/8;1:8/8;1.5:8/8;3:8/8;5:8/8;10:8/8;20:8/8
