job,path,gpus,start,end,wall_hours,gpu_hours,start_source,idle_removed_hours,note
feat-003 smoke,output/smoke_feat003,1,2026-09-05 16:12,2026-09-05 16:15,0.05,0.05,dir_birth,0.0,
certificate strength,output/certcap_rerun.log,1,2026-09-05 16:23,2026-09-05 16:24,0.02,0.02,dir_birth,0.0,feat-006
feat-004 smoke,output/smoke,1,2026-09-05 16:25,2026-09-05 16:48,0.38,0.38,dir_birth,0.0,
batching check,output/batchcheck,1,2026-09-05 16:50,2026-09-05 16:58,0.13,0.13,dir_birth,0.0,
sweep (raw prompts),output/sweep_plain,1,2026-09-05 16:59,2026-09-05 20:22,3.38,3.38,dir_birth,0.0,feat-005
sweep (chat template),output/sweep_chat,1,2026-09-05 16:59,2026-09-05 21:15,2.89,2.89,dir_birth,1.36,OOM restart; idle gap removed
memoriser fine-tune,output/memorizing_llama8b,1,2026-09-05 17:05,2026-09-05 18:21,1.25,1.25,dir_birth,0.0,feat-008
memoriser check,output/memorizing_check_greedy,1,2026-09-05 18:21,2026-09-05 18:29,0.13,0.13,dir_birth,0.0,
memoriser check (sampled),output/memorizing_check,1,2026-09-05 18:29,2026-09-05 18:37,0.14,0.14,dir_birth,0.0,
composition smoke,output/composition_smoke,1,2026-09-05 18:21,2026-09-05 18:37,0.27,0.27,dir_birth,0.0,
composition attack,output/composition,1,2026-09-05 18:24,2026-09-11 19:15,1.88,1.88,dir_birth,142.98,feat-009; two passes
bank-and-burst smoke,output/bank_burst_smoke,1,2026-09-05 19:20,2026-09-05 20:44,1.4,1.4,dir_birth,0.0,"feat-010, not evaluated"
certificate strength (memoriser),output/certcap_memoriser,1,2026-09-05 20:19,2026-09-05 20:20,0.02,0.02,dir_birth,0.0,
pathwise smoke,output/phase2/pathwise_smoke,1,2026-09-06 01:15,2026-09-06 01:17,0.05,0.05,dir_birth,0.0,feat-019
KL smoke,output/phase2/kl_smoke,1,2026-09-06 01:18,2026-09-06 01:20,0.04,0.04,dir_birth,0.0,
budget path,output/phase2/budget_path.log,1,2026-09-06 01:18,2026-09-06 01:24,0.1,0.1,dir_birth,0.0,feat-023
warped anchor,output/phase2/warped,1,2026-09-06 01:20,2026-09-06 01:24,0.06,0.06,dir_birth,0.0,feat-022
latent leakage,output/phase2/latent,1,2026-09-06 01:38,2026-09-06 01:51,0.2,0.2,dir_birth,0.0,feat-024
8B control on HP1,output/phase2/hp1_8b,1,2026-09-06 02:00,2026-09-06 02:20,0.32,0.32,dir_birth,0.0,
warp smoke,output/phase2/warp_smoke,1,2026-09-06 02:22,2026-09-06 02:24,0.02,0.02,dir_birth,0.0,
bank-cap smoke,output/phase2/cap_smoke,1,2026-09-06 02:07,2026-09-06 02:09,0.02,0.02,dir_birth,0.0,
composition (KL),output/phase2/comp8b_kl,1,2026-09-06 01:23,2026-09-06 02:46,1.38,1.38,dir_birth,0.0,feat-021
composition (pathwise),output/phase2/comp8b_pathwise,1,2026-09-06 01:23,2026-09-06 03:21,1.97,1.97,dir_birth,0.0,feat-019
bank cap D=k at k=10,output/phase2/bank_cap_k10_10,1,2026-09-06 03:24,2026-09-06 03:39,0.26,0.26,dir_birth,0.0,shared a card with the pathwise sweep
