arm,scorer,n,cost_vs_metered,nats_certified,gain,lo95,hi95,n_prompts,separates
sel05b_n2,Qwen2.5-0.5B,2,0.468,0.6931,0.007,-0.008,0.022,500,False
sel05b_n4,Qwen2.5-0.5B,4,0.936,1.3863,0.0005,-0.018,0.0195,500,False
metered_k10,--,,1.0,2000.0,0.04,0.014,0.066,500,True
sel7b_n2,Qwen2.5-7B,2,1.796,0.6931,0.0195,0.0045,0.035,500,True
sel05b_n8,Qwen2.5-0.5B,8,1.873,2.0794,0.029,0.0095,0.048,500,True
sel7b_n4,Qwen2.5-7B,4,3.592,1.3863,0.021,0.0015,0.04,500,True
sel05b_n16,Qwen2.5-0.5B,16,3.745,2.7726,0.0395,0.0205,0.0585,500,True
sel7b_n8,Qwen2.5-7B,8,7.184,2.0794,0.0415,0.022,0.0615,500,True
sel05b_n32,Qwen2.5-0.5B,32,7.491,3.4657,0.0335,0.012,0.0545,500,True
sel7b_n16,Qwen2.5-7B,16,14.367,2.7726,0.0655,0.0435,0.0875,500,True
sel05b_n64,Qwen2.5-0.5B,64,14.981,4.1589,0.022,0.0,0.044,500,False
sel7b_n32,Qwen2.5-7B,32,28.735,3.4657,0.092,0.0685,0.115,500,True
sel7b_n64,Qwen2.5-7B,64,57.469,4.1589,0.1075,0.084,0.1305,500,True
