prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.00.11,1984,0.802,0.3658,0.3861,0.3861,78,0.3861,78,0.3861,78
bookmia.00.26,1984,0.7014,0.3418,0.3602,0.3602,76,0.3602,76,0.3602,76
bookmia.00.31,1984,0.0,0.3484,0.3789,0.3789,72,0.3789,72,0.3789,72
bookmia.00.40,1984,0.2892,0.3546,0.3775,0.3725,76,0.3725,76,0.3725,76
bookmia.00.46,1984,0.0,0.3414,0.3505,0.0981,21,0.3505,75,0.3505,75
bookmia.00.48,1984,0.77,0.3279,0.3474,0.3474,74,0.3474,74,0.3474,74
bookmia.00.64,1984,0.0,0.2855,0.3594,0.1982,43,0.3548,77,0.3548,77
bookmia.00.71,1984,0.3897,0.3329,0.3474,0.2254,48,0.3474,74,0.3474,74
bookmia.01.00,a_game_of_thrones,0.0,0.3158,0.3427,0.3427,73,0.3427,73,0.3427,73
bookmia.01.01,a_game_of_thrones,0.2488,0.2732,0.3088,0.2903,63,0.2903,63,0.3088,67
bookmia.01.02,a_game_of_thrones,0.7424,0.3321,0.3535,0.3535,70,0.3535,70,0.3535,70
bookmia.01.03,a_game_of_thrones,0.2778,0.3282,0.3636,0.3586,71,0.3586,71,0.3586,71
bookmia.01.04,a_game_of_thrones,0.2754,0.3455,0.3623,0.1111,23,0.3623,75,0.3623,75
bookmia.01.07,a_game_of_thrones,0.5352,0.3059,0.3286,0.3286,70,0.3239,69,0.3239,69
bookmia.01.10,a_game_of_thrones,0.0,0.3464,0.3663,0.3663,74,0.3663,74,0.3168,64
bookmia.01.11,a_game_of_thrones,0.7642,0.3319,0.3726,0.3726,79,0.3726,79,0.3726,79
bookmia.01.12,a_game_of_thrones,0.1033,0.3512,0.3709,0.3709,79,0.3709,79,0.3427,73
bookmia.01.14,a_game_of_thrones,0.7487,0.2435,0.3618,0.2111,42,0.3618,72,0.3618,72
bookmia.01.20,a_game_of_thrones,0.1281,0.3033,0.33,0.33,67,0.33,67,0.33,67
bookmia.01.22,a_game_of_thrones,0.6965,0.3074,0.3433,0.3433,69,0.3433,69,0.3433,69
bookmia.01.23,a_game_of_thrones,0.2663,0.2786,0.3533,0.0,15,0.3533,65,0.3533,65
bookmia.01.26,a_game_of_thrones,0.285,0.3259,0.35,0.35,70,0.35,70,0.35,70
bookmia.01.27,a_game_of_thrones,0.6649,0.3467,0.3946,0.3946,73,0.3946,73,0.3946,73
bookmia.01.31,a_game_of_thrones,0.2359,0.3392,0.359,0.359,70,0.359,70,0.359,70
bookmia.01.32,a_game_of_thrones,0.0,0.3414,0.3743,0.3743,70,0.3743,70,0.3743,70
bookmia.01.33,a_game_of_thrones,0.7158,0.3304,0.3684,0.3632,69,0.3632,69,0.3632,69
bookmia.01.36,a_game_of_thrones,0.6946,0.3392,0.3695,0.3695,75,0.3695,75,0.3695,75
bookmia.01.37,a_game_of_thrones,0.6649,0.3748,0.383,0.383,72,0.383,72,0.383,72
bookmia.01.39,a_game_of_thrones,0.24,0.3106,0.35,0.34,68,0.34,68,0.34,68
bookmia.01.41,a_game_of_thrones,0.0,0.3428,0.3641,0.1456,30,0.3641,75,0.3641,75
bookmia.01.42,a_game_of_thrones,0.0,0.2546,0.3463,0.3463,46,0.3463,71,0.3463,71
bookmia.01.43,a_game_of_thrones,0.0,0.2589,0.319,0.3143,66,0.3143,66,0.3143,66
bookmia.01.44,a_game_of_thrones,0.1923,0.294,0.3317,0.3221,67,0.3221,67,0.3221,67
bookmia.01.46,a_game_of_thrones,0.1465,0.3374,0.3535,0.3535,70,0.3535,70,0.3535,70
bookmia.01.49,a_game_of_thrones,0.3366,0.3398,0.3707,0.361,74,0.361,74,0.361,74
bookmia.01.51,a_game_of_thrones,0.75,0.3367,0.3679,0.3632,77,0.3679,78,0.3679,78
bookmia.01.52,a_game_of_thrones,0.6812,0.2976,0.3382,0.3382,70,0.3382,70,0.3382,70
bookmia.01.58,a_game_of_thrones,0.0,0.3563,0.3789,0.3789,72,0.3789,72,0.3789,72
bookmia.01.59,a_game_of_thrones,0.3615,0.3078,0.3474,0.3474,74,0.3474,74,0.3474,74
