prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.00.11,1984,0.802,0.4397,0.4752,0.3267,66,0.4703,95,0.4703,95
bookmia.00.26,1984,0.7014,0.4702,0.4882,0.4882,103,0.4882,103,0.4882,103
bookmia.00.31,1984,0.0,0.4664,0.5053,0.5053,96,0.5053,96,0.5053,96
bookmia.00.40,1984,0.2892,0.4059,0.4706,0.1912,39,0.4706,96,0.4706,96
bookmia.00.46,1984,0.0,0.452,0.472,0.472,101,0.472,101,0.472,101
bookmia.00.48,1984,0.77,0.4713,0.5117,0.5023,100,0.5023,100,0.5117,109
bookmia.00.64,1984,0.0,0.4706,0.4977,0.4977,108,0.4977,108,0.4977,108
bookmia.00.71,1984,0.3897,0.4535,0.4601,0.4554,97,0.4554,97,0.4554,97
bookmia.01.00,a_game_of_thrones,0.0,0.4623,0.4836,0.4836,103,0.4836,103,0.4836,103
bookmia.01.01,a_game_of_thrones,0.2488,0.4093,0.4424,0.4424,96,0.4424,96,0.4424,96
bookmia.01.02,a_game_of_thrones,0.7424,0.4652,0.4949,0.4899,97,0.4899,97,0.4899,97
bookmia.01.03,a_game_of_thrones,0.2778,0.5635,0.5707,0.5707,113,0.5707,113,0.5707,113
bookmia.01.04,a_game_of_thrones,0.2754,0.536,0.5459,0.5459,113,0.5459,113,0.5459,113
bookmia.01.07,a_game_of_thrones,0.5352,0.4801,0.4883,0.4883,104,0.4883,104,0.4883,104
bookmia.01.10,a_game_of_thrones,0.0,0.5217,0.5545,0.5545,112,0.5545,112,0.5545,112
bookmia.01.11,a_game_of_thrones,0.7642,0.5314,0.533,0.533,113,0.533,113,0.533,113
bookmia.01.12,a_game_of_thrones,0.1033,0.4705,0.4836,0.4836,103,0.4836,103,0.4836,103
bookmia.01.14,a_game_of_thrones,0.7487,0.496,0.4975,0.4975,99,0.4975,99,0.4975,99
bookmia.01.20,a_game_of_thrones,0.1281,0.2823,0.4631,0.0,10,0.4631,94,0.4631,94
bookmia.01.22,a_game_of_thrones,0.6965,0.4761,0.4776,0.4776,96,0.4776,96,0.4776,96
bookmia.01.23,a_game_of_thrones,0.2663,0.5004,0.5272,0.5272,97,0.5272,97,0.5272,97
bookmia.01.26,a_game_of_thrones,0.285,0.437,0.485,0.17,34,0.485,97,0.485,97
bookmia.01.27,a_game_of_thrones,0.6649,0.4586,0.5135,0.5135,95,0.5135,95,0.5135,95
bookmia.01.31,a_game_of_thrones,0.2359,0.4861,0.5128,0.5128,100,0.5128,100,0.5128,100
bookmia.01.32,a_game_of_thrones,0.0,0.4555,0.508,0.4973,93,0.4973,93,0.4973,93
bookmia.01.33,a_game_of_thrones,0.7158,0.4499,0.4789,0.4789,91,0.4789,91,0.4789,91
bookmia.01.36,a_game_of_thrones,0.6946,0.4774,0.5025,0.3498,71,0.5025,102,0.5025,102
bookmia.01.37,a_game_of_thrones,0.6649,0.5682,0.6011,0.5691,102,0.5851,110,0.5851,110
bookmia.01.39,a_game_of_thrones,0.24,0.4361,0.465,0.465,93,0.465,93,0.465,93
bookmia.01.41,a_game_of_thrones,0.0,0.4901,0.5291,0.5194,107,0.5194,107,0.5194,107
bookmia.01.42,a_game_of_thrones,0.0,0.5168,0.5366,0.5317,109,0.5317,109,0.5317,109
bookmia.01.43,a_game_of_thrones,0.0,0.4008,0.4143,0.4143,87,0.4143,87,0.4143,87
bookmia.01.44,a_game_of_thrones,0.1923,0.4684,0.4808,0.4808,61,0.4808,100,0.4808,100
bookmia.01.46,a_game_of_thrones,0.1465,0.4665,0.4899,0.4899,97,0.4899,97,0.4899,97
bookmia.01.49,a_game_of_thrones,0.3366,0.3519,0.478,0.1756,36,0.478,98,0.478,98
bookmia.01.51,a_game_of_thrones,0.75,0.4598,0.467,0.467,99,0.467,99,0.467,99
bookmia.01.52,a_game_of_thrones,0.6812,0.398,0.4444,0.3043,36,0.4444,92,0.4444,92
bookmia.01.58,a_game_of_thrones,0.0,0.4899,0.5158,0.5105,97,0.5105,97,0.5105,97
bookmia.01.59,a_game_of_thrones,0.3615,0.4221,0.4507,0.4507,96,0.4507,96,0.4507,96
bookmia.01.60,a_game_of_thrones,0.0,0.2046,0.2163,0.2163,45,0.2163,45,0.2163,45
bookmia.01.62,a_game_of_thrones,0.6543,0.371,0.516,0.516,97,0.516,97,0.516,97
bookmia.01.69,a_game_of_thrones,0.4975,0.5194,0.5373,0.5373,108,0.5373,108,0.5373,108
bookmia.01.71,a_game_of_thrones,0.0,0.465,0.4739,0.4502,59,0.4739,100,0.4739,100
bookmia.01.73,a_game_of_thrones,0.1925,0.4676,0.4836,0.4836,103,0.4836,103,0.4836,103
bookmia.01.74,a_game_of_thrones,0.0,0.5173,0.5309,0.5309,103,0.5309,103,0.5309,103
bookmia.01.75,a_game_of_thrones,0.1474,0.5263,0.5684,0.5684,108,0.5684,108,0.5684,108
bookmia.01.76,a_game_of_thrones,0.0,0.4808,0.4925,0.4925,98,0.4925,98,0.4925,98
bookmia.01.77,a_game_of_thrones,0.0,0.4452,0.4645,0.4645,98,0.4645,98,0.4645,98
bookmia.01.78,a_game_of_thrones,0.768,0.5157,0.5258,0.5258,102,0.5258,102,0.5258,102
bookmia.01.79,a_game_of_thrones,0.2982,0.4362,0.4633,0.4633,101,0.4633,101,0.4633,101
bookmia.01.81,a_game_of_thrones,0.2255,0.4687,0.5098,0.5098,104,0.5098,104,0.5098,104
bookmia.01.82,a_game_of_thrones,0.7799,0.5511,0.5694,0.5694,119,0.5694,119,0.5694,119
bookmia.01.83,a_game_of_thrones,0.7512,0.5194,0.5224,0.5224,105,0.5224,105,0.5224,105
bookmia.01.87,a_game_of_thrones,0.2991,0.4137,0.4299,0.4299,92,0.4299,92,0.4299,92
bookmia.01.88,a_game_of_thrones,0.7385,0.5103,0.5179,0.5179,101,0.5179,101,0.5179,101
bookmia.01.89,a_game_of_thrones,0.7317,0.4801,0.4829,0.4829,99,0.4829,99,0.4829,99
bookmia.01.90,a_game_of_thrones,0.3782,0.5182,0.5596,0.5596,108,0.5596,108,0.5596,108
bookmia.01.97,a_game_of_thrones,0.0,0.5414,0.5608,0.5608,106,0.5608,106,0.5608,106
bookmia.07.02,casino_royale,0.803,0.4771,0.5123,0.133,27,0.5123,104,0.5123,104
bookmia.07.03,casino_royale,0.5735,0.5111,0.5118,0.5118,108,0.5118,108,0.5118,108
bookmia.07.04,casino_royale,0.684,0.5015,0.5142,0.5142,109,0.5142,109,0.5142,109
bookmia.07.05,casino_royale,0.0,0.4791,0.5072,0.2201,46,0.5072,106,0.5072,106
bookmia.07.06,casino_royale,0.8154,0.4683,0.5436,0.2821,55,0.5436,106,0.5436,106
bookmia.07.07,casino_royale,0.1435,0.469,0.5139,0.5139,111,0.5139,111,0.5139,111
bookmia.07.08,casino_royale,0.0,0.1892,0.4589,0.4589,95,0.4589,95,0.4589,95
bookmia.07.09,casino_royale,0.7799,0.4715,0.4976,0.0,4,0.4976,104,0.4976,104
bookmia.07.15,casino_royale,0.7897,0.4437,0.4907,0.4907,105,0.4907,105,0.4907,105
bookmia.07.16,casino_royale,0.7767,0.5791,0.6093,0.6093,131,0.6093,131,0.6093,131
bookmia.07.17,casino_royale,0.302,0.5101,0.5396,0.5396,109,0.5396,109,0.5396,109
bookmia.07.20,casino_royale,0.5681,0.4269,0.4366,0.4366,93,0.4366,93,0.4366,93
bookmia.07.24,casino_royale,0.5959,0.4921,0.5078,0.5078,98,0.5078,98,0.5078,98
bookmia.07.25,casino_royale,0.743,0.5049,0.5234,0.5187,111,0.5187,111,0.5187,111
bookmia.07.26,casino_royale,0.2009,0.4428,0.4533,0.4533,97,0.4533,97,0.4533,93
bookmia.07.28,casino_royale,0.493,0.4801,0.4977,0.4977,107,0.4977,107,0.4977,107
bookmia.07.29,casino_royale,0.1866,0.5067,0.5072,0.5072,106,0.5072,106,0.5072,106
bookmia.07.30,casino_royale,0.1238,0.5203,0.5545,0.0,3,0.5545,112,0.5545,112
bookmia.07.31,casino_royale,0.1359,0.4414,0.4757,0.4757,98,0.4757,98,0.4757,98
bookmia.07.32,casino_royale,0.0,0.4757,0.4904,0.4904,102,0.4904,102,0.4904,102
bookmia.07.37,casino_royale,0.0,0.4578,0.4764,0.4764,101,0.4764,101,0.4764,101
bookmia.07.40,casino_royale,0.7474,0.4812,0.5206,0.5206,101,0.5206,101,0.5206,101
bookmia.07.41,casino_royale,0.1019,0.4821,0.4903,0.4903,101,0.4903,101,0.4903,101
bookmia.07.43,casino_royale,0.7725,0.5604,0.5714,0.5714,108,0.5714,108,0.5714,108
bookmia.07.44,casino_royale,0.7048,0.4876,0.5048,0.5048,106,0.5048,106,0.5048,106
bookmia.07.47,casino_royale,0.4569,0.4216,0.4467,0.4416,87,0.4416,87,0.4416,87
bookmia.07.49,casino_royale,0.0,0.4853,0.5024,0.5024,105,0.5024,105,0.5024,105
bookmia.07.53,casino_royale,0.75,0.4481,0.4481,0.4481,95,0.4481,95,0.4481,95
bookmia.07.54,casino_royale,0.7854,0.482,0.5068,0.5068,111,0.5068,111,0.5068,111
bookmia.07.55,casino_royale,0.2598,0.5742,0.5931,0.5931,121,0.5931,121,0.5931,121
bookmia.07.56,casino_royale,0.7612,0.5187,0.5274,0.5274,106,0.5274,106,0.5274,106
bookmia.07.57,casino_royale,0.7295,0.4549,0.4976,0.4734,63,0.4928,102,0.4928,102
bookmia.07.59,casino_royale,0.5837,0.4905,0.5158,0.5158,114,0.5158,114,0.5158,114
bookmia.07.61,casino_royale,0.0,0.4209,0.4428,0.4428,89,0.4428,89,0.4428,89
bookmia.07.62,casino_royale,0.4524,0.4548,0.4667,0.4667,98,0.4667,98,0.4667,98
bookmia.07.63,casino_royale,0.2222,0.5356,0.5556,0.5556,110,0.5556,110,0.5556,110
bookmia.07.66,casino_royale,0.2817,0.4781,0.493,0.493,105,0.493,105,0.493,105
bookmia.07.70,casino_royale,0.2245,0.5331,0.5408,0.5408,106,0.5408,106,0.5408,106
bookmia.07.72,casino_royale,0.7704,0.5021,0.5051,0.5051,99,0.5051,99,0.5051,99
bookmia.07.73,casino_royale,0.8107,0.5557,0.5583,0.5583,115,0.5583,115,0.5583,115
bookmia.07.77,casino_royale,0.1699,0.4556,0.4951,0.4951,102,0.4951,102,0.4951,102
bookmia.07.80,casino_royale,0.7756,0.4713,0.4829,0.4829,99,0.4829,99,0.4829,99
