pair,seed_tokens_20,words_20,ratio_20,seed_tokens_matched,words_matched,ratio_matched,delta
Comma-7B,20,14.1,0.8786,20,14.1,0.8786,0.0
KL3M-1.7B,20,7.5,1.1549,40,14.8,0.979,-0.1759
KL3M-520M,20,7.5,1.0321,40,14.8,0.9393,-0.0928
Phi-3.5-mini,20,13.9,0.9259,20,13.9,0.9259,0.0
Pleias-1.2B,20,14.6,0.8661,20,14.6,0.8661,0.0
Pleias-350M,20,13.9,0.8927,20,13.9,0.8927,0.0
TinyComma-1.8B,20,15.0,0.8658,20,15.0,0.8658,0.0
open-calm-1b,20,9.5,1.0014,30,14.6,0.9593,-0.0421
open-calm-3b,20,9.5,0.9812,30,14.6,0.9194,-0.0618
ALL,9,ratio,0.2891,,,0.1132,0.3916
