constraint,k,L,prompt_id,window,S_i,K_i,surplus,attempts,matched,attempts_to_match,bound_success_prob,bound_expected_attempts
kl,-1.0,50,bookmia.00.11,0,122.65,-50.0,172.65,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.11,1,132.54,-50.0,182.54,4,1,4,1.0,1.0
kl,-1.0,50,bookmia.00.11,2,147.72,-50.0,197.72,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.11,3,119.3,-50.0,169.3,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.00.11,4,94.52,-50.0,144.52,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.26,0,152.37,-50.0,202.37,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.26,1,152.72,-50.0,202.72,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.00.26,2,144.08,-50.0,194.08,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.26,3,142.92,-50.0,192.92,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.26,4,133.63,-50.0,183.63,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.31,0,106.8,-50.0,156.8,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.31,1,164.66,-50.0,214.66,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.31,2,159.96,-50.0,209.96,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.31,3,131.07,-50.0,181.07,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.31,4,132.84,-50.0,182.84,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.40,0,169.49,-50.0,219.49,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.40,1,142.84,-50.0,192.84,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.40,2,135.65,-50.0,185.65,7,1,7,1.0,1.0
kl,-1.0,50,bookmia.00.40,3,144.71,-50.0,194.71,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.40,4,137.6,-50.0,187.6,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.40,5,29.97,-50.0,79.97,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.46,0,179.75,-50.0,229.75,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.46,1,138.46,-50.0,188.46,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.46,2,149.48,-50.0,199.48,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.46,3,171.12,-50.0,221.12,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.46,4,155.21,-50.0,205.21,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.46,5,6.91,-50.0,56.91,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.48,0,158.89,-50.0,208.89,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.00.48,1,135.4,-50.0,185.4,8,0,,1.0,1.0
kl,-1.0,50,bookmia.00.48,2,149.59,-50.0,199.59,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.00.48,3,170.64,-50.0,220.64,6,1,6,1.0,1.0
kl,-1.0,50,bookmia.00.48,4,144.88,-50.0,194.88,8,0,,1.0,1.0
