prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1,recall_n8,lcs_n8,rouge_n8,recall_n64,lcs_n64,rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.0892,0.0,0.0,0.0,1,0.0642,0.0,2,0.0874,0.0,2,0.102
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1319,0.0,0.0,0.0,2,0.0922,0.0,2,0.1509,0.0,1,0.0741
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1613,0.0,0.0,0.0,2,0.1193,0.0,2,0.1232,0.0,2,0.0849
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1559,0.0,0.0,0.0,1,0.1159,0.0,2,0.1315,0.0,2,0.1132
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1673,0.0,0.0,0.0,1,0.1005,0.0,2,0.1366,0.0,1,0.0538
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1389,0.0,0.0,0.0,1,0.078,0.0,2,0.1308,0.0,1,0.1415
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1031,0.0,0.0,0.0,1,0.0971,0.0,2,0.1137,0.0,2,0.1023
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1384,0.0,0.0,0.0,2,0.1063,0.0,2,0.1063,0.0,2,0.1165
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.1014,0.0,0.0,0.0,2,0.099,0.0,1,0.0878,0.0,2,0.0966
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1748,0.0,0.0,0.0,2,0.1176,0.0,2,0.1481,0.0,1,0.1296
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1458,0.0,0.0,0.0,2,0.1132,0.0,2,0.1353,0.0,2,0.1553
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.131,0.0,0.0,0.0,1,0.0935,0.0,2,0.1461,0.0,1,0.0448
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1172,0.0,0.0,0.0,2,0.0737,0.0,2,0.0991,0.0,2,0.1005
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.0986,0.0,0.0,0.0,2,0.0638,0.0,2,0.0711,0.0,2,0.0796
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1199,0.0,0.0,0.0,2,0.0751,0.0,1,0.1204,0.0,1,0.1204
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1304,0.0,0.0,0.0,2,0.0758,0.0,2,0.1302,0.0,2,0.1215
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0818,0.0,0.0,0.0,2,0.0896,0.0,2,0.0887,0.0,1,0.0787
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.1192,0.0,0.0,0.0,1,0.1221,0.0,1,0.0829,0.0,1,0.0727
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.0977,0.0,0.0,0.0,1,0.0995,0.0,2,0.0896,0.0,1,0.0392
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.1045,0.0,0.0,0.0,2,0.1081,0.0,2,0.1081,0.0,2,0.0696
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.106,0.0,0.0,0.0,1,0.0821,0.0,1,0.0878,0.0,2,0.1158
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.1168,0.0,0.0,0.0,2,0.1165,0.0,2,0.1475,0.0,1,0.0208
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.1111,0.0,0.0,0.0,1,0.07,0.0,2,0.0773,0.0,1,0.0142
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.0997,0.0,0.0,0.0,1,0.0833,0.0,1,0.039,0.0,1,0.0758
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.1087,0.0,0.0,0.0,3,0.1111,0.0,2,0.1296,0.0,2,0.1296
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.0836,0.0,0.0,0.0,1,0.0849,0.0,1,0.0909,0.0,2,0.0693
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.0,0.118,0.0,0.0,0.0,1,0.069,0.0,3,0.0796,0.0,2,0.0538
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.0842,0.0,0.0,0.0,2,0.0583,0.0,1,0.0853,0.0,2,0.068
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.1306,0.0,0.0,0.0,1,0.12,0.0,1,0.1159,0.0,2,0.1232
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.0,0.1277,0.0,0.0,0.0,1,0.0905,0.0,2,0.1081,0.0,1,0.078
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.0,0.1262,0.0,0.0,0.0,2,0.0905,0.0,1,0.1308,0.0,1,0.0973
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.0,0.1575,0.0,0.0,0.0,2,0.1232,0.0,2,0.0855,0.0,2,0.0855
bookmia.17.68,harry_potter_and_the_sorcerer's_stone,0.0,0.1875,0.0,0.0,0.0,2,0.1386,0.0,3,0.1346,0.0,1,0.0463
bookmia.17.69,harry_potter_and_the_sorcerer's_stone,0.0,0.1042,0.0,0.0,0.0,2,0.1073,0.0,1,0.1232,0.0,2,0.0856
bookmia.17.73,harry_potter_and_the_sorcerer's_stone,0.0,0.0846,0.0,0.0,0.0,1,0.0874,0.0,1,0.1194,0.0,2,0.0966
bookmia.17.76,harry_potter_and_the_sorcerer's_stone,0.0,0.0941,0.0,0.0,0.0,2,0.1257,0.0,2,0.0729,0.0,2,0.1058
bookmia.17.77,harry_potter_and_the_sorcerer's_stone,0.0,0.1452,0.0,0.0,0.0,1,0.0139,0.0,2,0.115,0.0,1,0.0437
bookmia.17.79,harry_potter_and_the_sorcerer's_stone,0.0,0.1321,0.0,0.0,0.0,2,0.1339,0.0,2,0.1422,0.0,2,0.1422
bookmia.17.80,harry_potter_and_the_sorcerer's_stone,0.0,0.1046,0.0,0.0,0.0,2,0.093,0.0,2,0.0887,0.0,2,0.0887
bookmia.17.82,harry_potter_and_the_sorcerer's_stone,0.0,0.0848,0.0,0.0,0.0,1,0.0622,0.0,1,0.0933,0.0,2,0.0702
bookmia.17.84,harry_potter_and_the_sorcerer's_stone,0.0,0.1181,0.0,0.0,0.0,2,0.0973,0.0,2,0.1206,0.0,2,0.1078
bookmia.17.85,harry_potter_and_the_sorcerer's_stone,0.0,0.0962,0.0,0.0,0.0,1,0.0741,0.0,1,0.1165,0.0,1,0.0111
bookmia.17.86,harry_potter_and_the_sorcerer's_stone,0.0,0.1123,0.0,0.0,0.0,2,0.1171,0.0,2,0.1171,0.0,2,0.1
bookmia.17.88,harry_potter_and_the_sorcerer's_stone,0.0,0.1176,0.0,0.0,0.0,2,0.11,0.0,2,0.1232,0.0,1,0.0994
bookmia.17.89,harry_potter_and_the_sorcerer's_stone,0.0,0.1205,0.0,0.0,0.0,1,0.0757,0.0,1,0.0933,0.0,2,0.1152
bookmia.17.91,harry_potter_and_the_sorcerer's_stone,0.0,0.1074,0.0,0.0,0.0,1,0.0821,0.0,1,0.078,0.0,1,0.0952
bookmia.17.94,harry_potter_and_the_sorcerer's_stone,0.0,0.1066,0.0,0.0,0.0,1,0.0722,0.0,1,0.09,0.0,1,0.0856
bookmia.17.95,harry_potter_and_the_sorcerer's_stone,0.0,0.0866,0.0,0.0,0.0,1,0.0638,0.0,1,0.0782,0.0,2,0.1368
bookmia.17.97,harry_potter_and_the_sorcerer's_stone,0.0,0.0949,0.0,0.0,0.0,2,0.0891,0.0,1,0.0467,0.0,0,0.0
bookmia.17.98,harry_potter_and_the_sorcerer's_stone,0.0,0.0727,0.0,0.0,0.0,1,0.0784,0.0,1,0.0784,0.0,1,0.0766
