prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1,recall_n8,lcs_n8,rouge_n8,recall_n64,lcs_n64,rouge_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.0892,0.0,0.0,0.0,2,0.1382,0.0,2,0.1283,0.0,2,0.1283
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.1319,0.0,0.0,0.0,2,0.1486,0.0,3,0.1611,0.0,3,0.1528
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1613,0.0,0.0,0.0,2,0.1386,0.0,3,0.1346,0.0,1,0.0896
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1559,0.0,0.0,0.0,2,0.1701,0.0,2,0.1701,0.0,2,0.1701
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.1673,0.0,0.0,0.0,2,0.1608,0.0,2,0.1479,0.0,2,0.1479
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1389,0.0,0.0,0.0,2,0.1045,0.0,2,0.1384,0.0,3,0.1127
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.1031,0.0,0.0,0.0,3,0.101,0.0,3,0.1187,0.0,1,0.0571
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1384,0.0,0.0,0.0,2,0.0903,0.0,1,0.0996,0.0,2,0.1434
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.1014,0.0,0.0,0.0,3,0.1091,0.0,1,0.1026,0.0,2,0.0791
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1748,0.0,0.0,0.0,2,0.1184,0.0,2,0.1645,0.0,2,0.1433
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.1458,0.0,0.0,0.0,2,0.1423,0.0,4,0.1614,0.0,2,0.1413
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.131,0.0,0.0,0.0,3,0.1233,0.0,2,0.1306,0.0,2,0.1462
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.1172,0.0,0.0,0.0,1,0.1118,0.0,2,0.1294,0.0,2,0.11
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.0986,0.0,0.0,0.0,2,0.0707,0.0,2,0.1131,0.0,2,0.0732
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1199,0.0,0.0,0.0,2,0.1234,0.0,3,0.1391,0.0,2,0.1406
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1304,0.0,0.0,0.0,2,0.1492,0.0,2,0.1492,0.0,2,0.1236
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0818,0.0,0.0,0.0,2,0.0741,0.0,2,0.1151,0.0,2,0.1151
