prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1
bookmia.00.11,1984,0.1733,0.2704,0.0,0.0,0.0506,0,0,0.0,1,0.0506,0.0,0.0506
bookmia.00.26,1984,0.0,0.1968,0.0,0.0,0.0962,0,0,0.0,2,0.0962,0.0,0.0962
bookmia.00.31,1984,0.8158,0.887,0.0,0.0,0.1134,0,0,0.0,2,0.1134,0.0,0.1134
bookmia.00.40,1984,0.6961,0.8011,0.0,0.0,0.0977,0,0,0.0,1,0.0977,0.0,0.0977
bookmia.00.46,1984,0.0,0.241,0.0,0.0,0.1173,0,0,0.0,2,0.1173,0.0,0.1173
bookmia.00.48,1984,0.3192,0.4409,0.0,0.0,0.0093,0,0,0.0,1,0.0093,0.0,0.0093
bookmia.00.64,1984,0.0,0.1217,0.0,0.0,0.1654,0,0,0.0,3,0.1654,0.0,0.1654
bookmia.00.71,1984,0.4131,0.5699,0.0,0.0,0.0979,0,0,0.0,2,0.0979,0.0,0.0979
bookmia.01.00,a_game_of_thrones,0.0,0.231,0.0,0.0,0.0519,0,0,0.0,2,0.0519,0.0,0.0519
bookmia.01.01,a_game_of_thrones,0.129,0.3333,0.0,0.0,0.0741,0,0,0.0,2,0.0741,0.0,0.0741
bookmia.01.02,a_game_of_thrones,0.1616,0.3094,0.0,0.0,0.0588,0,0,0.0,2,0.0588,0.0,0.0588
bookmia.01.03,a_game_of_thrones,0.6364,0.7978,0.0,0.0,0.1209,0,0,0.0,2,0.1209,0.0,0.1209
bookmia.01.04,a_game_of_thrones,0.2754,0.4242,0.0,0.0,0.04,0,0,0.0,1,0.04,0.0,0.04
bookmia.01.07,a_game_of_thrones,0.5822,0.6739,0.0,0.0,0.1337,0,0,0.0,2,0.1337,0.0,0.1337
bookmia.01.10,a_game_of_thrones,0.7079,0.8286,0.0,0.0,0.0538,0,0,0.0,1,0.0538,0.0,0.0538
bookmia.01.11,a_game_of_thrones,0.7642,0.8663,0.0,0.0,0.0731,0,0,0.0,1,0.0731,0.0,0.0731
bookmia.01.12,a_game_of_thrones,0.0,0.1222,0.0,0.0,0.0242,0,0,0.0,1,0.0242,0.0,0.0242
bookmia.01.14,a_game_of_thrones,0.5678,0.7414,0.0,0.0,0.0284,0,0,0.0,1,0.0284,0.0,0.0284
bookmia.01.20,a_game_of_thrones,0.0,0.1279,0.0,0.0,0.0361,0,0,0.0,1,0.0361,0.0,0.0361
bookmia.01.22,a_game_of_thrones,0.2886,0.4069,0.0,0.0,0.069,0,0,0.0,1,0.069,0.0,0.069
bookmia.01.23,a_game_of_thrones,0.7609,0.858,0.0,0.0,0.0106,0,0,0.0,1,0.0106,0.0,0.0106
bookmia.01.26,a_game_of_thrones,0.0,0.1128,0.0,0.0,0.0381,0,0,0.0,1,0.0381,0.0,0.0381
bookmia.01.27,a_game_of_thrones,0.2649,0.5399,0.0,0.0,0.0753,0,0,0.0,2,0.0753,0.0,0.0753
bookmia.01.31,a_game_of_thrones,0.7538,0.8596,0.0,0.0,0.0698,0,0,0.0,1,0.0698,0.0,0.0698
bookmia.01.32,a_game_of_thrones,0.4599,0.5627,0.0,0.0,0.0791,0,0,0.0,2,0.0791,0.0,0.0791
bookmia.01.33,a_game_of_thrones,0.1947,0.4,0.0,0.0,0.0452,0,0,0.0,1,0.0452,0.0,0.0452
bookmia.01.36,a_game_of_thrones,0.1724,0.3729,0.0,0.0,0.095,0,0,0.0,1,0.095,0.0,0.095
bookmia.01.37,a_game_of_thrones,0.383,0.5,0.0,0.0,0.1091,0,0,0.0,2,0.1091,0.0,0.1091
bookmia.01.39,a_game_of_thrones,0.24,0.3533,0.0,0.0,0.0997,0,0,0.0,1,0.0997,0.0,0.0997
bookmia.01.41,a_game_of_thrones,0.0,0.1891,0.0,0.0,0.1126,0,0,0.0,2,0.1126,0.0,0.1126
bookmia.01.42,a_game_of_thrones,0.0,0.1167,0.0,0.0,0.0581,0,0,0.0,1,0.0581,0.0,0.0581
bookmia.01.43,a_game_of_thrones,0.219,0.3391,0.0,0.0,0.0276,0,0,0.0,1,0.0276,0.0,0.0276
bookmia.01.44,a_game_of_thrones,0.6587,0.8333,0.0,0.0,0.118,0,0,0.0,2,0.118,0.0,0.118
