prompt_class,k,budget_K,n_trajectories,beta_binding_frac,forced_safe_frac,active_frac,imitation_rate_nats_per_token,realised_rate_nats_per_token,prop3_lower_bound_nats,spend_nats,spend_over_cap,top1pct_of_steps_share_of_spend,frac_of_steps_for_90pct_of_spend,median_cum_spend_vs_step_slope,median_cum_spend_vs_step_r2
ordinary,0.1,20.0,1500,0.954,0.4839,0.4701,0.0337,0.0513,0.45,9.3,0.4649,0.1685,0.5709,0.0886,0.9794
ordinary,0.15,30.0,1500,0.92486,0.37782,0.54704,0.0629,0.0928,1.22,16.89,0.5631,0.1192,0.6571,0.1432,0.9942
ordinary,0.25,50.0,1500,0.85068,0.27708,0.57361,0.1345,0.1797,4.92,33.21,0.6641,0.0772,0.7177,0.2466,0.9987
ordinary,0.5,100.0,3000,0.59151,0.18068,0.41083,0.3593,0.4042,34.27,78.48,0.7848,0.0601,0.7239,0.4982,0.9994
ordinary,1,200.0,3000,0.2057,0.15299,0.05271,0.6654,0.6763,122.2,134.14,0.6707,0.0696,0.6615,0.8128,0.994
ordinary,3,600.0,1500,0.03323,0.02419,0.00904,0.8278,0.8282,164.07,165.0,0.275,0.0674,0.6429,0.8267,0.9915
ordinary,5,1000.0,1500,0.00737,0.00428,0.00309,0.8482,0.8495,169.13,169.85,0.1699,0.0596,0.637,0.8253,0.9915
ordinary,10,2000.0,1500,8e-05,0.0,8e-05,0.8565,0.8569,171.19,171.28,0.0856,0.0577,0.6368,0.8264,0.9915
ordinary,20,4000.0,1500,0.0,0.0,0.0,0.857,0.857,171.3,171.3,0.0428,0.0577,0.6368,0.8264,0.9916
protected,0.1,20.0,300,0.97403,0.39155,0.58248,0.0435,0.0604,0.28,11.95,0.5976,0.087,0.5512,0.0754,0.9318
protected,0.15,30.0,300,0.94581,0.26824,0.67757,0.0783,0.1087,0.94,21.55,0.7183,0.0692,0.6493,0.1324,0.9778
protected,0.25,50.0,300,0.87281,0.17138,0.70143,0.1664,0.2039,4.18,39.68,0.7937,0.0491,0.7093,0.239,0.9945
protected,0.5,100.0,600,0.62628,0.08935,0.53693,0.4118,0.4505,31.62,88.77,0.8877,0.0377,0.7404,0.4944,0.9989
protected,1,200.0,600,0.11033,0.0433,0.06704,0.7991,0.797,143.33,158.73,0.7936,0.0526,0.6826,0.8557,0.9941
protected,3,600.0,300,0.01618,0.0143,0.00188,0.8903,0.8838,176.31,176.75,0.2946,0.0546,0.6824,0.9086,0.9926
protected,5,1000.0,300,0.01188,0.01068,0.0012,0.8923,0.889,177.51,177.81,0.1778,0.054,0.6843,0.9144,0.9915
protected,10,2000.0,300,0.0005,5e-05,0.00045,0.904,0.9043,180.7,180.87,0.0904,0.0543,0.6856,0.9183,0.9921
protected,20,4000.0,300,0.0,0.0,0.0,0.9109,0.9109,182.18,182.18,0.0455,0.0546,0.6848,0.9184,0.9918
