prompt_class,k,frac_of_steps,frac_of_spend
ordinary,0.1,0.05,0.31298
ordinary,0.1,0.1,0.38697
ordinary,0.1,0.15,0.45018
ordinary,0.1,0.2,0.50721
ordinary,0.1,0.25,0.55899
ordinary,0.1,0.3,0.60744
ordinary,0.1,0.35,0.65347
ordinary,0.1,0.4,0.69757
ordinary,0.1,0.45,0.73985
ordinary,0.1,0.5,0.78041
ordinary,0.1,0.55,0.81969
ordinary,0.1,0.6,0.85781
ordinary,0.1,0.65,0.89484
ordinary,0.1,0.7,0.92986
ordinary,0.1,0.75,0.96091
ordinary,0.1,0.8,0.98444
ordinary,0.1,0.85,0.99702
ordinary,0.1,0.9,0.99995
ordinary,0.1,0.95,1.0
ordinary,0.1,1.0,1.0
ordinary,0.15,0.05,0.24657
ordinary,0.15,0.1,0.32817
ordinary,0.15,0.15,0.39147
ordinary,0.15,0.2,0.44729
ordinary,0.15,0.25,0.49873
ordinary,0.15,0.3,0.54774
ordinary,0.15,0.35,0.59506
ordinary,0.15,0.4,0.64067
ordinary,0.15,0.45,0.68468
ordinary,0.15,0.5,0.72746
ordinary,0.15,0.55,0.7694
ordinary,0.15,0.6,0.81057
ordinary,0.15,0.65,0.85084
ordinary,0.15,0.7,0.88999
ordinary,0.15,0.75,0.92742
ordinary,0.15,0.8,0.9612
ordinary,0.15,0.85,0.9867
ordinary,0.15,0.9,0.99858
ordinary,0.15,0.95,1.0
ordinary,0.15,1.0,1.0
ordinary,0.25,0.05,0.19827
ordinary,0.25,0.1,0.28428
ordinary,0.25,0.15,0.34998
ordinary,0.25,0.2,0.40669
ordinary,0.25,0.25,0.45851
ordinary,0.25,0.3,0.50852
ordinary,0.25,0.35,0.55674
ordinary,0.25,0.4,0.60341
ordinary,0.25,0.45,0.64893
ordinary,0.25,0.5,0.69367
ordinary,0.25,0.55,0.73781
ordinary,0.25,0.6,0.78135
ordinary,0.25,0.65,0.82413
ordinary,0.25,0.7,0.86578
ordinary,0.25,0.75,0.90542
ordinary,0.25,0.8,0.94158
ordinary,0.25,0.85,0.972
ordinary,0.25,0.9,0.99287
ordinary,0.25,0.95,0.99987
ordinary,0.25,1.0,1.0
ordinary,0.5,0.05,0.16733
