decoder,k,judge,n_judged,loss_pct,utility,vacuous_pct,z_loss_vs_anchor,z_utility_vs_anchor,z_loss_vs_null,z_utility_vs_null
KL,0.5,microsoft/Phi-3.5-mini-instruct,600,42.0,0.4115,0.0,1.52,1.69,3.96,3.94
KL,0.6,microsoft/Phi-3.5-mini-instruct,600,39.3,0.4285,0.1,0.57,0.96,3.03,3.24
KL,0.7,microsoft/Phi-3.5-mini-instruct,600,39.3,0.431,1.7,0.57,0.85,3.03,3.13
KL,0.8,microsoft/Phi-3.5-mini-instruct,600,33.8,0.49,9.1,-1.41,-1.7,1.13,0.66
KL,1.0,microsoft/Phi-3.5-mini-instruct,600,38.0,0.4425,43.9,0.11,0.35,2.59,2.65
KL,1.5,microsoft/Phi-3.5-mini-instruct,600,37.8,0.445,98.9,0.04,0.24,2.52,2.54
KL,2.0,microsoft/Phi-3.5-mini-instruct,600,34.8,0.4825,100.0,-1.05,-1.37,1.48,0.97
KL,2.5,microsoft/Phi-3.5-mini-instruct,600,34.5,0.474,100.0,-1.15,-1.02,1.38,1.33
KL,3.0,microsoft/Phi-3.5-mini-instruct,600,33.3,0.4875,100.0,-1.59,-1.6,0.96,0.77
KL,5.0,microsoft/Phi-3.5-mini-instruct,600,32.5,0.486,100.0,-1.89,-1.55,0.68,0.84
KL,10.0,microsoft/Phi-3.5-mini-instruct,600,28.8,0.522,100.0,-3.29,-3.12,-0.65,-0.67
KL,20.0,microsoft/Phi-3.5-mini-instruct,600,32.2,0.498,100.0,-2.0,-2.05,0.57,0.33
anchor only,0.0,microsoft/Phi-3.5-mini-instruct,600,37.7,0.4505,,0.0,-0.0,2.49,2.3
pathwise,0.5,microsoft/Phi-3.5-mini-instruct,600,40.8,0.426,0.0,1.1,1.06,3.55,3.32
pathwise,1.0,microsoft/Phi-3.5-mini-instruct,600,37.5,0.4635,43.9,-0.07,-0.55,2.42,1.75
pathwise,3.0,microsoft/Phi-3.5-mini-instruct,600,35.3,0.4795,100.0,-0.86,-1.24,1.66,1.09
pathwise,5.0,microsoft/Phi-3.5-mini-instruct,600,37.3,0.467,100.0,-0.14,-0.7,2.35,1.6
pathwise,10.0,microsoft/Phi-3.5-mini-instruct,600,29.3,0.5235,100.0,-3.09,-3.17,-0.47,-0.73
pathwise,20.0,microsoft/Phi-3.5-mini-instruct,600,33.2,0.5,100.0,-1.63,-2.12,0.92,0.25
renyi a=1,3.0,microsoft/Phi-3.5-mini-instruct,150,27.3,0.53,100.0,-2.51,-2.23,-0.79,-0.66
renyi a=2,3.0,microsoft/Phi-3.5-mini-instruct,150,34.0,0.4935,100.0,-0.85,-1.16,0.78,0.33
renyi a=4,3.0,microsoft/Phi-3.5-mini-instruct,150,34.0,0.49,100.0,-0.85,-1.07,0.78,0.43
renyi a=8,3.0,microsoft/Phi-3.5-mini-instruct,150,36.0,0.46,100.0,-0.39,-0.26,1.22,1.24
risky only (null),-1.0,microsoft/Phi-3.5-mini-instruct,500,30.6,0.506,,-2.49,-2.3,0.0,-0.0
