k,K,split,n_traj,L_mean,L_sd,L_p50,L_p90,L_p95,L_p99,L_max,n_L_gt_K,frac_L_gt_K,n_L_gt_half_K,step_boost_mean,step_boost_p95,step_boost_max,L_risky_mean,L_risky_max
1.0,200.0,attack_train,999,160.67,33.95,163.05,199.56,208.79,228.79,245.75,96,0.0961,959,7.493,11.272,21.35,0.0,0.0
1.0,200.0,creative,1500,142.33,63.33,161.16,200.77,209.75,227.7,242.29,159,0.106,1266,6.174,10.231,18.456,0.0,0.0
1.0,200.0,factual,1500,151.6,37.52,154.49,194.95,205.4,220.65,236.45,111,0.074,1400,7.645,11.737,17.966,0.0,0.0
1.0,200.0,neutral,2000,119.52,70.48,141.29,192.2,202.39,221.53,248.79,120,0.06,1468,5.744,10.678,21.012,0.0,0.0
1.0,200.0,test,1500,159.83,34.9,163.18,200.47,209.5,228.13,244.17,152,0.1013,1434,7.558,11.519,26.499,0.0,0.0
1.0,200.0,val,1500,150.89,34.7,151.76,195.03,204.27,225.69,259.08,100,0.0667,1403,7.337,11.105,19.433,0.0,0.0
3.0,600.0,attack_train,1000,177.1,45.04,176.46,231.41,250.23,311.34,344.89,0,0.0,12,8.087,12.364,20.298,174.71,345.72
3.0,600.0,creative,1500,170.82,65.12,178.1,239.1,258.17,306.51,422.19,0,0.0,22,7.301,12.163,19.964,168.33,420.62
3.0,600.0,factual,1500,160.64,45.52,159.6,213.93,231.09,275.75,449.69,0,0.0,7,8.131,12.287,17.966,158.02,447.56
3.0,600.0,neutral,2000,158.51,55.22,160.1,221.34,240.34,289.02,538.79,0,0.0,11,7.592,12.004,21.414,156.47,537.91
3.0,600.0,test,1500,174.16,42.39,173.15,224.25,240.74,299.19,372.43,0,0.0,14,8.122,12.456,19.878,172.61,371.66
3.0,600.0,val,1500,159.47,40.66,157.44,211.49,229.0,263.81,383.41,0,0.0,5,7.762,12.103,23.714,158.23,381.05
5.0,1000.0,attack_train,1000,180.57,44.62,179.27,236.46,253.31,300.77,345.59,0,0.0,0,8.248,12.694,26.161,179.28,345.72
5.0,1000.0,creative,1500,182.9,45.29,182.41,236.26,256.2,301.45,393.23,0,0.0,0,7.854,12.315,19.964,182.71,393.23
5.0,1000.0,factual,1500,163.76,41.07,162.85,214.56,230.97,263.67,427.11,0,0.0,0,8.408,12.705,18.273,163.03,425.27
5.0,1000.0,neutral,2000,167.34,45.88,163.91,225.3,246.16,296.69,538.41,0,0.0,1,8.076,12.516,21.414,167.23,537.91
5.0,1000.0,test,1500,175.42,43.56,173.4,227.36,244.57,302.46,542.87,0,0.0,1,8.142,12.35,19.878,174.55,542.24
5.0,1000.0,val,1500,160.79,41.12,159.65,211.78,231.0,271.19,357.8,0,0.0,0,7.855,12.243,19.762,160.18,357.83
