quantity,arm,value,lo95,hi95,n,reading,consistency,n_empty,level_empty
level,sel_n64,0.545,0.507,0.585,500,,0.784,41,0.6341
level,sel_n1,0.369,0.332,0.4065,500,,0.796,64,0.6172
level,metered_k10,0.49,0.451,0.529,500,,0.846,0,
level,anchor_k0,0.3685,0.331,0.4065,500,,0.81,62,0.6452
level,nonempty,0.524,0.484,0.5635,500,,0.81,0,
level,blk10n64,0.675,0.6395,0.7095,500,,0.764,110,0.7
level,blk25n64,0.6555,0.618,0.692,500,,0.812,104,0.7067
level,blk200n1,0.37,0.332,0.409,500,,0.828,76,0.7336
level,met_k0.5,0.3835,0.3465,0.4215,500,,0.788,95,0.65
level,frontkl_4.16,0.343,0.306,0.3805,500,,0.802,0,
level,frontkl_64,0.387,0.356,0.418,500,,0.644,0,
level,opp_r1,0.517,0.4785,0.5565,500,,0.806,0,
level,win_4.16,0.324,0.2875,0.3615,500,,0.83,1,1.0
level,win_12.48,0.3265,0.29,0.3635,500,,0.834,0,
level,win_24.95,0.3665,0.328,0.405,500,,0.844,0,
level,win_40,0.4185,0.3795,0.456,500,,0.832,0,
level,win_125,0.501,0.463,0.5395,500,,0.81,0,
level,win_0,0.371,0.3345,0.408,500,,0.784,66,0.7083
level,pw_83.18,0.3835,0.3455,0.4215,500,,0.824,50,0.75
level,pw_33.27,0.3525,0.3165,0.39,500,,0.8,59,0.7331
level,frontpw_4.16,0.3445,0.307,0.3815,500,,0.814,1,1.0
gain,sel_n64 - sel_n1,0.176,0.1405,0.212,500,CONFIRMED,,,
gain,nonempty - sel_n1,0.155,0.1185,0.192,500,CONFIRMED,,,
gain,blk10n64 - blk200n1,0.305,0.268,0.3425,500,CONFIRMED,,,
gain,blk25n64 - blk200n1,0.2855,0.248,0.3235,500,CONFIRMED,,,
gain,metered_k10 - anchor_k0,0.1215,0.0795,0.163,500,CONFIRMED,,,
gain,met_k0.5 - anchor_k0,0.015,-0.0185,0.0485,500,UNRESOLVED,,,
gain,frontkl_4.16 - anchor_k0,-0.0255,-0.057,0.0055,500,UNRESOLVED,,,
gain,frontkl_64 - anchor_k0,0.0185,-0.02,0.056,500,UNRESOLVED,,,
gain,opp_r1 - anchor_k0,0.1485,0.1045,0.1915,500,CONFIRMED,,,
gain,win_4.16 - win_0,-0.047,-0.079,-0.0145,500,REFUTED,,,
gain,win_12.48 - win_0,-0.0445,-0.078,-0.0105,500,REFUTED,,,
gain,win_24.95 - win_0,-0.0045,-0.043,0.0335,500,UNRESOLVED,,,
gain,win_40 - win_0,0.0475,0.0065,0.0875,500,CONFIRMED,,,
gain,win_125 - win_0,0.13,0.087,0.173,500,CONFIRMED,,,
gain,pw_83.18 - win_0,0.0125,-0.0185,0.044,500,UNRESOLVED,,,
gain,pw_33.27 - win_0,-0.0185,-0.044,0.007,500,UNRESOLVED,,,
gain,frontpw_4.16 - win_0,-0.0265,-0.0595,0.0065,500,UNRESOLVED,,,
difference,sel_n64 - win_4.16,0.223,0.1765,0.2705,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - win_4.16,0.1946,0.1392,0.2522,334,CONFIRMED,,,
"difference, consistent four",sel_n64 - win_4.16,0.17,0.1093,0.2348,247,CONFIRMED,,,
difference,sel_n64 - frontpw_4.16,0.2025,0.154,0.2515,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - frontpw_4.16,0.1903,0.1322,0.25,331,CONFIRMED,,,
"difference, consistent four",sel_n64 - frontpw_4.16,0.1573,0.0968,0.2177,248,CONFIRMED,,,
difference,sel_n64 - win_24.95,0.1805,0.131,0.2305,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - win_24.95,0.1513,0.0927,0.2114,337,CONFIRMED,,,
"difference, consistent four",sel_n64 - win_24.95,0.1317,0.0638,0.1975,243,CONFIRMED,,,
difference,sel_n64 - win_40,0.1285,0.077,0.181,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - win_40,0.1508,0.0871,0.2152,330,CONFIRMED,,,
"difference, consistent four",sel_n64 - win_40,0.1167,0.0458,0.1917,240,CONFIRMED,,,
difference,sel_n64 - win_125,0.046,-0.0085,0.0985,500,UNRESOLVED,,,
"difference, consistent pair",sel_n64 - win_125,0.0398,-0.025,0.1023,320,UNRESOLVED,,,
"difference, consistent four",sel_n64 - win_125,0.013,-0.0609,0.087,230,UNRESOLVED,,,
difference,blk10n64 - pw_83.18,0.2925,0.244,0.34,500,CONFIRMED,,,
"difference, consistent pair",blk10n64 - pw_83.18,0.2978,0.2377,0.3596,324,CONFIRMED,,,
"difference, consistent four",blk10n64 - pw_83.18,0.2531,0.1852,0.3189,243,CONFIRMED,,,
difference,blk25n64 - pw_33.27,0.304,0.2605,0.349,500,CONFIRMED,,,
"difference, consistent pair",blk25n64 - pw_33.27,0.2628,0.2078,0.3185,332,CONFIRMED,,,
"difference, consistent four",blk25n64 - pw_33.27,0.2317,0.1718,0.2915,259,CONFIRMED,,,
