k,prompt_id,rank,reward
20,tqa_0000,0,-2.046746
20,tqa_0000,1,-23.249998
20,tqa_0000,2,-3.608220
20,tqa_0000,3,0.673081
20,tqa_0000,4,-2.502809
20,tqa_0000,5,-2.863698
20,tqa_0000,6,0.690781
20,tqa_0000,7,-3.880864
20,tqa_0000,8,-5.691811
20,tqa_0000,9,-6.429503
20,tqa_0000,10,1.306492
20,tqa_0000,11,-6.098378
20,tqa_0000,12,-14.365221
20,tqa_0000,13,-10.374998
20,tqa_0000,14,-13.624998
20,tqa_0000,15,-11.891178
20,tqa_0001,0,-12.032431
20,tqa_0001,1,-0.373662
20,tqa_0001,2,-23.374998
20,tqa_0001,3,-6.512084
20,tqa_0001,4,-14.580578
20,tqa_0001,5,-0.412745
20,tqa_0001,6,-24.999998
20,tqa_0001,7,-10.710977
20,tqa_0001,8,-6.719727
20,tqa_0001,9,-10.322845
20,tqa_0001,10,-10.266265
20,tqa_0001,11,-10.994331
20,tqa_0001,12,-0.223094
20,tqa_0001,13,-11.500850
20,tqa_0001,14,-5.534217
20,tqa_0001,15,-23.124998
20,tqa_0002,0,0.747535
20,tqa_0002,1,-3.499786
20,tqa_0002,2,-9.249999
20,tqa_0002,3,4.038853
20,tqa_0002,4,1.119101
20,tqa_0002,5,0.415236
20,tqa_0002,6,3.249900
20,tqa_0002,7,-22.249998
20,tqa_0002,8,-9.334416
20,tqa_0002,9,-17.526815
20,tqa_0002,10,-14.547561
20,tqa_0002,11,-23.874998
20,tqa_0002,12,-14.666086
20,tqa_0002,13,-12.847552
20,tqa_0002,14,-10.886031
20,tqa_0002,15,-14.977145
20,tqa_0003,0,-10.553552
20,tqa_0003,1,-6.716632
20,tqa_0003,2,4.883696
20,tqa_0003,3,-20.874998
20,tqa_0003,4,-0.406686
20,tqa_0003,5,-15.261683
20,tqa_0003,6,-17.793543
20,tqa_0003,7,-12.067148
20,tqa_0003,8,-12.451846
20,tqa_0003,9,-22.499998
20,tqa_0003,10,1.471601
20,tqa_0003,11,-7.389423
20,tqa_0003,12,-23.749998
20,tqa_0003,13,4.935069
20,tqa_0003,14,-15.325072
20,tqa_0003,15,-6.300178
20,tqa_0004,0,-12.664973
20,tqa_0004,1,-16.624998
20,tqa_0004,2,-9.818249
20,tqa_0004,3,-5.219620
20,tqa_0004,4,-14.323102
20,tqa_0004,5,-10.874009
20,tqa_0004,6,-12.745679
20,tqa_0004,7,-15.550603
20,tqa_0004,8,-19.499998
20,tqa_0004,9,0.967821
20,tqa_0004,10,-21.749998
20,tqa_0004,11,-13.610460
20,tqa_0004,12,-23.687498
20,tqa_0004,13,-13.718117
20,tqa_0004,14,-22.499998
20,tqa_0004,15,-14.359931
20,tqa_0005,0,-17.235634
20,tqa_0005,1,0.140841
20,tqa_0005,2,-3.624382
20,tqa_0005,3,-16.582191
20,tqa_0005,4,-13.835528
20,tqa_0005,5,-12.842736
20,tqa_0005,6,-16.562452
20,tqa_0005,7,-24.499998
20,tqa_0005,8,-26.437498
20,tqa_0005,9,-9.999998
20,tqa_0005,10,-8.840579
20,tqa_0005,11,-12.374998
20,tqa_0005,12,-15.572401
20,tqa_0005,13,-24.999998
20,tqa_0005,14,-21.499998
20,tqa_0005,15,-14.374998
20,tqa_0006,0,-17.489609
20,tqa_0006,1,-8.248357
20,tqa_0006,2,-22.937498
20,tqa_0006,3,-24.937498
20,tqa_0006,4,-8.953921
20,tqa_0006,5,-20.249998
20,tqa_0006,6,-15.601102
20,tqa_0006,7,-9.624163
20,tqa_0006,8,-16.279812
20,tqa_0006,9,-10.874950
20,tqa_0006,10,-2.975042
20,tqa_0006,11,-15.074598
20,tqa_0006,12,-5.571185
20,tqa_0006,13,-20.624998
20,tqa_0006,14,-7.874252
20,tqa_0006,15,-10.753419
20,tqa_0007,0,-2.424162
20,tqa_0007,1,-22.999998
20,tqa_0007,2,-1.093720
20,tqa_0007,3,-13.026635
20,tqa_0007,4,-5.999969
