prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
bookmia.13.01,,380,0.5,129.0858,129.0858,333.406,354.8456,473.1396,1.0643,0.7047,0.75,0.6988,0.3282,45.53,0.0,2.9971,1044167424.0,0.884144
bookmia.13.03,,380,0.5,133.4173,133.4173,338.0181,361.3386,486.6524,1.069,0.6946,0.7425,0.6596,0.2928,42.11,0.0,3.4813,1031231552.0,0.90535
bookmia.13.04,,380,0.5,118.7688,118.7688,311.3145,332.0783,452.3717,1.0667,0.6882,0.7341,0.6889,0.2771,47.89,0.0,2.9038,1051472448.0,0.947995
bookmia.13.05,,380,0.5,122.754,122.754,362.7534,383.6046,528.0079,1.0575,0.687,0.7265,0.6748,0.291,46.05,0.0,3.2734,1101369472.0,0.973895
bookmia.13.08,,380,0.5,133.5573,133.5573,352.7148,376.0146,507.7659,1.0661,0.6946,0.7405,0.6479,0.2958,40.79,0.0,3.4566,1069966016.0,0.903379
bookmia.13.09,,380,0.5,129.8437,129.8437,356.7225,378.3897,517.685,1.0607,0.6891,0.7309,0.6536,0.2909,41.58,0.0,3.5796,1079921536.0,0.945313
bookmia.13.10,,380,0.5,132.7712,132.7712,364.8024,391.3438,534.4573,1.0728,0.6826,0.7322,0.656,0.2989,41.84,0.0,3.3905,1139346816.0,0.961525
bookmia.13.12,,380,0.5,126.0069,126.0069,322.5943,343.4658,463.146,1.0647,0.6965,0.7416,0.68,0.2946,45.0,0.0,3.0402,996697984.0,0.910825
bookmia.13.13,,380,0.5,127.9431,127.9431,351.3297,372.7397,513.2003,1.0609,0.6846,0.7263,0.6586,0.2758,43.42,0.0,3.7947,1184900480.0,0.965674
bookmia.13.16,,380,0.5,128.5739,128.5739,316.9531,337.5276,444.4484,1.0649,0.7131,0.7594,0.6828,0.3032,43.95,0.0,3.0973,1003723904.0,0.848781
bookmia.13.18,,380,0.5,127.6691,127.6691,340.1744,360.0349,492.2477,1.0584,0.6911,0.7314,0.6615,0.2815,43.95,0.0,3.1751,1070370816.0,0.931254
bookmia.13.22,,380,0.5,130.3479,130.3479,354.9953,376.7937,506.4587,1.0614,0.7009,0.744,0.6757,0.3118,43.42,0.0,3.3149,1072243968.0,0.928906
bookmia.13.23,,380,0.5,128.0077,128.0077,344.6294,366.6389,490.6768,1.0639,0.7024,0.7472,0.6856,0.303,45.0,0.0,3.1075,1085747072.0,0.899031
bookmia.13.25,,380,0.5,114.3161,114.3161,286.7026,306.5917,400.4093,1.0694,0.716,0.7657,0.743,0.3141,51.58,0.0,2.2071,892551808.0,0.846601
bookmia.13.27,,380,0.5,127.9417,127.9417,360.0613,381.4117,518.6414,1.0593,0.6942,0.7354,0.6661,0.2906,42.63,0.0,3.4311,1129847680.0,0.938128
bookmia.13.29,,380,0.5,126.9766,126.9766,326.0619,348.9169,468.393,1.0701,0.6961,0.7449,0.6908,0.2929,45.53,0.0,2.9764,1012352960.0,0.899355
bookmia.13.31,,380,0.5,121.4213,121.4213,332.0739,352.0779,474.5195,1.0602,0.6998,0.742,0.6955,0.3107,47.11,0.0,2.6016,1018612288.0,0.92746
bookmia.13.32,,380,0.5,129.426,129.426,352.0952,374.1782,520.6423,1.0627,0.6763,0.7187,0.6433,0.2671,43.16,0.0,4.007,1125220224.0,0.967711
bookmia.13.34,,380,0.5,133.1856,133.1856,348.4037,371.1101,496.5885,1.0652,0.7016,0.7473,0.6667,0.3053,43.95,0.0,3.5456,1059739008.0,0.891884
bookmia.13.35,,380,0.5,120.7128,120.7128,335.9985,357.9031,492.4755,1.0652,0.6823,0.7267,0.6884,0.285,46.58,0.0,2.9422,1145520768.0,0.98593
bookmia.13.37,,380,0.5,136.383,136.383,373.6351,396.2935,547.3943,1.0606,0.6826,0.724,0.6307,0.2818,39.21,0.0,4.1231,1184045184.0,0.964146
bookmia.13.41,,380,0.5,130.0187,130.0187,333.3362,352.063,472.4358,1.0562,0.7056,0.7452,0.6675,0.3012,43.42,0.0,3.4155,1052993792.0,0.890399
bookmia.13.42,,380,0.5,128.1172,128.1173,352.409,375.1718,515.0607,1.0646,0.6842,0.7284,0.6719,0.2869,45.0,0.0,3.4115,1169205120.0,0.9598
bookmia.13.43,,380,0.5,123.7984,123.7983,315.9628,333.4842,451.0267,1.0555,0.7005,0.7394,0.6705,0.2922,45.53,0.0,3.3109,1011264128.0,0.903803
bookmia.13.44,,380,0.5,124.6933,124.6933,334.3375,355.7731,482.6511,1.0641,0.6927,0.7371,0.6756,0.285,47.11,0.0,3.2958,1011742976.0,0.919323
bookmia.13.45,,380,0.5,129.972,129.972,336.0865,356.655,487.7508,1.0612,0.6891,0.7312,0.6533,0.2927,41.32,0.0,3.3697,1096003200.0,0.927836
bookmia.13.46,,380,0.5,126.6868,126.6868,354.6594,378.358,522.2103,1.0668,0.6792,0.7245,0.6668,0.2921,43.95,0.0,3.4206,1176716672.0,0.996591
bookmia.13.47,,380,0.5,133.8895,133.8895,328.0419,349.2083,467.1067,1.0645,0.7023,0.7476,0.665,0.3048,43.42,0.0,3.4665,1041526912.0,0.874294
bookmia.13.51,,380,0.5,130.3071,130.3071,343.8994,367.2603,494.4389,1.0679,0.6955,0.7428,0.668,0.297,43.42,0.0,3.2251,1061654848.0,0.909524
bookmia.13.52,,380,0.5,131.0369,131.0369,333.2878,353.6843,472.5912,1.0612,0.7052,0.7484,0.6663,0.2995,42.11,0.0,3.286,1048816000.0,0.873911
