prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
bookmia.00.11,,380,0.25,67.36,67.3601,426.7886,477.8994,814.7844,1.1198,0.5238,0.5865,0.4987,0.1235,38.42,0.0,6.2927,3.13,2.072768
bookmia.00.26,,380,0.25,65.4669,65.4669,397.9153,443.5602,760.4856,1.1147,0.5232,0.5833,0.5181,0.1206,40.53,0.0,4.9914,3.086,2.006793
bookmia.00.31,,380,0.25,72.2898,72.2898,464.1274,516.6541,891.2139,1.1132,0.5208,0.5797,0.4735,0.1272,34.47,0.0,7.519,2.706,2.102305
bookmia.00.40,,380,0.25,67.526,67.526,467.2659,525.3939,908.8027,1.1244,0.5142,0.5781,0.508,0.1253,39.21,0.0,5.5747,3.177,2.300181
bookmia.00.46,,380,0.25,68.7618,68.7619,430.2222,478.7425,824.0383,1.1128,0.5221,0.581,0.4958,0.128,37.37,0.0,6.228,3.173,2.070225
bookmia.00.48,,380,0.25,65.6174,65.6174,419.8516,478.006,814.2836,1.1385,0.5156,0.587,0.5153,0.1201,40.0,0.0,5.0045,3.261,2.13139
bookmia.00.64,,380,0.25,64.3468,64.3468,413.647,466.3921,806.0961,1.1275,0.5131,0.5786,0.5246,0.1184,41.58,0.0,5.4523,3.185,2.178906
bookmia.00.71,,380,0.25,70.5267,70.5267,455.6554,520.3312,902.3442,1.1419,0.505,0.5766,0.474,0.1229,35.0,0.0,6.5039,3.564,2.262274
bookmia.01.00,,380,0.25,69.3631,69.3631,500.3643,561.4975,969.5331,1.1222,0.5161,0.5791,0.4927,0.1288,36.84,0.0,6.8629,2.976,2.364255
bookmia.01.01,,380,0.25,71.7737,71.7737,522.1627,592.7452,1036.3926,1.1352,0.5038,0.5719,0.4546,0.1298,32.37,0.0,8.681,3.074,2.494384
bookmia.01.02,,380,0.25,70.7279,70.7279,506.2684,564.4821,981.1071,1.115,0.516,0.5754,0.4729,0.1323,34.74,0.0,7.9352,2.807,2.346711
bookmia.01.03,,380,0.25,67.4263,67.4263,452.4026,497.3798,878.0486,1.0994,0.5152,0.5665,0.4873,0.1239,37.11,0.0,7.2782,2.839,2.234642
bookmia.01.04,,380,0.25,66.8814,66.8814,433.9445,484.6588,840.3619,1.1169,0.5164,0.5767,0.5015,0.1217,38.68,0.0,6.3685,2.764,2.144497
bookmia.01.07,,380,0.25,69.3203,69.3203,450.6431,506.9891,883.3907,1.125,0.5101,0.5739,0.4825,0.1224,36.32,0.0,7.4333,2.829,2.211531
bookmia.01.10,,380,0.25,66.4583,66.4583,455.6266,512.3939,901.726,1.1246,0.5053,0.5682,0.517,0.1208,40.53,0.0,6.7626,2.673,2.357551
bookmia.01.11,,380,0.25,65.1502,65.1502,433.955,493.7895,852.9594,1.1379,0.5088,0.5789,0.5084,0.1145,40.0,0.0,5.8969,2.693,2.268245
bookmia.01.12,,380,0.25,72.7016,72.7016,488.6913,544.7905,953.6314,1.1148,0.5125,0.5713,0.4443,0.1285,31.84,0.0,8.1532,3.006,2.268978
bookmia.01.14,,380,0.25,70.8332,70.8332,503.6952,564.7449,982.0493,1.1212,0.5129,0.5751,0.4657,0.1303,33.16,0.0,7.6781,3.261,2.368125
bookmia.01.20,,380,0.25,69.6563,69.6563,478.2946,536.9344,936.0024,1.1226,0.511,0.5736,0.4846,0.1266,36.05,0.0,6.6531,3.065,2.310025
bookmia.01.22,,380,0.25,72.6997,72.6997,496.9004,565.1865,977.8349,1.1374,0.5082,0.578,0.4511,0.1298,31.58,0.0,7.0153,3.983,2.321091
bookmia.01.23,,380,0.25,71.3879,71.3879,480.3275,534.771,924.4921,1.1133,0.5196,0.5784,0.4506,0.1282,32.63,0.0,8.0879,2.819,2.204377
bookmia.01.26,,380,0.25,70.2838,70.2838,497.0759,567.809,985.0553,1.1423,0.5046,0.5764,0.4777,0.1251,35.79,0.0,6.5731,3.322,2.40665
bookmia.01.27,,380,0.25,71.0789,71.0789,487.7004,544.1303,966.524,1.1157,0.5046,0.563,0.4635,0.1264,34.21,0.0,8.1723,2.802,2.366563
bookmia.01.31,,380,0.25,70.654,70.654,503.2244,561.8978,979.8297,1.1166,0.5136,0.5735,0.4649,0.1194,34.74,0.0,9.0023,2.804,2.361957
bookmia.01.32,,380,0.25,73.5365,73.5365,550.0038,616.7137,1072.3792,1.1213,0.5129,0.5751,0.4557,0.1319,32.63,0.0,9.2311,3.197,2.466386
bookmia.01.33,,380,0.25,75.9466,75.9466,596.1,666.0043,1186.2976,1.1173,0.5025,0.5614,0.407,0.1362,26.58,0.0,10.8962,3.243,2.672808
bookmia.01.36,,380,0.25,70.9403,70.9403,489.9527,551.572,967.936,1.1258,0.5062,0.5698,0.4747,0.128,35.0,0.0,7.3183,3.071,2.402231
bookmia.01.37,,380,0.25,69.345,69.345,451.0286,510.2865,877.3571,1.1314,0.5141,0.5816,0.477,0.1222,36.05,0.0,7.0967,3.059,2.1855
bookmia.01.39,,380,0.25,71.8253,71.8253,475.8427,529.7585,933.8638,1.1133,0.5095,0.5673,0.4552,0.1263,33.16,0.0,7.66,2.732,2.257864
bookmia.01.41,,380,0.25,67.317,67.317,463.1101,529.4337,925.4797,1.1432,0.5004,0.5721,0.4879,0.1192,37.11,0.0,6.9932,3.304,2.406417
