prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
neutral_qa_000,,160,0.5,59.3703,59.3703,165.2255,176.3128,242.2745,1.0671,0.682,0.7277,0.647,0.3141,37.5,0.0,4.0023,2.265,0.988231
neutral_qa_001,,160,0.5,42.4521,42.4521,107.5019,113.5143,145.9209,1.0559,0.7367,0.7779,0.7698,0.306,56.88,0.0,1.4506,2.498,0.799191
neutral_qa_002,,160,0.5,52.6588,52.6588,137.1356,144.1952,195.7809,1.0515,0.7005,0.7365,0.6701,0.2913,45.0,0.0,3.3708,1.638,0.912626
neutral_qa_003,,160,0.5,55.6037,55.6037,155.574,164.7256,226.7515,1.0588,0.6861,0.7265,0.6539,0.2794,42.5,0.0,3.4939,1.868,0.976923
neutral_qa_004,,160,0.5,52.4408,52.4408,144.7446,155.7327,210.5053,1.0759,0.6876,0.7398,0.7094,0.3157,47.5,0.0,2.5338,1.918,0.974622
neutral_qa_005,,160,0.5,48.3015,48.3015,127.4884,134.3394,180.491,1.0537,0.7063,0.7443,0.7122,0.2942,50.0,0.0,3.0352,1.791,0.917042
neutral_qa_006,,160,0.5,49.7713,49.7713,123.6014,132.3175,174.4543,1.0705,0.7085,0.7585,0.7251,0.3154,51.25,0.0,2.1969,2.122,0.864929
neutral_qa_007,,160,0.5,53.7146,53.7146,139.1417,149.648,202.62,1.0755,0.6867,0.7386,0.682,0.2854,45.0,0.0,2.999,2.361,0.926275
neutral_qa_008,,160,0.5,52.2746,52.2746,125.9544,133.1954,174.2338,1.0575,0.7229,0.7645,0.6792,0.2978,44.37,0.0,2.7497,2.297,0.835658
neutral_qa_009,,160,0.5,50.9794,50.9795,131.5995,140.746,185.8078,1.0695,0.7083,0.7575,0.7118,0.2904,48.75,0.0,3.0358,2.092,0.883644
neutral_qa_010,,160,0.5,50.8748,50.8748,146.7273,154.9619,213.3708,1.0561,0.6877,0.7263,0.686,0.2884,46.25,0.0,2.7628,1.883,0.986057
neutral_qa_011,,160,0.5,54.4982,54.4982,149.453,158.7822,218.8554,1.0624,0.6829,0.7255,0.6694,0.285,45.0,0.0,3.3081,1.78,0.97853
