prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
bookmia.00.11,,261,3.0,450.8546,450.8546,615.5314,619.5459,654.7051,1.0065,0.9402,0.9463,0.7877,0.3402,66.67,0.0,15.4311,1.467,0.251364
bookmia.00.26,,254,3.0,488.5719,488.5719,693.7314,697.9064,742.7961,1.006,0.9339,0.9396,0.7333,0.3433,59.84,0.0,17.6987,1.453,0.260544
bookmia.00.31,,247,3.0,491.2903,491.2903,687.6603,692.5996,735.7021,1.0072,0.9347,0.9414,0.7352,0.3266,60.32,0.0,18.1776,1.51,0.257967
bookmia.00.40,,269,3.0,523.1749,523.1749,740.1238,745.3896,793.8545,1.0071,0.9323,0.9389,0.745,0.3414,59.85,0.0,16.6103,1.475,0.26254
bookmia.00.46,,263,3.0,519.8661,519.8662,782.7832,788.577,847.8066,1.0074,0.9233,0.9301,0.706,0.3085,55.89,0.0,18.856,1.407,0.277929
bookmia.00.48,,273,3.0,523.9205,523.9205,735.0281,739.2733,785.4846,1.0058,0.9358,0.9412,0.7355,0.3358,60.07,0.0,17.5572,1.424,0.25857
bookmia.00.64,,262,3.0,494.8525,494.8525,702.8535,708.3336,755.9316,1.0078,0.9298,0.937,0.743,0.3218,61.45,0.0,17.419,1.519,0.266511
bookmia.00.71,,285,3.0,538.8858,538.8858,830.0848,836.5518,903.63,1.0078,0.9186,0.9258,0.7085,0.2929,57.19,0.0,18.2112,1.462,0.283676
bookmia.01.00,,285,3.0,538.1552,538.1552,809.2905,814.0788,875.5315,1.0059,0.9243,0.9298,0.7162,0.3129,58.25,0.0,17.9795,1.428,0.274636
bookmia.01.01,,305,3.0,562.7865,562.7865,876.4702,884.1722,954.7096,1.0088,0.918,0.9261,0.7148,0.2985,58.36,0.0,17.922,1.562,0.281175
bookmia.01.02,,276,3.0,548.6238,548.6238,854.6484,860.249,927.688,1.0066,0.9213,0.9273,0.6864,0.2986,53.99,0.0,18.2204,1.494,0.27813
bookmia.01.03,,266,3.0,557.0779,557.0779,804.0989,809.5004,864.6456,1.0067,0.93,0.9362,0.6918,0.3186,53.38,0.0,18.4393,1.496,0.264789
bookmia.01.04,,261,3.0,545.8945,545.8945,788.9823,794.4194,848.2261,1.0069,0.9302,0.9366,0.6963,0.3172,54.02,0.0,18.8085,1.519,0.266676
bookmia.01.07,,272,3.0,574.7192,574.7192,863.8369,870.0497,936.8074,1.0072,0.9221,0.9287,0.6839,0.2993,53.31,0.0,19.2768,1.429,0.27833
bookmia.01.10,,274,3.0,561.0013,561.0014,842.1331,848.4405,911.2594,1.0075,0.9241,0.9311,0.7007,0.3015,55.84,0.0,18.3974,1.459,0.275116
bookmia.01.11,,260,3.0,495.8379,495.838,700.9509,705.2872,749.7041,1.0062,0.935,0.9408,0.7394,0.3118,61.54,0.0,17.1793,1.425,0.260578
bookmia.01.12,,303,3.0,592.119,592.119,880.3262,887.4705,952.9534,1.0081,0.9238,0.9313,0.7222,0.317,58.42,0.0,17.4382,1.437,0.274073
bookmia.01.14,,270,3.0,569.1749,569.1749,821.9854,827.1207,883.7807,1.0062,0.9301,0.9359,0.6902,0.3155,54.44,0.0,19.2826,1.396,0.266428
bookmia.01.20,,285,3.0,541.588,541.5881,823.2832,828.6312,891.8951,1.0065,0.9231,0.9291,0.7111,0.3088,56.84,0.0,17.7142,1.366,0.274588
bookmia.01.22,,282,3.0,554.4811,554.4811,835.6601,841.5291,903.8418,1.007,0.9246,0.9311,0.7081,0.2976,56.74,0.0,18.3943,1.415,0.271745
bookmia.01.23,,263,3.0,522.553,522.553,767.1428,773.4182,826.9277,1.0082,0.9277,0.9353,0.7174,0.3339,57.79,0.0,17.0529,1.519,0.264592
bookmia.01.26,,288,3.0,554.4781,554.4782,800.7418,804.8156,858.1582,1.0051,0.9331,0.9378,0.7097,0.3104,57.64,0.0,18.5091,1.386,0.260729
bookmia.01.27,,269,3.0,533.4986,533.4987,771.2656,776.2455,828.1813,1.0065,0.9313,0.9373,0.7156,0.3171,57.99,0.0,18.5221,1.539,0.264655
bookmia.01.31,,264,3.0,535.6889,535.6889,803.7836,810.0217,870.4427,1.0078,0.9234,0.9306,0.6918,0.2899,55.3,0.0,19.1107,1.466,0.273914
bookmia.01.32,,268,3.0,550.8187,550.8187,827.4242,832.4472,894.0308,1.0061,0.9255,0.9311,0.6917,0.3137,54.48,0.0,18.8859,1.38,0.273541
bookmia.01.33,,287,3.0,575.8784,575.8784,892.9092,899.5396,970.3486,1.0074,0.9202,0.927,0.6913,0.3017,55.4,0.0,18.7265,1.376,0.277677
bookmia.01.36,,269,3.0,559.7612,559.7612,808.3077,812.4948,866.9838,1.0052,0.9323,0.9372,0.6861,0.3154,53.53,0.0,18.7956,1.398,0.261536
bookmia.01.37,,268,3.0,528.9245,528.9246,791.6899,797.1216,854.2831,1.0069,0.9267,0.9331,0.7292,0.3155,58.96,0.0,17.9989,1.409,0.268098
bookmia.01.39,,274,3.0,573.2338,573.2338,847.3213,854.188,914.0807,1.0081,0.927,0.9345,0.7081,0.3435,54.01,0.0,17.5974,1.415,0.270228
bookmia.01.41,,266,3.0,548.0616,548.0617,827.5508,833.029,894.5433,1.0066,0.9251,0.9312,0.6997,0.3069,54.51,0.0,18.8224,1.437,0.272265
